pulses,M_cv0.02,M_cv0.2,M_cv0.5,M_cv1.0,single_exp
0.02,9.987359e-01,9.986860e-01,9.984211e-01,9.974776e-01,9.987364e-01
0.0207046,9.986914e-01,9.986397e-01,9.983655e-01,9.973890e-01,9.986919e-01
0.0214341,9.986453e-01,9.985918e-01,9.983080e-01,9.972973e-01,9.986459e-01
0.0221893,9.985977e-01,9.985422e-01,9.982485e-01,9.972023e-01,9.985982e-01
0.022971,9.985483e-01,9.984909e-01,9.981868e-01,9.971040e-01,9.985489e-01
0.0237803,9.984972e-01,9.984378e-01,9.981230e-01,9.970023e-01,9.984978e-01
0.0246182,9.984443e-01,9.983828e-01,9.980570e-01,9.968970e-01,9.984449e-01
0.0254855,9.983895e-01,9.983259e-01,9.979886e-01,9.967880e-01,9.983901e-01
0.0263834,9.983328e-01,9.982669e-01,9.979178e-01,9.966752e-01,9.983335e-01
0.0273129,9.982741e-01,9.982059e-01,9.978446e-01,9.965585e-01,9.982748e-01
0.0282752,9.982134e-01,9.981428e-01,9.977687e-01,9.964377e-01,9.982141e-01
0.0292714,9.981505e-01,9.980774e-01,9.976902e-01,9.963126e-01,9.981512e-01
0.0303027,9.980854e-01,9.980097e-01,9.976090e-01,9.961832e-01,9.980861e-01
0.0313703,9.980180e-01,9.979397e-01,9.975249e-01,9.960493e-01,9.980188e-01
0.0324755,9.979482e-01,9.978672e-01,9.974378e-01,9.959107e-01,9.979491e-01
0.0336197,9.978760e-01,9.977921e-01,9.973477e-01,9.957672e-01,9.978769e-01
0.0348042,9.978013e-01,9.977144e-01,9.972544e-01,9.956187e-01,9.978022e-01
0.0360304,9.977239e-01,9.976340e-01,9.971578e-01,9.954651e-01,9.977248e-01
0.0372998,9.976438e-01,9.975508e-01,9.970579e-01,9.953060e-01,9.976447e-01
0.038614,9.975609e-01,9.974646e-01,9.969544e-01,9.951415e-01,9.975619e-01
0.0399744,9.974751e-01,9.973754e-01,9.968473e-01,9.949711e-01,9.974761e-01
0.0413828,9.973862e-01,9.972830e-01,9.967365e-01,9.947949e-01,9.973873e-01
0.0428407,9.972943e-01,9.971875e-01,9.966217e-01,9.946125e-01,9.972953e-01
0.0443501,9.971991e-01,9.970885e-01,9.965030e-01,9.944237e-01,9.972002e-01
0.0459126,9.971005e-01,9.969861e-01,9.963801e-01,9.942284e-01,9.971017e-01
0.0475302,9.969985e-01,9.968801e-01,9.962528e-01,9.940263e-01,9.969997e-01
0.0492048,9.968929e-01,9.967704e-01,9.961211e-01,9.938171e-01,9.968942e-01
0.0509384,9.967837e-01,9.966568e-01,9.959848e-01,9.936006e-01,9.967849e-01
0.052733,9.966705e-01,9.965392e-01,9.958437e-01,9.933767e-01,9.966719e-01
0.0545909,9.965534e-01,9.964175e-01,9.956977e-01,9.931449e-01,9.965548e-01
0.0565142,9.964322e-01,9.962915e-01,9.955465e-01,9.929051e-01,9.964336e-01
