config,cv,seed_idx,mc_heldout,runtime_s
parallel,0.1,2,2.708828641357834,22.520753145217896
parallel,0.1,3,2.297756516376446,5.9331018924713135
parallel,0.1,0,2.0501674443569295,22.702216863632202
parallel,0.1,1,2.803859323693745,6.071642875671387
parallel,0.1,4,2.3192128892133343,23.416945934295654
parallel,0.1,5,2.456155270726415,6.4140589237213135
parallel,0.1,8,2.7423273803719677,23.302305936813354
parallel,0.1,9,2.5444901883133495,6.21608567237854
parallel,0.1,6,2.8085145525899615,23.49036169052124
parallel,0.1,7,2.6960894244413245,6.354179382324219
parallel,0.2,0,2.270325032247198,24.064557552337646
parallel,0.2,1,3.0604317942341925,8.07293176651001
parallel,0.2,2,3.06124991340958,26.260807752609253
parallel,0.2,3,2.5808006539050594,8.380918264389038
parallel,0.2,4,2.5408000643141784,29.98659110069275
parallel,0.2,5,2.7594683020469377,7.095061302185059
parallel,0.2,6,3.2436899252698512,30.014220237731934
parallel,0.2,7,2.8674716741172643,7.363676071166992
parallel,0.2,8,3.0118001632549345,30.085662126541138
parallel,0.2,9,2.7925775965304434,7.302370548248291
parallel,0.4,0,2.78540034445997,31.611403465270996
parallel,0.4,1,3.6453709158215295,6.96991491317749
parallel,0.4,4,3.04581979667561,31.511608839035034
parallel,0.4,5,3.4103596992174756,7.038769960403442
parallel,0.4,6,3.923533091348714,31.428900480270386
parallel,0.4,7,3.3850944645884633,7.283599615097046
parallel,0.4,2,3.6443822424123566,31.740360498428345
parallel,0.4,3,3.1338173684302535,7.40568733215332
parallel,0.4,8,3.50047915084973,31.60165524482727
parallel,0.4,9,3.2249415752595287,7.093533754348755
ring_bidir_k20,0.1,0,9.518662122645521,7.386382102966309
ring_bidir_k20,0.1,1,9.762791286864202,7.797895193099976
random_graph_k25,0.1,2,12.201662277867174,19.882467031478882
random_graph_k25,0.1,3,13.256830064899594,13.598459482192993
random_graph_k25,0.2,0,11.07202726074722,20.905746459960938
random_graph_k25,0.2,1,7.276533144969437,11.227635622024536
random_graph_k25,0.1,8,13.080898021021504,20.653952598571777
random_graph_k25,0.1,9,12.128269315012785,11.60025405883789
random_graph_k25,0.1,0,12.833611729799395,43.97804379463196
random_graph_k25,0.1,1,13.369460920393733,12.651291847229004
random_graph_k25,0.1,4,12.30735254855733,20.427234888076782
random_graph_k25,0.1,5,14.17007419457915,13.355490446090698
random_graph_k25,0.1,6,13.08620702936214,20.361525535583496
random_graph_k25,0.1,7,12.876266968803558,12.058623313903809
random_graph_k25,0.2,2,9.421089013506574,18.72006845474243
random_graph_k25,0.2,3,6.841564976959909,10.222460269927979
random_graph_k25,0.2,4,11.013589288508221,16.300715923309326
random_graph_k25,0.2,5,10.088424233560737,8.945142030715942
random_graph_k25,0.2,6,11.085832240868822,16.16136884689331
random_graph_k25,0.2,7,6.6838355751324485,5.198360204696655
random_graph_k25,0.4,0,5.8193036838749626,16.44425868988037
random_graph_k25,0.4,1,4.895208407713172,4.214644908905029
random_graph_k25,0.2,8,11.533477104865325,16.019447326660156
random_graph_k25,0.2,9,9.478470257880355,4.947406530380249
random_graph_k25,0.4,4,8.522951619224838,15.98224925994873
random_graph_k25,0.4,5,8.23376149481282,3.2808303833007812
random_graph_k25,0.4,2,7.904491915659444,15.944567203521729
random_graph_k25,0.4,3,7.449393934333142,3.5099122524261475
random_graph_k25,0.4,6,8.63298547258633,15.763402700424194
random_graph_k25,0.4,7,8.301035891345379,3.15195369720459
random_graph_k25,0.4,8,5.79205785537024,15.906174659729004
random_graph_k25,0.4,9,7.7795187046606245,3.073591709136963
ring_bidir_k20,0.1,2,10.010744866512521,2.933797836303711
ring_bidir_k20,0.1,3,9.289403778116059,1.5064501762390137
ring_bidir_k20,0.1,4,8.964061853263587,1.155799150466919
ring_bidir_k20,0.1,5,10.272450657274232,1.2255678176879883
ring_bidir_k20,0.2,4,10.486921901903187,1.1361021995544434
ring_bidir_k20,0.2,5,10.885421669029078,1.1831982135772705
ring_bidir_k20,0.2,0,10.546968389873802,1.2917289733886719
ring_bidir_k20,0.2,1,8.379217221278617,1.2980139255523682
ring_bidir_k20,0.2,6,11.046210609951292,1.362828016281128
ring_bidir_k20,0.2,7,4.129290556119146,1.0729315280914307
ring_bidir_k20,0.1,8,9.996155225731703,1.4701406955718994
ring_bidir_k20,0.1,9,9.477837004722204,1.1928825378417969
ring_bidir_k20,0.2,2,10.505987597729337,1.4552862644195557
ring_bidir_k20,0.2,3,10.255469747198022,1.1800525188446045
ring_bidir_k20,0.1,6,8.245372688768688,1.5188994407653809
ring_bidir_k20,0.1,7,9.950704506270098,1.1902475357055664
ring_bidir_k20,0.2,8,10.423846863724235,1.3118090629577637
ring_bidir_k20,0.2,9,9.229121750696194,1.1129827499389648
ring_bidir_k20,0.4,2,6.809370238509558,1.3709607124328613
ring_bidir_k20,0.4,3,7.221225166863087,0.9609651565551758
ring_bidir_k20,0.4,6,8.448263573416417,1.2930703163146973
ring_bidir_k20,0.4,7,10.051462011720298,1.0314075946807861
ring_bidir_k20,0.4,4,8.729345790159867,1.4652910232543945
ring_bidir_k20,0.4,5,9.681608500666002,0.921872615814209
ring_bidir_k20,0.4,8,5.294314912077261,1.3223316669464111
ring_bidir_k20,0.4,9,9.220699544934588,0.953533411026001
ring_bidir_k20,0.4,0,4.525573617459474,1.4451355934143066
ring_bidir_k20,0.4,1,8.60583564921403,0.9533340930938721
