arm,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r0_kappa,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,kappa_drift_r2_r1,kappa_drift_r3_r1,runtime_s
fixed,6,0.06893985831276443,0.004131146395138387,0.0014326044339121108,0.11776319862842041,25.0,25.0,25.0,25.0,11.731134407901376,6.841869431704745,5.369092009874968,6.566553651129043,0.0,0.0,39.909818172454834
regulated,2,0.06474661349830024,0.004164188091663394,0.004169154041682976,0.11144025990720229,25.224956981796275,26.22425063284437,27.73527134508839,29.03001757599878,2.0036963021985708,7.0505244458689385,7.895833224752376,8.458173624099802,1.5110207122440187,2.80576694315441,40.247944355010986
regulated,1,0.059744923413071,0.0042534084552102135,0.0038941169049617795,0.11009466400495314,25.31221895992395,26.098196979969593,27.684820023389165,29.09503713765858,11.279011518192528,7.227614091103801,8.135410183131956,9.08509322900965,1.5866230434195714,2.996840157688986,41.61657643318176
fixed,9,0.060519793899515534,0.003349534347241238,0.0012089724710365644,0.1147868348648401,25.0,25.0,25.0,25.0,11.276506299467771,6.544203650517078,6.769300344476686,6.458318442619366,0.0,0.0,41.943554639816284
regulated,0,0.07351291035192777,0.0037106506817791204,0.002923397984569521,0.11154889824120658,25.39640901972837,26.306881942922193,27.715857548124017,28.92764597782739,10.015411149960917,7.250966449597023,8.14503499899866,9.174802212911834,1.4089756052018245,2.6207640349051964,42.77347207069397
regulated,3,0.06056598989002254,0.003866169629229743,0.003849762255829566,0.10886128498041775,25.348345946971463,26.26065523346164,27.242958931130577,28.141305990979,11.014032449545763,7.00641848698033,7.304045289463064,8.534165391305875,0.9823036976689359,1.8806507575173583,43.741347312927246
regulated,5,0.05952789581783766,0.0030469873061200288,0.0039603756667284,0.10755298073814247,25.346415678888846,25.893811617753187,27.371475623137794,28.797587292348922,11.338746487297865,7.13908056389285,8.080496579087972,7.924613320192639,1.4776640053846073,2.9037756745957353,42.94456338882446
fixed,7,0.07733407636964171,0.0035315382504795805,0.0016194311136406524,0.1277558872997729,25.0,25.0,25.0,25.0,11.011729164930104,6.62648261937344,6.414185100714818,6.388317532024325,0.0,0.0,44.37577676773071
fixed,3,0.06269141773688858,0.003230541843996846,0.0018914816539387072,0.11846894600368145,25.0,25.0,25.0,25.0,11.014032449545763,6.3012993041093415,6.252550566731466,6.421322763412957,0.0,0.0,47.1981565952301
regulated,4,0.07424652317038401,0.0041756326031911544,0.0020554791727703022,0.11215764258995024,25.431162321811406,26.402267470624743,27.304061173389645,27.915184371140676,11.385030386367657,6.991243795570273,7.850386380262703,8.502961456313143,0.9017937027649019,1.5129169005159326,49.11006307601929
fixed,2,0.06647262311790138,0.0027915612876623155,0.0015404225544843994,0.11733808355589558,25.0,25.0,25.0,25.0,2.0036963021985708,6.570475273261101,4.7009255076828085,6.685428024797562,0.0,0.0,49.91033959388733
fixed,4,0.07898802738035321,0.0032170386474110507,0.0015066034563413979,0.12700423379543274,25.0,25.0,25.0,25.0,11.385030386367657,6.247358685047188,6.4001944441657965,6.373707722162236,0.0,0.0,50.634119510650635
fixed,5,0.061167998056056015,0.003630215270758613,0.0016102466158856151,0.1092241941606501,25.0,25.0,25.0,25.0,11.338746487297865,6.227574135635995,6.729853942086372,6.074666938962801,0.0,0.0,51.06602883338928
fixed,0,0.07819929180645506,0.0033994372308576437,0.0012228922755343297,0.12711933366999112,25.0,25.0,25.0,25.0,10.015411149960917,5.945143034371404,6.304776903568023,6.952873629741257,0.0,0.0,53.90911626815796
fixed,8,0.07264289826714175,0.003061526397863477,0.0015073543275446893,0.10717067883510155,25.0,25.0,25.0,25.0,10.841818126655863,6.822556871686556,4.733166124122125,5.408708894470141,0.0,0.0,54.585800886154175
fixed,1,0.06583132224774378,0.003568761682192893,0.0014302191650350771,0.12096841645554267,25.0,25.0,25.0,25.0,11.279011518192528,6.589166327571187,6.064274135222232,6.8156494433169446,0.0,0.0,54.81393241882324
regulated,7,0.07529521283109834,0.004226401458136234,0.002984154595993467,0.09795176671236064,25.401599525160623,26.048002872489615,27.237491650624627,28.339878077843096,11.011729164930104,6.7135132328398495,7.911824766651584,8.596644810994112,1.1894887781350114,2.291875205353481,18.579956769943237
regulated,6,0.06414775764883254,0.005076234862974274,0.002703738706732984,0.10401297409719672,25.284782969752023,26.053442749983947,27.141069618087702,28.250170250282594,11.731134407901376,7.486812218403115,3.442960538435354,8.151799101584022,1.0876268681037544,2.196727500298646,19.513399600982666
regulated,9,0.054905723875468,0.004188127921857354,0.002659989700497776,0.10050529042166215,25.276838094482013,26.051123611423897,27.2142736252182,28.29924135511101,11.276506299467771,7.556946542814509,8.421407448736131,8.1227351294054,1.1631500137943043,2.2481177436871143,15.824764966964722
regulated,8,0.06996872485374728,0.0045385681998540385,0.0028102256023111293,0.0986293667820622,25.241737366646753,26.193244489202595,27.38332678325167,28.271140977563167,10.841818126655863,7.271240749395274,7.956450341374053,8.198500559743197,1.1900822940490734,2.0778964883605724,16.518840789794922
