lambda_target,cv_tau,arm,seed_idx,pre_nmse,post_nmse,kappa_settled,mc_heldout,runtime_s
-0.05,0.1,fixed,0,0.007969030125518087,0.0022437177059951214,25.0,10.30509828055112,52.12436079978943
-0.05,0.1,fixed,1,0.008392514227520105,0.002155324361424608,25.0,10.066503675999611,54.44196939468384
-0.05,0.1,fixed,2,0.007480173409469031,0.002352731193603841,25.0,10.103397010320993,52.040127992630005
-0.05,0.1,fixed,3,0.007082677614694625,0.0019242675233070224,25.0,8.162981221022418,55.91133642196655
-0.05,0.1,fixed,4,0.006324669557812005,0.0023927518168933774,25.0,8.70592148717612,59.26371383666992
-0.05,0.1,regulated,0,0.008289333319186722,0.0022815965008247297,24.53844339539666,9.831437618196505,68.11943888664246
-0.05,0.1,regulated,1,0.008295236549635097,0.0026125969236351384,26.099384919436233,11.00434406282277,60.45794367790222
-0.05,0.1,regulated,2,0.007338029037562881,0.0018909296249324237,25.071018258776704,4.145855352882315,63.227880239486694
-0.05,0.1,regulated,3,0.007071034715207328,0.002064307572501569,25.133322471393136,10.224157197628717,63.66048049926758
-0.05,0.1,regulated,4,0.006320666178941003,0.002648044013252445,25.469141884509533,8.845309374123525,71.90772461891174
-0.05,0.2,fixed,0,0.0059317340846643096,0.001574663435217403,25.0,9.66038209175254,56.1936092376709
-0.05,0.2,fixed,1,0.005792986200282418,0.0019100435294290266,25.0,9.208748533953605,54.975170850753784
-0.05,0.2,fixed,2,0.005271452283163257,0.0014640583652449114,25.0,9.759486661908547,54.676584005355835
-0.05,0.2,fixed,3,0.00561825381493118,0.0013787739716397507,25.0,8.901940498520446,56.24920034408569
-0.05,0.2,fixed,4,0.0054458991568762,0.0015552283371944255,25.0,5.851295454996026,54.67904305458069
-0.05,0.2,regulated,0,0.005978433829120944,0.002563661099922609,26.2881168748493,6.898439283579536,63.72335743904114
-0.05,0.2,regulated,1,0.005687562410640719,0.0019696643355187823,25.069380659161894,9.249651427022176,67.38924384117126
-0.05,0.2,regulated,2,0.005347667303244589,0.0026257394604786454,26.031569452645115,10.584907974108038,88.91331100463867
-0.05,0.2,regulated,3,0.005611744877313231,0.001465710152866834,25.399760190757338,9.088872878315524,105.93008279800415
-0.05,0.2,regulated,4,0.005668168957652816,0.0016396666927333942,25.352260490717473,10.124215332528836,95.026602268219
-0.05,0.4,fixed,0,0.004348945715177133,0.0015486739694992458,25.0,7.83649716128538,81.28672456741333
-0.05,0.4,fixed,1,0.0056081365711142415,0.002289786895013523,25.0,6.903666277387175,77.5457775592804
-0.05,0.4,fixed,2,0.004660768055163868,0.0017004685241924081,25.0,7.786740699125145,61.70010852813721
-0.05,0.4,fixed,3,0.004499237018016434,0.0017849433467785017,25.0,8.005535210123183,59.627281665802
-0.05,0.4,fixed,4,0.004796602041904238,0.0021765992526230713,25.0,7.117980348512116,58.42782187461853
-0.05,0.4,regulated,0,0.004408929204162019,0.001764145683533587,25.620553990185666,8.448299605862307,79.21309971809387
-0.05,0.4,regulated,1,0.0053367199367713135,0.0017076413281136807,24.37701904375632,6.931963786743722,81.25528621673584
-0.05,0.4,regulated,2,0.0047716667455300135,0.001645226157075487,24.83475128093698,7.819839567360691,77.31560206413269
-0.05,0.4,regulated,3,0.004455749448940172,0.001556257255775078,24.722449975944063,7.976766878204478,86.82988500595093
-0.05,0.4,regulated,4,0.004534693439990321,0.0018137943894088577,24.404011338178506,7.123057574107902,75.51500296592712
