arm,seed_idx,overall_acc,runtime_s,s0_t_adapt_200,s0_t_adapt_40,s1_t_adapt_200,s1_t_adapt_40,s2_t_adapt_200,s2_t_adapt_40,s3_t_adapt_200,s3_t_adapt_40,s4_t_adapt_200,s4_t_adapt_40
esn_fast,0,0.9972222222222222,10.103906154632568,201.0,47.0,199.0,39.0,199.0,41.0,203.0,45.0,199.0,42.0
esn_fast,2,0.9953333333333333,9.372495889663696,236.0,94.0,199.0,41.0,202.0,48.0,217.0,57.0,203.0,45.0
esn_fast,3,0.9947777777777778,9.547379732131958,200.0,41.0,202.0,57.0,234.0,81.0,199.0,40.0,199.0,40.0
esn_fast,8,0.9977777777777778,10.820532083511353,200.0,42.0,201.0,43.0,199.0,41.0,199.0,40.0,199.0,39.0
esn_fast,6,0.9946666666666667,11.99080228805542,222.0,64.0,257.0,99.0,199.0,41.0,200.0,42.0,217.0,59.0
esn_fast,1,0.9952222222222222,13.151530981063843,207.0,59.0,199.0,40.0,199.0,41.0,261.0,42.0,199.0,41.0
esn_fast,4,0.9955555555555555,13.61399793624878,229.0,89.0,209.0,57.0,200.0,42.0,199.0,41.0,201.0,43.0
esn_fast,5,0.9922222222222222,15.593650579452515,320.0,42.0,259.0,106.0,201.0,43.0,199.0,41.0,206.0,52.0
esn_fast,7,0.9953333333333333,17.041483879089355,234.0,76.0,200.0,42.0,201.0,43.0,201.0,43.0,199.0,40.0
esn_fast,9,0.997,17.482252836227417,200.0,41.0,199.0,39.0,202.0,40.0,199.0,41.0,203.0,45.0
esn_dual,8,0.998,43.1017746925354,199.0,41.0,200.0,42.0,199.0,41.0,199.0,40.0,199.0,39.0
esn_dual,5,0.9978888888888889,51.318291664123535,199.0,40.0,199.0,40.0,200.0,42.0,199.0,40.0,199.0,41.0
esn_dual,9,0.998,47.57712483406067,199.0,40.0,199.0,39.0,200.0,40.0,199.0,40.0,200.0,42.0
redem,5,0.9934444444444445,42.49383521080017,209.0,51.0,204.0,61.0,250.0,93.0,201.0,43.0,207.0,49.0
esn_dual,0,0.9981111111111111,62.10947060585022,199.0,41.0,199.0,39.0,199.0,41.0,199.0,41.0,199.0,40.0
esn_dual,1,0.9976666666666667,80.33621096611023,200.0,42.0,199.0,40.0,199.0,41.0,199.0,41.0,199.0,41.0
esn_dual,2,0.9978888888888889,90.57776117324829,199.0,39.0,199.0,39.0,199.0,41.0,199.0,41.0,202.0,44.0
redem,4,0.9922222222222222,76.49135422706604,220.0,62.0,206.0,48.0,202.0,44.0,225.0,67.0,206.0,48.0
redem,6,0.9936666666666667,45.16628408432007,224.0,66.0,206.0,48.0,278.0,47.0,199.0,40.0,201.0,57.0
esn_dual,3,0.9977777777777778,100.12767815589905,199.0,41.0,199.0,41.0,200.0,42.0,199.0,40.0,199.0,40.0
esn_dual,6,0.9978888888888889,92.65529751777649,199.0,40.0,200.0,42.0,199.0,41.0,199.0,41.0,199.0,39.0
redem,8,0.9951111111111111,44.16691279411316,199.0,41.0,202.0,44.0,222.0,64.0,202.0,44.0,207.0,49.0
redem,9,0.9927777777777778,43.88201022148132,213.0,55.0,199.0,40.0,264.0,106.0,205.0,47.0,214.0,59.0
redem,3,0.9945555555555555,91.40702223777771,205.0,47.0,207.0,50.0,202.0,44.0,217.0,59.0,200.0,42.0
esn_dual,4,0.9981111111111111,108.4720470905304,199.0,40.0,199.0,40.0,199.0,40.0,199.0,40.0,199.0,41.0
redem,7,0.9948888888888889,58.154847860336304,203.0,46.0,205.0,54.0,203.0,45.0,205.0,47.0,205.0,49.0
redem,0,0.9953333333333333,100.00918459892273,201.0,43.0,201.0,43.0,209.0,81.0,207.0,49.0,204.0,46.0
redem,1,0.9952222222222222,100.30661225318909,202.0,44.0,205.0,49.0,199.0,41.0,203.0,55.0,218.0,60.0
esn_dual,7,0.9977777777777778,109.57270455360413,200.0,42.0,200.0,42.0,199.0,41.0,199.0,41.0,199.0,39.0
redem,2,0.9951111111111111,105.56661534309387,199.0,39.0,204.0,47.0,213.0,67.0,204.0,46.0,227.0,70.0
