arm,tau_m,seed,stream_ppl,t_adapt_mean,forgetting_ppl,runtime_s
A1,0.0,4,14.555868030232922,20.0,8.628757566510341,10.572217226028442
A1,0.0,0,15.153329793438811,20.0,8.505201319718726,11.016254901885986
A1,0.0,1,15.584948764677646,20.0,8.946006491360516,11.09463119506836
A1,0.0,5,15.009133685827376,20.0,8.409053818903418,10.855252504348755
A1,0.0,7,14.731862115900164,20.0,8.678690130361222,11.222837924957275
A1,0.0,9,15.578629507825593,20.0,9.195218283436128,11.327747583389282
A1,0.0,8,14.789445328301346,20.0,9.713558665957592,11.43735384941101
A1,0.0,3,14.731802640343682,20.0,9.111260152669033,11.922821044921875
A1,0.0,2,15.03746324921105,20.0,8.857763535131257,11.953126430511475
A1,0.0,6,14.95354737469551,20.0,9.321761302771026,11.720564603805542
A2,200.0,2,17.44995269899132,20.0,9.575240204395067,12.905414342880249
A2,200.0,4,16.505231123822007,20.0,9.388112077456645,13.015997648239136
A2,200.0,3,16.766031238832902,20.0,9.701190769648264,13.077352046966553
A2,200.0,1,18.09759601205398,20.0,9.725181280474542,13.183367729187012
A2,200.0,5,17.171674977131428,20.0,9.101987018605191,13.177065372467041
A2,200.0,0,17.67228734183611,20.0,9.352040752186953,13.246625185012817
A2,200.0,7,17.072583786194258,20.0,9.565219162989683,7.237799644470215
A2,500.0,0,17.39596041555985,20.0,9.150239817136374,7.222532272338867
A2,500.0,1,17.805877649083634,20.0,9.516532694954261,7.3935465812683105
A2,500.0,2,17.174066128934445,20.0,9.358750623907042,7.585479259490967
A2,200.0,9,18.459539136558753,20.0,10.025953135647024,8.43658185005188
A2,200.0,6,17.06875040765151,20.0,9.880792044143753,9.167329788208008
A2,200.0,8,16.796672725477634,20.0,10.30276706481707,8.811614036560059
A2,500.0,5,16.968473027476225,20.0,8.983393817854765,8.151201248168945
A2,500.0,4,16.287826715112008,20.0,9.213002120866532,8.22262692451477
A2,500.0,9,18.14674560046506,20.0,9.794088403430115,8.135340452194214
A2,500.0,3,16.558721449854044,20.0,9.556995637479078,9.886184930801392
A2,500.0,6,16.871382839374924,20.0,9.69402000283861,8.818706274032593
A2,500.0,8,16.559156081464288,20.0,10.151851405020633,9.859610557556152
A2,1000.0,0,16.894271393340844,20.0,8.912135263255342,9.912237644195557
A2,500.0,7,16.806576692521457,20.0,9.34127458302576,10.411779642105103
A2,1000.0,1,17.246025714372944,20.0,9.257326632000794,10.63471269607544
A2,1000.0,2,16.628578655099084,20.0,9.067237430993448,9.091357469558716
A2,1000.0,3,16.11724553211053,20.0,9.394012221218665,8.52784276008606
A2,1000.0,5,16.488245018297206,20.0,8.727396533669658,8.568844556808472
A2,1000.0,4,15.850254136268395,20.0,8.959180365460869,9.005154371261597
A2,1000.0,7,16.279989594315786,20.0,8.998626090624287,9.029313325881958
A2,2000.0,0,16.53470974382416,20.0,8.651475744152663,8.712060689926147
A2,1000.0,6,16.565990638883072,20.0,9.496737296366721,10.179092407226562
A2,1000.0,9,17.549145090544155,20.0,9.453008588144964,9.54138731956482
A2,1000.0,8,16.19562055412237,20.0,10.085700527176032,10.256337881088257
A2,2000.0,3,15.895335756337726,20.0,9.199240864851166,8.908477306365967
A2,2000.0,1,16.89187541376904,20.0,9.012328729028502,9.341047763824463
A2,2000.0,2,16.27589267610784,20.0,9.007211167472189,9.361543416976929
A2,2000.0,4,15.635717144681456,20.0,8.763467526151405,9.040062665939331
A2,2000.0,5,16.162405221819295,20.0,8.539320312101413,9.66997742652893
A2,2000.0,7,15.886200625374826,20.0,8.783532266816414,9.782359600067139
A2,2000.0,6,16.167341697111578,20.0,9.332770080447236,10.49367380142212
A2,2000.0,8,16.16845756827366,20.0,9.747443157749634,9.513985872268677
A2,2000.0,9,16.972105633865866,20.0,9.258598737927993,9.781871795654297
A3,200.0,0,14.348201366837028,20.0,6.06054783921894,9.841256380081177
A3,200.0,3,13.188743574160545,20.0,6.468404902904925,9.078885316848755
A3,200.0,1,14.343042987579805,20.0,6.290026035068759,10.06519865989685
A3,200.0,2,13.845129538173245,20.0,6.248338636887618,10.02335500717163
A3,200.0,5,14.176523942110675,20.0,6.202122261695387,9.334641933441162
A3,200.0,4,13.472816360120676,20.0,6.279421240329735,9.890237092971802
A3,200.0,7,13.637525280391374,20.0,6.2136025715087735,8.81096339225769
A3,200.0,6,14.301220146908914,20.0,6.971407093539211,10.794378280639648
A3,200.0,9,14.61326001490578,20.0,6.5260338448236554,10.125787496566772
A3,200.0,8,13.480694103271725,20.0,6.981991105499605,10.281752109527588
A3,500.0,0,14.987453770707548,20.0,6.481608640136509,10.141899108886719
A3,500.0,1,15.472038470001872,20.0,6.8692590510841,10.194154977798462
A3,500.0,2,14.578896492770244,20.0,6.619316773599204,9.993367671966553
A3,500.0,3,13.87192493561957,20.0,6.7610547939965,10.336896181106567
A3,500.0,8,14.261777122435163,20.0,7.4110088289059375,9.436333417892456
A3,500.0,5,14.912332101549918,20.0,6.629378228513185,10.654420137405396
A3,500.0,4,13.700849280561256,20.0,6.391061569484559,11.031138896942139
A3,500.0,6,14.529832475487785,20.0,7.118764254441342,10.044392347335815
A3,500.0,7,14.220393420808515,20.0,6.451131876246772,10.157729148864746
A3,500.0,9,15.273336878372964,20.0,6.792295580219582,10.323100328445435
A3,1000.0,1,16.116688675444706,20.0,7.39909191096216,10.040722370147705
A3,1000.0,0,15.816723940668949,20.0,7.276081823738023,11.110687255859375
A3,1000.0,3,15.078143684100946,20.0,7.596157179945718,9.900799989700317
A3,1000.0,2,15.412951960851034,20.0,7.180518043219067,11.1749849319458
A3,1000.0,4,14.682752103718096,20.0,7.04118699133654,9.937177896499634
A3,1000.0,5,15.594267199245035,20.0,7.23549679545868,10.227052211761475
A3,1000.0,6,15.319628142266062,20.0,7.655518219106466,9.894136905670166
A3,1000.0,7,14.997130321740938,20.0,6.971516722075618,10.276185035705566
A3,1000.0,8,15.395605480012541,20.0,8.467459860491624,10.326101779937744
A3,1000.0,9,16.33516496681844,20.0,7.5050594672487705,10.50235366821289
A3,2000.0,1,16.709591886254653,20.0,8.504212782900774,8.807286739349365
A3,2000.0,0,16.176929575547554,20.0,8.198066939050705,9.238314151763916
A3,2000.0,2,16.209452885860507,20.0,8.318230736748442,9.502323150634766
A3,2000.0,4,15.477337632808137,20.0,8.070192671877942,9.24393630027771
A3,2000.0,3,15.625448350275548,20.0,8.363440185951493,9.62993049621582
A3,2000.0,5,16.080650008390826,20.0,8.022796151302336,9.068378448486328
A3,2000.0,6,16.05168780184624,20.0,8.563194605295859,8.730503559112549
A3,2000.0,7,15.797294131778713,20.0,7.882987321278248,8.945433139801025
A3,2000.0,9,16.852156843732153,20.0,8.12356129936244,8.127407312393188
A3,2000.0,8,15.76358205140131,20.0,10.020169201561345,8.502422571182251
