arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,switches_detected,n_switches,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
A1,0.0,0,11.856420129224789,0.015556419801100061,20.0,7.8845055765761005,0,5,0.015556419801100061,7.967049303229612,280,0.0004008016032064128,0.0004008016032064128,7.7964611550198555,1,4.523920774459839
A1,0.0,1,11.632281831852639,0.01600088893827435,20.0,8.738496905700682,0,5,0.01600088893827435,7.724329846736222,288,0.002404809619238477,0.002404809619238477,8.159118095104882,6,4.562791347503662
A1,0.0,2,11.59204962945722,0.015500861158953275,20.0,8.506051721556897,0,5,0.015500861158953275,7.797875530030144,279,0.0012024048096192384,0.0012024048096192384,8.237950413378572,3,4.645742893218994
A1,0.0,3,11.912410680675343,0.015778654369687204,20.0,8.455264110853838,0,5,0.015778654369687204,7.959216650484768,284,0.0012024048096192384,0.0012024048096192384,8.22853030231018,3,4.6113362312316895
A1,0.0,4,11.850079151887456,0.016056447580421136,20.0,8.021205617527773,0,5,0.016056447580421136,7.859974973041615,289,0.0,0.0,8.021205617527773,0,4.773078918457031
A1,0.0,5,11.851402142669775,0.01677870992832935,20.0,7.932161063585663,0,5,0.01677870992832935,7.714595974571708,302,0.0004008016032064128,0.0004008016032064128,7.849743895462753,1,4.569995641708374
A1,0.0,6,11.725489023319781,0.015389743874659703,20.0,8.584143401603058,0,5,0.015389743874659703,7.9118548490669625,277,0.0004008016032064128,0.0004008016032064128,8.487845910504285,1,4.606383562088013
A1,0.0,7,11.518797695706334,0.015389743874659703,20.0,8.11830710388008,0,5,0.015389743874659703,7.770228172584222,277,0.0008016032064128256,0.0008016032064128256,7.956728185882552,2,4.629282712936401
A1,0.0,8,11.766794159922396,0.01572309572754042,20.0,9.19187403269118,0,5,0.01572309572754042,7.871726602736756,283,0.0008016032064128256,0.0008016032064128256,8.974768340853203,2,4.611121892929077
A1,0.0,9,11.835518385728989,0.01600088893827435,20.0,8.436094537093101,0,5,0.01600088893827435,7.861501492763516,288,0.0008016032064128256,0.0008016032064128256,8.26811468915981,2,4.642240047454834
A2,200.0,0,10.267559673443037,0.0,20.0,8.587955747067642,3,5,0.0,10.267559673443037,0,0.0,0.0,8.587955747067642,0,5.75443434715271
A2,200.0,1,10.133301775940803,0.0,20.0,8.904455552008576,2,5,0.0,10.133301775940803,0,0.0,0.0,8.904455552008576,0,5.635591745376587
A2,200.0,2,10.264339127423082,0.0,20.0,8.970651158555409,3,5,0.0,10.264339127423082,0,0.0,0.0,8.970651158555409,0,5.700041770935059
A2,200.0,3,10.459568213308991,0.0,20.0,8.990316282561007,5,5,0.0,10.459568213308991,0,0.0,0.0,8.990316282561007,0,5.598005533218384
A2,200.0,4,9.757431625776517,5.555864214678593e-05,20.0,8.69424945009146,1,5,5.555864214678593e-05,9.743696436863294,1,0.0,0.0,8.69424945009146,0,5.666659593582153
A2,200.0,5,10.067120153494068,0.0,20.0,8.395771048332344,3,5,0.0,10.067120153494068,0,0.0,0.0,8.395771048332344,0,5.696468830108643
A2,200.0,6,10.417236428732577,0.00011111728429357187,20.0,9.057618364206611,4,5,0.00011111728429357187,10.388003035325676,2,0.0,0.0,9.057618364206611,0,5.6262876987457275
A2,200.0,7,10.236983778954649,0.00022223456858714373,20.0,8.877663933840454,1,5,0.00022223456858714373,10.179563423024295,4,0.0,0.0,8.877663933840454,0,5.656681060791016
A2,200.0,8,10.33589513393091,0.0,20.0,9.50449654669722,2,5,0.0,10.33589513393091,0,0.0,0.0,9.50449654669722,0,5.81683874130249
A2,200.0,9,10.439256082629514,5.555864214678593e-05,20.0,9.102318289615226,4,5,5.555864214678593e-05,10.424600235787715,1,0.0,0.0,9.102318289615226,0,5.705714464187622
A2,500.0,0,9.518806461988158,0.0,20.0,8.157275609861646,2,5,0.0,9.518806461988158,0,0.0,0.0,8.157275609861646,0,5.725409984588623
A2,500.0,1,9.646910898789578,0.0,20.0,8.394697972408704,0,5,0.0,9.646910898789578,0,0.0,0.0,8.394697972408704,0,5.599865436553955
A2,500.0,2,9.488160933542334,0.0,20.0,8.494978277666142,0,5,0.0,9.488160933542334,0,0.0,0.0,8.494978277666142,0,5.605214357376099
A2,500.0,3,9.628728535200265,0.0,20.0,8.453968239109539,0,5,0.0,9.628728535200265,0,0.0,0.0,8.453968239109539,0,5.638172149658203
A2,500.0,4,9.539532869967196,5.555864214678593e-05,20.0,8.299067650580737,0,5,5.555864214678593e-05,9.526092455596807,1,0.0,0.0,8.299067650580737,0,5.638859748840332
A2,500.0,5,9.307154736235272,0.0,20.0,8.026436416538651,1,5,0.0,9.307154736235272,0,0.0,0.0,8.026436416538651,0,5.757572889328003
A2,500.0,6,9.592724300421768,0.00011111728429357187,20.0,8.529237552108736,0,5,0.00011111728429357187,9.56571704115327,2,0.0,0.0,8.529237552108736,0,5.71607518196106
A2,500.0,7,9.407270960229315,0.0001666759264403578,20.0,8.270732921632248,0,5,0.0001666759264403578,9.367538544814758,3,0.0,0.0,8.270732921632248,0,5.584795713424683
A2,500.0,8,9.596743319505272,0.0,20.0,9.020522466856782,0,5,0.0,9.596743319505272,0,0.0,0.0,9.020522466856782,0,5.695757865905762
A2,500.0,9,9.568581972131149,5.555864214678593e-05,20.0,8.538295877714017,0,5,5.555864214678593e-05,9.555102244169637,1,0.0,0.0,8.538295877714017,0,5.652454614639282
A2,1000.0,0,9.426922463247486,0.0,20.0,7.859337655357875,0,5,0.0,9.426922463247486,0,0.0,0.0,7.859337655357875,0,6.750678300857544
A2,1000.0,1,9.386266488238471,0.0,20.0,8.081473802547055,0,5,0.0,9.386266488238471,0,0.0,0.0,8.081473802547055,0,7.081407785415649
A2,1000.0,2,9.145887275536655,0.0,20.0,8.17439999211214,0,5,0.0,9.145887275536655,0,0.0,0.0,8.17439999211214,0,6.4317028522491455
A2,1000.0,3,9.412173320119198,0.0,20.0,8.130043536977464,0,5,0.0,9.412173320119198,0,0.0,0.0,8.130043536977464,0,6.251624584197998
A2,1000.0,4,9.262780015854903,5.555864214678593e-05,20.0,7.996955306526772,0,5,5.555864214678593e-05,9.249714393143138,1,0.0,0.0,7.996955306526772,0,6.268800973892212
A2,1000.0,5,9.044803059818742,0.0,20.0,7.805715051972638,0,5,0.0,9.044803059818742,0,0.0,0.0,7.805715051972638,0,6.426099061965942
A2,1000.0,6,9.464014189579862,0.00011111728429357187,20.0,8.48247605638893,0,5,0.00011111728429357187,9.437355132351993,2,0.0,0.0,8.48247605638893,0,6.277205944061279
A2,1000.0,7,9.22900495809677,0.0001666759264403578,20.0,8.012132357261313,0,5,0.0001666759264403578,9.189996154553112,3,0.0,0.0,8.012132357261313,0,6.295194864273071
A2,1000.0,8,9.347127596924324,0.0,20.0,8.74199084097615,0,5,0.0,9.347127596924324,0,0.0,0.0,8.74199084097615,0,6.264818906784058
A2,1000.0,9,9.283331267454875,5.555864214678593e-05,20.0,8.255550276797978,0,5,5.555864214678593e-05,9.270237797673106,1,0.0,0.0,8.255550276797978,0,6.4056556224823
A2,2000.0,0,9.959591197899536,0.0,20.0,7.583725645427521,0,5,0.0,9.959591197899536,0,0.0,0.0,7.583725645427521,0,6.353900909423828
A2,2000.0,1,10.08328907725499,0.0,20.0,8.001899152607887,0,5,0.0,10.08328907725499,0,0.0,0.0,8.001899152607887,0,6.283396244049072
A2,2000.0,2,9.471612148185617,0.0,20.0,8.045752662521652,0,5,0.0,9.471612148185617,0,0.0,0.0,8.045752662521652,0,6.298527002334595
A2,2000.0,3,9.760572519256563,0.0,20.0,7.9748528010886925,0,5,0.0,9.760572519256563,0,0.0,0.0,7.9748528010886925,0,6.563430070877075
A2,2000.0,4,9.66477293269109,5.555864214678593e-05,20.0,7.713833360756112,0,5,5.555864214678593e-05,9.651163059578376,1,0.0,0.0,7.713833360756112,0,6.305682182312012
A2,2000.0,5,9.373034849575268,0.0,20.0,7.7961935588635685,0,5,0.0,9.373034849575268,0,0.0,0.0,7.7961935588635685,0,6.371649742126465
A2,2000.0,6,9.584253275176025,0.00011111728429357187,20.0,8.794455599529611,0,5,0.00011111728429357187,9.55726892682967,2,0.0,0.0,8.794455599529611,0,6.41761040687561
A2,2000.0,7,9.704687840293397,5.555864214678593e-05,20.0,7.703741945072146,0,5,5.555864214678593e-05,9.691023978441496,1,0.0,0.0,7.703741945072146,0,6.424178838729858
