arm,lr,rank,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,runtime_s
A1-lr3e-04-r16,0.0003,16,0,32.02044727501913,nan,20.0,24.114077198130754,3.092323064804077
A1-lr3e-04-r16,0.0003,16,1,29.990780965815848,nan,20.0,21.308535557925403,2.0648293495178223
A1-lr3e-04-r16,0.0003,16,2,30.39547350005801,nan,20.0,21.882513804261404,1.8909447193145752
A1-lr3e-04-r16,0.0003,16,3,28.81762454600403,nan,20.0,21.122236058964173,2.115358591079712
A1-lr3e-04-r16,0.0003,16,4,29.231063317909292,nan,20.0,20.4950808371788,1.9745228290557861
A1-lr3e-04-r16,0.0003,16,5,30.182150376324856,nan,20.0,22.11751291537812,1.8821544647216797
A1-lr3e-04-r16,0.0003,16,6,30.36028718251942,nan,20.0,21.808461822965906,1.8106658458709717
A1-lr3e-04-r16,0.0003,16,7,30.914530920368467,nan,20.0,22.49438090805624,1.7952280044555664
A1-lr3e-04-r16,0.0003,16,8,29.799269803519497,nan,20.0,22.050029076611043,1.862626552581787
A1-lr3e-04-r16,0.0003,16,9,29.906800887510098,nan,20.0,21.338488882781864,2.2803609371185303
A1-lr1e-03-r16,0.001,16,0,23.97540699177919,nan,20.0,18.515791893708204,2.20317006111145
A1-lr1e-03-r16,0.001,16,1,21.947663769617446,nan,20.0,23.65956476570832,2.6801035404205322
A1-lr1e-03-r16,0.001,16,2,22.943306292815244,nan,20.0,18.8587661787487,2.321622848510742
A1-lr1e-03-r16,0.001,16,3,21.839288237342583,nan,20.0,17.30579401189515,2.4873452186584473
A1-lr1e-03-r16,0.001,16,4,21.669450102329012,nan,20.0,17.538503803946632,2.1230435371398926
A1-lr1e-03-r16,0.001,16,5,22.814251202941513,nan,20.0,16.665516946533256,2.650219202041626
A1-lr1e-03-r16,0.001,16,6,22.194555404142196,nan,20.0,20.858986821636417,3.0282084941864014
A1-lr1e-03-r16,0.001,16,7,23.193284172771147,nan,20.0,16.848971150351257,2.6085169315338135
A1-lr1e-03-r16,0.001,16,8,22.16751458455051,nan,20.0,19.76510337184634,2.0447914600372314
A1-lr1e-03-r16,0.001,16,9,21.839343075415965,nan,20.0,20.115962306738925,1.994431972503662
A1-lr3e-03-r16,0.003,16,0,16.85367484693551,nan,20.0,53.020400964734385,1.9078097343444824
A1-lr3e-03-r16,0.003,16,1,14.877595988454322,nan,20.0,67.42039590722331,2.269059896469116
A1-lr3e-03-r16,0.003,16,2,16.00280302171937,nan,20.0,51.5693829765434,1.9546995162963867
A1-lr3e-03-r16,0.003,16,3,15.633408052854968,nan,20.0,50.81830460375806,2.0837666988372803
A1-lr3e-03-r16,0.003,16,4,15.272994584295967,nan,20.0,56.31316185276053,2.0146541595458984
A1-lr3e-03-r16,0.003,16,5,16.39794590739106,nan,20.0,47.49071871837192,1.838388204574585
A1-lr3e-03-r16,0.003,16,6,15.286316072185747,nan,20.0,65.22682897506986,2.0147554874420166
A1-lr3e-03-r16,0.003,16,7,16.61387447623415,nan,20.0,45.760422235121275,2.126837968826294
A1-lr3e-03-r16,0.003,16,8,15.981544203809822,nan,20.0,58.84852878246674,2.3710579872131348
A1-lr3e-03-r16,0.003,16,9,15.460912609314462,nan,20.0,59.14145481394127,2.1535756587982178
