task,substrate,readout,forgetting,seed_idx,n_units,t_total,runtime_s,w_norm,pre_steady_acc,pre_stability_std,post_swap_acc,adapt_time_pulses,mean_acc_all,nmse_final30
drift_binary,parallel,offridge,nan,0,256,40000,3.1729366779327393,nan,0.98,0.008748027992067706,0.02,nan,0.5004213461973317,
drift_binary,parallel,offridge,nan,1,256,40000,3.320770740509033,nan,0.97,0.007648659604793516,0.02,nan,0.5004562699429662,
drift_binary,parallel,offridge,nan,8,256,40000,3.180718421936035,nan,0.985,0.005082026539678836,0.01,nan,0.49994660938167385,
drift_binary,parallel,offridge,nan,9,256,40000,3.243924617767334,nan,0.985,0.005815322433021239,0.02,nan,0.49930328383708955,
drift_binary,parallel,offridge,nan,6,256,40000,3.2422080039978027,nan,0.985,0.0038532453853861977,0.01,nan,0.49956759880405016,
drift_binary,parallel,offridge,nan,7,256,40000,3.327927350997925,nan,0.98,0.006518051856191393,0.03,nan,0.5000939674882541,
drift_binary,parallel,offridge,nan,4,256,40000,3.3467354774475098,nan,0.97,0.00793233729741746,0.03,nan,0.499828145021482,
drift_binary,parallel,offridge,nan,5,256,40000,3.3284406661987305,nan,0.97,0.005827563277219738,0.02,nan,0.499883168764604,
drift_binary,parallel,offridge,nan,2,256,40000,3.390798568725586,nan,0.98,0.007792464308548362,0.015,nan,0.4995090575613679,
drift_binary,parallel,offridge,nan,3,256,40000,3.371034622192383,nan,0.97,0.009575463108904976,0.02,nan,0.49887138514107693,
drift_binary,random_graph_k25,offridge,nan,0,256,40000,7.956593751907349,nan,1.0,0.0,0.0,nan,0.49992186125976734,
drift_binary,random_graph_k25,offridge,nan,1,256,40000,6.795909881591797,nan,1.0,0.0,0.0,nan,0.5013590110801236,
drift_binary,random_graph_k25,offridge,nan,2,256,40000,6.421493053436279,nan,1.0,0.0,0.0,nan,0.5,
drift_binary,random_graph_k25,offridge,nan,3,256,40000,7.663205146789551,nan,1.0,0.0,0.0,nan,0.5,
drift_binary,random_graph_k25,offridge,nan,8,256,40000,6.461881160736084,nan,1.0,0.0,0.0,nan,0.5,
drift_binary,random_graph_k25,offridge,nan,9,256,40000,7.68693470954895,nan,1.0,0.0,0.0,nan,0.5014921735634783,
drift_binary,random_graph_k25,offridge,nan,6,256,40000,7.5189385414123535,nan,1.0,0.0,0.0,nan,0.5,
drift_binary,random_graph_k25,offridge,nan,7,256,40000,7.09301233291626,nan,1.0,0.0,0.0,nan,0.4999969850003769,
drift_binary,random_graph_k25,offridge,nan,4,256,40000,7.661268472671509,nan,1.0,0.0,0.0,nan,0.5,
drift_binary,random_graph_k25,offridge,nan,5,256,40000,7.079340219497681,nan,1.0,0.0,0.0,nan,0.5,
narma10,parallel,offridge,nan,0,256,21000,1.7129359245300293,nan,,,,,,0.6430952795868308
narma10,parallel,offridge,nan,1,256,21000,1.874337911605835,nan,,,,,,0.6103969303932442
narma10,parallel,offridge,nan,2,256,21000,1.8543224334716797,nan,,,,,,0.5982377234321806
narma10,parallel,offridge,nan,3,256,21000,1.9172520637512207,nan,,,,,,0.6023728906547756
narma10,parallel,offridge,nan,4,256,21000,1.8806231021881104,nan,,,,,,nan
narma10,parallel,offridge,nan,5,256,21000,1.8939833641052246,nan,,,,,,0.5797010468207295
narma10,parallel,offridge,nan,6,256,21000,1.9507784843444824,nan,,,,,,0.6137326591919924
narma10,parallel,offridge,nan,7,256,21000,1.8425023555755615,nan,,,,,,nan
narma10,parallel,offridge,nan,8,256,21000,1.7332229614257812,nan,,,,,,nan
narma10,parallel,offridge,nan,9,256,21000,1.9853887557983398,nan,,,,,,nan
narma10,parallel,rls,0.999,8,256,21000,35.19833183288574,nan,,,,,,nan
narma10,parallel,rls,0.999,9,256,21000,36.741694927215576,nan,,,,,,nan
narma10,parallel,rls,0.999,4,256,21000,35.74899077415466,nan,,,,,,nan
narma10,parallel,rls,0.999,5,256,21000,37.21241617202759,104.82750211655826,,,,,,0.4932846246635167
narma10,parallel,rls,0.999,0,256,21000,31.129789352416992,88.4450519942512,,,,,,0.600546377830538
narma10,parallel,rls,0.999,1,256,21000,62.89666485786438,106.57844857923082,,,,,,0.5523413369568795
narma10,parallel,rls,0.999,2,256,21000,58.773016929626465,84.07103967193808,,,,,,0.5541839403976837
narma10,parallel,rls,0.999,3,256,21000,34.042062759399414,92.23600635268,,,,,,0.5301345461672929
narma10,parallel,rls,0.999,6,256,21000,55.358421087265015,193.97090595565385,,,,,,0.5616935749092108
narma10,parallel,rls,0.999,7,256,21000,46.44489073753357,nan,,,,,,nan
narma10,random_graph_k25,offridge,nan,0,256,21000,4.1084558963775635,nan,,,,,,0.43475965973204556
narma10,random_graph_k25,offridge,nan,1,256,21000,3.5550150871276855,nan,,,,,,0.380483838563272
drift_binary,parallel,rls,0.999,2,256,40000,71.3964216709137,552.6055363331283,0.985,0.004364344166080402,0.97,280.0,0.9823690359538706,
