arm,seed_idx,n_units,overall_acc,steady_acc,adapt_time,kappa_settled,runtime_s
baseline,3,1024,0.9732222222222222,1.0,126.4,25.0,56.55663061141968
baseline,1,1024,0.9698888888888889,1.0,128.8,25.0,56.93197154998779
baseline,2,1024,0.98,1.0,107.4,25.0,57.5164098739624
baseline,0,1024,0.9792222222222222,1.0,127.4,25.0,58.76764726638794
baseline,5,1024,0.9808888888888889,1.0,68.6,25.0,55.83974766731262
baseline,7,1024,0.9795555555555555,1.0,81.4,25.0,56.016743183135986
baseline,4,1024,0.972,1.0,161.0,25.0,58.43274188041687
baseline,6,1024,0.969,1.0,220.0,25.0,58.03248858451843
baseline,8,1024,0.9714444444444444,1.0,134.8,25.0,51.325110912323
baseline,9,1024,0.9782222222222222,1.0,106.2,25.0,54.009931564331055
full,1,1024,0.9977777777777778,1.0,0.6,24.78947204793778,237.6262550354004
full,0,1024,0.9975555555555555,1.0,0.8,24.717363564966977,239.430903673172
full,2,1024,0.9977777777777778,1.0,0.8,24.90675928343533,221.5907416343689
full,3,1024,0.9972222222222222,1.0,1.6,24.984855657481095,222.1514368057251
full,4,1024,0.9957777777777778,1.0,4.6,24.949621177365074,174.56664896011353
full,5,1024,0.9964444444444445,1.0,2.6,24.917945002244696,177.88494324684143
full,6,1024,0.9958888888888889,1.0,5.6,24.80758087463914,169.4874279499054
full,7,1024,0.9973333333333333,1.0,1.2,24.971902628429138,170.74480199813843
full,8,1024,0.9974444444444445,1.0,1.2,24.718376824472003,106.07498216629028
full,9,1024,0.997,1.0,2.6,24.907523718409923,103.8091688156128
