seed,stream_ppl_full,stream_ppl_ref,forgetting_ppl_full,forgetting_ppl_ref
0,10.948724947276553,14.109152115392469,10.618008863119115,12.911595590826915
1,10.723386467156132,14.02117335536908,10.48983851802083,13.530298505177672
2,11.016559085791759,14.30451781376248,11.285917222897208,14.890016907753283
3,11.237356291595374,15.68261705817113,10.560311302287447,14.2563536021589
4,10.9580335657666,14.469117283660067,10.654258494054204,14.476777904497226
5,10.64261632047233,14.009886101093466,10.483395796878948,13.742212053484092
6,10.977545334049822,14.645722160896183,10.698215189334038,14.071031541948471
7,11.0030873984813,14.704718335239921,10.720421355714908,14.257618261343561
8,10.978891013222036,14.302913841972034,10.91712532791195,14.05347002082828
9,11.251050199188814,14.822482174187952,10.583216277362364,13.969368344804144
