seed,oracle_full,oracle_half,oracle_skip,oracle_proj,decode_fast8_te,decode_fast30_te,decode_slow_te,n_fast8,n_fast30,n_slow,ppl_fast8_direct_te,ppl_fast30_direct_te,ppl_fast8_twostage_te,ppl_fast30_twostage_te,ppl_table_te
0,32.57458164431746,17.70216555606997,18.393934518516684,7.344013092223381,0.9943333333333333,0.998,0.04666666666666667,32,51,56,85.92241208653115,83.54902148514391,85.92241208653115,87.02178297683656,15.379622574663047
1,28.84199242902066,16.787687070606356,16.60234725431496,7.152388668797903,0.9956666666666667,0.9991111111111111,0.049,36,58,52,70.1420922335415,68.1755590245701,74.3080816313501,73.61339898933515,16.938271276205423
2,31.09766969584425,17.907713708708666,18.015852107902642,7.185695874900826,0.8886666666666667,0.9544444444444444,0.034,27,50,63,82.06832209418654,80.69755232274585,82.06832209418654,80.06944830795763,14.672287524077875
3,31.012426420341157,16.168297631536003,16.971650291100644,7.361639746876128,0.9935555555555555,0.9987777777777778,0.04511111111111111,39,59,50,88.48881376310939,83.78710206843303,89.8943508543367,81.25560259181414,15.91806458661124
4,31.766261364389294,17.443555496065024,19.89067917399873,7.2545617397491755,0.9613333333333334,0.9873333333333333,0.04744444444444444,28,54,53,100.49518208403715,81.86765985934504,100.49518208403707,80.4528700391768,16.521582569213624
5,30.560116888764522,16.81480407927646,18.18327309633475,7.186052996483156,0.9836666666666667,0.9916666666666667,0.04477777777777778,31,47,53,84.75568846466709,82.03608372901219,84.75568846466716,84.61961149398877,14.778571430003911
6,30.5196163156935,16.36068785847925,17.694797506321542,7.290880561240637,0.9974444444444445,0.9987777777777778,0.04622222222222222,33,52,60,93.47784344704714,97.03140512349081,95.81159631006298,104.29843099827616,15.517482289959451
7,30.56996273041474,17.113182512378625,18.332448013928413,7.182753544109646,0.903,0.9568888888888889,0.03944444444444444,23,44,60,91.30236769755574,83.22817077116986,91.30236769755557,85.3012716993486,17.40134278512193
8,33.44802514716255,17.983518793147255,18.072336530031816,7.258389212524579,0.9603333333333334,0.9898888888888889,0.043555555555555556,27,59,55,98.85839179707989,90.91877118116328,98.85839179707972,94.61106097267654,15.369135311218583
9,31.775658193437636,18.35532804058118,18.283018611096526,7.261724518487203,0.9622222222222222,0.9845555555555555,0.04555555555555556,29,50,55,87.18766241063862,80.33285227165042,87.18766241063885,86.59887780802029,13.868316938169126
