task,substrate,readout,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all,nmse_final30
drift_binary,parallel,rmhl,0,256,40000,15.97301697731018,0.9,0.08,0.49832504208436973,
drift_binary,parallel,rmhl,1,256,40000,14.379157543182373,0.885,0.095,0.5240653501168312,
drift_binary,parallel,rmhl,2,256,40000,19.501081943511963,0.88,0.11,0.5019728147533982,
drift_binary,parallel,rmhl,3,256,40000,13.44928789138794,0.87,0.105,0.5260926861134142,
drift_binary,parallel,rmhl,4,256,40000,19.276948928833008,0.885,0.115,0.4976346071706741,
drift_binary,parallel,rmhl,5,256,40000,13.916185140609741,0.895,0.105,0.4984740333157458,
drift_binary,parallel,rmhl,6,256,40000,19.97235941886902,0.88,0.1,0.49968166628979177,
drift_binary,parallel,rmhl,7,256,40000,13.330702066421509,0.9,0.115,0.5026258134217733,
drift_binary,parallel,lms,0,256,40000,19.567622184753418,0.96,0.905,0.9042547925931508,
drift_binary,parallel,lms,1,256,40000,12.365450382232666,0.95,0.88,0.9083314489585689,
drift_binary,parallel,lms,2,256,40000,19.83973264694214,0.955,0.9,0.9055006155624229,
drift_binary,parallel,lms,3,256,40000,12.658886909484863,0.945,0.885,0.893479560815055,
drift_binary,parallel,lms,4,256,40000,20.263133764266968,0.96,0.88,0.9118106328986708,
drift_binary,parallel,lms,5,256,40000,12.019738912582397,0.955,0.855,0.9090482651189669,
drift_binary,parallel,lms,6,256,40000,19.986765384674072,0.95,0.9,0.9078126177734227,
drift_binary,parallel,lms,7,256,40000,11.732741594314575,0.955,0.865,0.9062379085952615,
drift_binary,parallel,rmhl,8,256,40000,20.58756947517395,0.915,0.085,0.5204351649456044,
drift_binary,parallel,rmhl,9,256,40000,12.712138891220093,0.92,0.115,0.5168796010150499,
drift_binary,parallel,lms,8,256,40000,20.40687608718872,0.965,0.905,0.9180089696238789,
drift_binary,parallel,lms,9,256,40000,12.08765983581543,0.97,0.885,0.9200948468631439,
drift_binary,parallel,rls_sparse,0,256,40000,28.09845542907715,0.98,0.96,0.9557401824074773,
drift_binary,parallel,rls_sparse,1,256,40000,30.70105266571045,0.97,0.95,0.9576496821687898,
drift_binary,parallel,rls_sparse,4,256,40000,28.49745464324951,0.97,0.95,0.9572285872214266,
drift_binary,parallel,rls_sparse,5,256,40000,30.299980640411377,0.97,0.945,0.9582357227205346,
drift_binary,parallel,rls_sparse,2,256,40000,28.514580011367798,0.97,0.95,0.9596088037988995,
drift_binary,parallel,rls_sparse,3,256,40000,30.468712091445923,0.97,0.955,0.955903369262079,
drift_binary,parallel,rls_sparse,8,256,40000,28.376131057739258,0.98,0.955,0.9583989095751363,
