arm,seed,n_res,spectral_radius,leak,stream_ppl,neg_frac,clip_frac,t_adapt_mean,forgetting_ppl,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
ESN-lin,0,0,0.0,0.0,12.769674128593154,0.0,0.0,20.0,12.99537771361681,12.769674128593154,0,0.0,0.0,12.99537771361681,0,0.6771693229675293
ESN-lin,1,0,0.0,0.0,12.184383334711962,0.0,0.0,20.0,13.490459868817501,12.184383334711962,0,0.0,0.0,13.490459868817501,0,0.7430691719055176
ESN-lin,2,0,0.0,0.0,12.283686567049422,0.0,0.0,20.0,13.165761122762671,12.283686567049422,0,0.0,0.0,13.165761122762671,0,0.6935701370239258
ESN-lin,3,0,0.0,0.0,12.51037846661612,0.0,0.0,20.0,14.041325609379344,12.51037846661612,0,0.0,0.0,14.041325609379344,0,0.7381598949432373
ESN-lin,4,0,0.0,0.0,12.429771836858292,0.0,0.0,20.0,13.259060225733446,12.429771836858292,0,0.0,0.0,13.259060225733446,0,0.7187697887420654
ESN-lin,5,0,0.0,0.0,12.507197358596922,0.0,0.0,20.0,13.43234516411405,12.507197358596922,0,0.0,0.0,13.43234516411405,0,0.7085866928100586
ESN-lin,6,0,0.0,0.0,12.303775685703403,0.0,0.0,20.0,13.116088366439413,12.303775685703403,0,0.0,0.0,13.116088366439413,0,0.7187492847442627
ESN-lin,7,0,0.0,0.0,12.574920568986451,0.0,0.0,20.0,12.623932413691056,12.574920568986451,0,0.0,0.0,12.623932413691056,0,0.6769185066223145
ESN-lin,8,0,0.0,0.0,12.51511778558513,0.0,0.0,20.0,14.401737815249964,12.51511778558513,0,0.0,0.0,14.401737815249964,0,0.7121188640594482
ESN-lin,9,0,0.0,0.0,12.21293407433727,0.0,0.0,20.0,13.567224768234956,12.21293407433727,0,0.0,0.0,13.567224768234956,0,0.7264571189880371
ESN-128,0,128,0.9,0.5,100.16605154368136,0.11215937513712756,0.11215937513712756,20.0,85.64492365595359,5.4638323015345245,2556,0.10134554823933581,0.10134554823933581,6.146104185652179,354,11.295519351959229
ESN-128,1,128,0.9,0.5,90.2103359644853,0.10868540914088268,0.10868540914088268,20.0,87.667054702914,5.375336439858496,2768,0.097910105926138,0.097910105926138,6.6367268270496655,342,12.428936958312988
ESN-128,2,128,0.9,0.5,101.89678609893383,0.11399227602597292,0.11399227602597292,20.0,94.51724948305026,5.279682628727701,2686,0.10420841683366733,0.10420841683366733,6.127706475623003,364,11.176146984100342
ESN-128,3,128,0.9,0.5,101.81192262608815,0.11232227488151658,0.11232227488151658,20.0,122.59480910276407,5.538784370440776,2844,0.10907529344403091,0.10907529344403091,6.701021013720154,381,12.084490299224854
ESN-128,4,128,0.9,0.5,102.98426020363394,0.11406859724789485,0.11406859724789485,20.0,90.75202232454902,5.331429475600915,2777,0.09876896650443745,0.09876896650443745,6.438121117962567,345,11.31733775138855
ESN-128,5,128,0.9,0.5,103.35397109132474,0.11326847443593459,0.11326847443593459,20.0,97.33179213501954,5.479823466800954,2736,0.1056398511308331,0.1056398511308331,6.231533023243713,369,11.835388422012329
ESN-128,6,128,0.9,0.5,96.88360352367432,0.11214838471932195,0.11214838471932195,20.0,107.75868886749278,5.264389112372019,2739,0.10764385914686515,0.10764385914686515,6.195631563630619,376,13.055982112884521
ESN-128,7,128,0.9,0.5,95.23133518215788,0.1108385174800666,0.1108385174800666,20.0,88.47867334328363,5.364839718340902,2530,0.10077297452046952,0.10077297452046952,6.12941168192198,352,11.438364505767822
ESN-128,8,128,0.9,0.5,101.30551058440784,0.11329556814395202,0.11329556814395202,20.0,100.0742829624108,5.353189645446052,2720,0.10392212997423418,0.10392212997423418,6.645421918421575,363,10.942811250686646
ESN-128,9,128,0.9,0.5,93.96739394040635,0.11018533571776946,0.11018533571776946,20.0,102.78456276130576,5.38658088540499,2711,0.09991411394217005,0.09991411394217005,6.559474635604118,349,10.195842266082764
ESN-128-sr1.0,0,128,1.0,0.5,99.69778241509431,0.11163280530080302,0.11163280530080302,20.0,81.8775797608489,5.5192471564359185,2544,0.09934154022330376,0.09934154022330376,6.284592712129928,347,9.735928297042847
ESN-128-sr1.0,1,128,1.0,0.5,92.05239785540753,0.10923511858017905,0.10923511858017905,20.0,92.07201810226397,5.411376997651481,2782,0.0990552533638706,0.0990552533638706,6.635666170819453,346,10.739548206329346
ESN-128-sr1.0,2,128,1.0,0.5,103.57026679128323,0.11437423078555362,0.11437423078555362,20.0,94.15992976908198,5.317774392773998,2695,0.10392212997423418,0.10392212997423418,6.218370585126029,363,9.468705654144287
ESN-128-sr1.0,3,128,1.0,0.5,103.41276421409908,0.11255924170616113,0.11255924170616113,20.0,110.41801394907186,5.598096573043229,2850,0.10592613799026625,0.10592613799026625,6.98106027835029,370,9.22922682762146
ESN-128-sr1.0,4,128,1.0,0.5,104.26916934516748,0.11427397822961594,0.11427397822961594,20.0,94.42556682493132,5.374146674947361,2782,0.09876896650443745,0.09876896650443745,6.536483056389149,345,9.19277048110962
ESN-128-sr1.0,5,128,1.0,0.5,103.12905017498984,0.11281308217760298,0.11281308217760298,20.0,91.11500607947187,5.539644822101118,2725,0.10191812195820212,0.10191812195820212,6.425528741116859,356,8.717008829116821
ESN-128-sr1.0,6,128,1.0,0.5,97.92849778667954,0.11243499979527495,0.11243499979527495,20.0,103.46471155855524,5.283883380788163,2746,0.10535356427139994,0.10535356427139994,6.36686734969653,368,8.936617851257324
