task,substrate,readout,margin,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,post_swap_late_acc,mean_acc_all,n_flips,first_flip_block,flip_latency_blocks
drift_binary,parallel,rmhl_oracle,,2,256,40000,3.9251773357391357,0.88,0.11,0.075,0.5019728147533982,0,-1,-1
drift_binary,parallel,rmhl_oracle,,3,256,40000,3.3783445358276367,0.87,0.105,0.13,0.5260926861134142,0,-1,-1
drift_binary,parallel,rmhl_oracle,,0,256,40000,3.653538942337036,0.9,0.08,0.11,0.49832504208436973,0,-1,-1
drift_binary,parallel,rmhl_oracle,,1,256,40000,3.8953871726989746,0.885,0.095,0.12,0.5240653501168312,0,-1,-1
drift_binary,parallel,rmhl_oracle,,4,256,40000,3.555835485458374,0.885,0.115,0.105,0.4976346071706741,0,-1,-1
drift_binary,parallel,rmhl_oracle,,5,256,40000,3.991579294204712,0.895,0.105,0.1,0.4984740333157458,0,-1,-1
drift_binary,parallel,rmhl_oracle,,8,256,40000,5.08775782585144,0.915,0.085,0.085,0.5204351649456044,0,-1,-1
drift_binary,parallel,rmhl_oracle,,9,256,40000,3.4245738983154297,0.92,0.115,0.085,0.5168796010150499,0,-1,-1
drift_binary,parallel,probe_directed,0.2,4,256,40000,4.713127851486206,0.885,0.885,0.895,0.8640250244968719,1,1099,99
drift_binary,parallel,probe_directed,0.2,5,256,40000,3.7228362560272217,0.895,0.895,0.9,0.8665627748046532,1,1099,99
drift_binary,parallel,probe_directed,0.2,6,256,40000,4.69597864151001,0.88,0.9,0.905,0.8574867465641567,1,1099,99
drift_binary,parallel,probe_directed,0.2,7,256,40000,3.3686683177948,0.9,0.885,0.8825000000000001,0.856171327353584,1,1099,99
drift_binary,parallel,rmhl_oracle,,6,256,40000,5.853017807006836,0.88,0.1,0.095,0.49968166628979177,0,-1,-1
drift_binary,parallel,rmhl_oracle,,7,256,40000,3.456604242324829,0.9,0.115,0.1175,0.5026258134217733,0,-1,-1
drift_binary,parallel,passive_flip,0.1,2,256,40000,4.505378484725952,0.88,0.89,0.925,0.8862830079646239,1,1039,39
drift_binary,parallel,passive_flip,0.1,3,256,40000,3.5852930545806885,0.87,0.9,0.87,0.8732447677194041,1,1039,39
drift_binary,parallel,probe_directed,0.2,0,256,40000,5.274006128311157,0.9,0.92,0.89,0.8613779804527525,1,1099,99
drift_binary,parallel,probe_directed,0.2,1,256,40000,3.645268678665161,0.885,0.905,0.88,0.8584036833245395,1,1099,99
drift_binary,parallel,probe_directed,0.2,2,256,40000,5.1488847732543945,0.88,0.89,0.925,0.8621630109796236,1,1099,99
drift_binary,parallel,probe_directed,0.2,3,256,40000,3.744992256164551,0.87,0.9,0.87,0.8497663375292078,1,1099,99
drift_binary,parallel,passive_flip,0.1,0,256,40000,4.680119514465332,0.9,0.92,0.89,0.8863796135775482,1,1039,39
drift_binary,parallel,passive_flip,0.1,1,256,40000,3.7187721729278564,0.885,0.905,0.88,0.8825236803095399,1,1039,39
drift_binary,parallel,passive_flip,0.1,4,256,40000,5.663563966751099,0.885,0.885,0.895,0.887391271576091,1,1039,39
drift_binary,parallel,passive_flip,0.1,5,256,40000,3.501274824142456,0.895,0.895,0.9,0.8905579005552624,1,1039,39
drift_binary,parallel,probe_directed,0.2,8,256,40000,5.408283710479736,0.915,0.915,0.915,0.855853873018266,1,1099,99
drift_binary,parallel,probe_directed,0.2,9,256,40000,4.029911041259766,0.92,0.885,0.915,0.8537555589055551,1,1099,99
drift_binary,parallel,passive_flip,0.1,8,256,40000,5.379170179367065,0.915,0.915,0.915,0.8803758699530162,1,1039,39
drift_binary,parallel,passive_flip,0.1,9,256,40000,3.8765909671783447,0.92,0.885,0.915,0.8778253058968367,1,1039,39
drift_binary,parallel,passive_flip,0.1,6,256,40000,5.9157373905181885,0.88,0.9,0.905,0.8804509936936258,1,1039,39
drift_binary,parallel,passive_flip,0.1,7,256,40000,3.5606729984283447,0.9,0.885,0.8825000000000001,0.8784823245647094,1,1039,39
drift_binary,parallel,passive_flip,0.2,0,256,40000,5.23574161529541,0.9,0.92,0.89,0.8863796135775482,1,1039,39
drift_binary,parallel,passive_flip,0.2,1,256,40000,3.9806807041168213,0.885,0.905,0.88,0.8825236803095399,1,1039,39
drift_binary,parallel,passive_flip,0.2,4,256,40000,3.518258571624756,0.885,0.885,0.895,0.887391271576091,1,1039,39
drift_binary,parallel,passive_flip,0.2,5,256,40000,3.0858867168426514,0.895,0.895,0.9,0.8905579005552624,1,1039,39
drift_binary,parallel,passive_flip,0.2,2,256,40000,3.9041922092437744,0.88,0.89,0.925,0.8862830079646239,1,1039,39
drift_binary,parallel,passive_flip,0.2,3,256,40000,3.169128656387329,0.87,0.9,0.87,0.8732447677194041,1,1039,39
drift_binary,parallel,passive_flip,0.2,6,256,40000,3.4591405391693115,0.88,0.9,0.905,0.8804509936936258,1,1039,39
drift_binary,parallel,passive_flip,0.2,7,256,40000,3.469992160797119,0.9,0.885,0.8825000000000001,0.8784823245647094,1,1039,39
drift_binary,parallel,passive_flip,0.2,8,256,40000,3.259669542312622,0.915,0.915,0.915,0.8803758699530162,1,1039,39
drift_binary,parallel,passive_flip,0.2,9,256,40000,2.9234213829040527,0.92,0.885,0.915,0.8778253058968367,1,1039,39
drift_binary,parallel,passive_flip,0.3,0,256,40000,2.76896333694458,0.9,0.92,0.89,0.8784401145699856,1,1059,59
drift_binary,parallel,passive_flip,0.3,1,256,40000,2.991222858428955,0.885,0.905,0.88,0.8748856812642898,1,1059,59
