task,substrate,readout,env,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_mean,post_swap_mean,steady_acc,n_flips,v_final
drift_binary,parallel,rmhl_oracle,A,0,256,40000,2.3963139057159424,0.4975210421848697,0.63,0.365,,0,nan
drift_binary,parallel,rmhl_oracle,A,1,256,40000,1.7868082523345947,0.5115061179367353,0.6416666666666667,0.37333333333333335,,0,nan
drift_binary,parallel,rmhl_oracle,A,2,256,40000,2.812732219696045,0.503229064596367,0.6383333333333333,0.365,,0,nan
drift_binary,parallel,rmhl_oracle,A,3,256,40000,2.431243896484375,0.5352307730961534,0.6283333333333334,0.3633333333333333,,0,nan
drift_binary,parallel,rmhl_oracle,A,4,256,40000,2.865962266921997,0.494654280043215,0.62,0.36000000000000004,,0,nan
drift_binary,parallel,rmhl_oracle,A,5,256,40000,2.582965850830078,0.49710622848672137,0.6350000000000001,0.36500000000000005,,0,nan
drift_binary,parallel,passive_fixed,A,0,256,40000,2.926269054412842,0.8568074922740634,0.9066666666666667,0.9083333333333333,,3,nan
drift_binary,parallel,passive_fixed,A,1,256,40000,2.4267518520355225,0.8533819502022563,0.9066666666666667,0.9033333333333333,,3,nan
drift_binary,parallel,passive_fixed,A,2,256,40000,2.7567672729492188,0.8546757619155299,0.9133333333333334,0.9083333333333333,,3,nan
drift_binary,parallel,passive_fixed,A,3,256,40000,2.893773317337036,0.846629984171252,0.8966666666666666,0.8933333333333334,,3,nan
drift_binary,parallel,rmhl_oracle,B,0,256,40000,2.749333620071411,0.9020626366171705,nan,,0.9,0,nan
drift_binary,parallel,rmhl_oracle,B,1,256,40000,2.6192352771759033,0.8994353156955854,nan,,0.89,0,nan
drift_binary,parallel,passive_fixed,A,6,256,40000,2.9141952991485596,0.849672872540891,0.8966666666666668,0.9066666666666667,,3,nan
drift_binary,parallel,passive_fixed,A,7,256,40000,2.7214114665985107,0.8550988668626417,0.9033333333333333,0.9,,3,nan
drift_binary,parallel,rmhl_oracle,A,8,256,40000,3.0068187713623047,0.5084722745659658,0.63,0.3666666666666667,,0,nan
drift_binary,parallel,rmhl_oracle,A,9,256,40000,2.7298974990844727,0.5030178889977639,0.6350000000000001,0.37833333333333335,,0,nan
drift_binary,parallel,meta_self,A,2,256,40000,2.761495351791382,0.8535702620537173,0.9133333333333334,0.9083333333333333,,3,0.503762146542918
drift_binary,parallel,meta_self,A,3,256,40000,2.7283525466918945,0.8454742343157208,0.8966666666666666,0.8933333333333334,,3,0.503762146542918
drift_binary,parallel,rmhl_oracle,A,6,256,40000,2.9660580158233643,0.5008374161453231,0.63,0.36333333333333334,,0,nan
drift_binary,parallel,rmhl_oracle,A,7,256,40000,2.9733846187591553,0.5074945353131831,0.64,0.36333333333333334,,0,nan
drift_binary,parallel,meta_self,A,0,256,40000,2.790745735168457,0.8559532423808447,0.9066666666666667,0.9083333333333333,,3,0.503762146542918
drift_binary,parallel,meta_self,A,1,256,40000,2.7768003940582275,0.8522764503404437,0.9066666666666667,0.9033333333333333,,3,0.503762146542918
drift_binary,parallel,meta_self,A,8,256,40000,2.915062189102173,0.847559232180096,0.9033333333333333,0.89,,3,0.503762146542918
drift_binary,parallel,meta_self,A,9,256,40000,2.753452777862549,0.8356833999145751,0.8833333333333333,0.8683333333333333,,3,0.503762146542918
drift_binary,parallel,passive_fixed,A,8,256,40000,2.782413959503174,0.8490667319916585,0.9033333333333333,0.89,,3,nan
drift_binary,parallel,passive_fixed,A,9,256,40000,3.2370684146881104,0.8371406497324189,0.8833333333333333,0.8683333333333333,,3,nan
drift_binary,parallel,passive_fixed,A,4,256,40000,3.140188455581665,0.8496634506670687,0.8933333333333332,0.91,,3,nan
drift_binary,parallel,passive_fixed,A,5,256,40000,3.3466737270355225,0.8507641767794779,0.8916666666666667,0.8983333333333334,,3,nan
drift_binary,parallel,meta_self,A,4,256,40000,2.7497456073760986,0.8489097007612875,0.8933333333333332,0.91,,3,0.503762146542918
drift_binary,parallel,meta_self,A,5,256,40000,3.56402587890625,0.8496586769176654,0.8916666666666667,0.8983333333333334,,3,0.503762146542918
drift_binary,parallel,meta_self,A,6,256,40000,2.932088851928711,0.8483161227104847,0.8966666666666668,0.9066666666666667,,3,0.503762146542918
drift_binary,parallel,meta_self,A,7,256,40000,3.3794519901275635,0.8538928670133916,0.9033333333333333,0.9,,3,0.503762146542918
drift_binary,parallel,rmhl_oracle,B,2,256,40000,3.406132698059082,0.9024684053164495,nan,,0.9,0,nan
drift_binary,parallel,rmhl_oracle,B,3,256,40000,2.2092978954315186,0.8860200748724907,nan,,0.88,0,nan
drift_binary,parallel,rmhl_oracle,B,4,256,40000,2.6559181213378906,0.9034764201904475,nan,,0.925,0,nan
drift_binary,parallel,rmhl_oracle,B,5,256,40000,2.038168430328369,0.9041756488530439,nan,,0.915,0,nan
drift_binary,parallel,rmhl_oracle,B,6,256,40000,2.371568202972412,0.8963399160825104,nan,,0.91,0,nan
