task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,corrupt_acc,steady_final_acc,n_flips,v_final
drift_binary,parallel,meta_truth,4,256,40000,2.3535866737365723,0.8872405215949347,0.88,0.91,0.915,0.92,1,0.35214979802452456
drift_binary,parallel,meta_truth,5,256,40000,1.7285065650939941,0.890055400618075,0.895,0.915,0.905,0.92,1,0.35214979802452456
drift_binary,parallel,meta_truth,2,256,40000,2.4557247161865234,0.8861322579834677,0.895,0.92,0.89,0.895,1,0.35214979802452456
drift_binary,parallel,meta_truth,3,256,40000,1.8087713718414307,0.8727422677822165,0.89,0.88,0.88,0.9,1,0.35214979802452456
drift_binary,parallel,meta_truth,8,256,40000,2.4083282947540283,0.8798733700158287,0.905,0.885,0.91,0.885,1,0.35214979802452456
drift_binary,parallel,meta_truth,9,256,40000,1.88623046875,0.8773228059596492,0.92,0.88,0.885,0.895,1,0.35214979802452456
drift_binary,parallel,meta_truth,0,256,40000,2.5948307514190674,0.8859273636340795,0.915,0.905,0.895,0.9,1,0.35214979802452456
drift_binary,parallel,meta_truth,1,256,40000,1.9107584953308105,0.8820211803723523,0.91,0.92,0.885,0.905,1,0.35214979802452456
drift_binary,parallel,meta_truth,6,256,40000,2.530579090118408,0.8803002437124696,0.88,0.905,0.9,0.91,1,0.35214979802452456
drift_binary,parallel,meta_truth,7,256,40000,1.8741493225097656,0.8779798246275219,0.88,0.915,0.885,0.88,1,0.35214979802452456
drift_binary,parallel,meta_corrupt,6,256,40000,2.2723896503448486,0.6819635185045603,0.88,0.905,0.1,0.91,3,0.503762146542918
drift_binary,parallel,meta_corrupt,7,256,40000,1.8670637607574463,0.6805475993065501,0.88,0.915,0.115,0.88,3,0.503762146542918
drift_binary,parallel,passive_truth,0,256,40000,2.286120891571045,0.8863796135775482,0.915,0.905,0.895,0.9,1,nan
drift_binary,parallel,passive_truth,1,256,40000,1.85683274269104,0.8825236803095399,0.91,0.92,0.885,0.905,1,nan
drift_binary,parallel,passive_truth,6,256,40000,2.231205940246582,0.8804509936936258,0.88,0.905,0.9,0.91,1,nan
drift_binary,parallel,passive_truth,7,256,40000,1.867213487625122,0.8784823245647094,0.88,0.915,0.885,0.88,1,nan
drift_binary,parallel,meta_corrupt,2,256,40000,2.4649860858917236,0.6844287831964021,0.895,0.92,0.11,0.895,3,0.503762146542918
drift_binary,parallel,meta_corrupt,3,256,40000,1.9684150218963623,0.6786860882892389,0.89,0.88,0.13,0.8925000000000001,3,0.503762146542918
drift_binary,parallel,passive_truth,2,256,40000,2.398606777191162,0.8862830079646239,0.895,0.92,0.89,0.895,1,nan
drift_binary,parallel,passive_truth,3,256,40000,1.8186187744140625,0.8732447677194041,0.89,0.88,0.88,0.9,1,nan
drift_binary,parallel,meta_corrupt,4,256,40000,2.66438627243042,0.6854238586970177,0.88,0.91,0.085,0.925,3,0.503762146542918
drift_binary,parallel,meta_corrupt,5,256,40000,1.807330846786499,0.6842314263460716,0.895,0.915,0.095,0.92,3,0.503762146542918
drift_binary,parallel,meta_corrupt,8,256,40000,2.4765853881835938,0.6788733951408256,0.905,0.885,0.09,0.885,3,0.503762146542918
drift_binary,parallel,meta_corrupt,9,256,40000,1.7803723812103271,0.6793378307077712,0.92,0.88,0.115,0.895,3,0.503762146542918
drift_binary,parallel,passive_truth,8,256,40000,2.3720932006835938,0.8803758699530162,0.905,0.885,0.91,0.885,1,nan
drift_binary,parallel,passive_truth,9,256,40000,1.82942795753479,0.8778253058968367,0.92,0.88,0.885,0.895,1,nan
drift_binary,parallel,passive_truth,4,256,40000,2.2657370567321777,0.887391271576091,0.88,0.91,0.915,0.92,1,nan
drift_binary,parallel,passive_truth,5,256,40000,2.018467664718628,0.8905579005552624,0.895,0.915,0.905,0.92,1,nan
drift_binary,parallel,meta_corrupt,0,256,40000,2.761314868927002,0.6850278887465139,0.915,0.905,0.105,0.9,3,0.503762146542918
drift_binary,parallel,meta_corrupt,1,256,40000,1.9627346992492676,0.6833327052084118,0.91,0.92,0.115,0.905,3,0.503762146542918
drift_binary,parallel,passive_corrupt,0,256,40000,2.475034475326538,0.6854801386899826,0.915,0.905,0.105,0.9,3,nan
drift_binary,parallel,passive_corrupt,1,256,40000,1.884887456893921,0.6838854551393181,0.91,0.92,0.115,0.905,3,nan
drift_binary,parallel,passive_corrupt,2,256,40000,1.6756787300109863,0.6845795331775583,0.895,0.92,0.11,0.895,3,nan
drift_binary,parallel,passive_corrupt,3,256,40000,2.512216329574585,0.6791383382327078,0.89,0.88,0.13,0.8925000000000001,3,nan
drift_binary,parallel,passive_corrupt,4,256,40000,1.6729588508605957,0.6852731087158613,0.88,0.91,0.085,0.925,3,nan
drift_binary,parallel,passive_corrupt,5,256,40000,2.5827722549438477,0.6843821763272279,0.895,0.915,0.095,0.92,3,nan
drift_binary,parallel,passive_corrupt,6,256,40000,1.7926900386810303,0.682214768473154,0.88,0.905,0.1,0.91,3,nan
