task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,win_mid_acc,win_final_acc,n_flips,n_prunes
std,parallel,rmhl,4,256,40000,3.3906116485595703,0.4976609884173765,0.09,0.075,0,0
std,parallel,rmhl,5,256,40000,1.985478162765503,0.4985370970578629,0.085,0.08,0,0
std,parallel,rmhl,2,256,40000,3.553028106689453,0.5019493228813348,0.08,0.105,0,0
std,parallel,rmhl,3,256,40000,2.0218346118927,0.5261482123564735,0.12,0.14,0,0
std,parallel,rmhl,0,256,40000,3.5845110416412354,0.4985991558001056,0.095,0.1,0,0
std,parallel,rmhl,1,256,40000,2.0325188636779785,0.5263234592095676,0.08,0.135,0,0
std,parallel,rmhl,6,256,40000,3.541916847229004,0.49868759578905053,0.095,0.09,0,0
std,parallel,rmhl,7,256,40000,2.034590244293213,0.5021022084872239,0.085,0.12,0,0
ramp,parallel,rmhl,0,256,40000,3.4733152389526367,0.6937247807844024,0.55,0.505,0,0
ramp,parallel,rmhl,1,256,40000,2.0667378902435303,0.6798042762744655,0.5,0.465,0,0
ramp,parallel,rmhl,2,256,40000,3.6668102741241455,0.7038026682746665,0.575,0.535,0,0
ramp,parallel,rmhl,3,256,40000,2.188807487487793,0.666277480465315,0.41,0.5,0,0
std,parallel,rmhl,8,256,40000,3.5891497135162354,0.5198630687671164,0.115,0.125,0,0
std,parallel,rmhl,9,256,40000,2.5179882049560547,0.5171434134820734,0.12,0.135,0,0
ramp,parallel,rmhl,4,256,40000,3.692807912826538,0.691996055375493,0.5,0.5,0,0
ramp,parallel,rmhl,5,256,40000,2.2022812366485596,0.6927849802768775,0.5,0.5,0,0
ramp,parallel,rmhl,6,256,40000,3.3056557178497314,0.6813811210773597,0.45,0.5,0,0
ramp,parallel,rmhl,7,256,40000,2.5150108337402344,0.6830585914926761,0.5,0.5,0,0
std,parallel,single_flip,8,256,40000,3.497363805770874,0.8798288987713876,0.885,0.885,1,0
std,parallel,single_flip,9,256,40000,2.197377920150757,0.8771846184769226,0.88,0.895,1,0
std,parallel,single_flip,6,256,40000,3.339823007583618,0.880568704303912,0.905,0.91,1,0
std,parallel,single_flip,7,256,40000,2.4562227725982666,0.8779789452526319,0.915,0.88,1,0
