task,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,win_mid_acc,win_final_acc,n_flips,n_prunes
rotation2d,rmhl,2,3,40000,4.155082702636719,0.7324768221903971,0.57,0.79,0,0
rotation2d,rmhl,3,3,40000,1.847459316253662,0.6466807366649079,0.595,0.27,0,0
rotation2d,rmhl,0,3,40000,4.218078136444092,0.4652124318484461,0.8,0.8,0,0
rotation2d,rmhl,1,3,40000,2.350320339202881,0.347149192231351,0.54,0.5,0,0
rotation2d,rmhl,4,3,40000,3.4056715965270996,0.48430943946132005,0.62,0.81,0,0
rotation2d,rmhl,5,3,40000,2.103513717651367,0.4614130298233713,0.495,0.5,0,0
rotation2d,rmhl,6,3,40000,2.758124351501465,0.530398608075174,0.5,0.865,0,0
rotation2d,rmhl,7,3,40000,1.9511139392852783,0.30353307705836535,0.225,0.36,0,0
rotation2d,rmhl,8,3,40000,2.1060774326324463,0.7238108338986458,0.59,0.74,0,0
rotation2d,rmhl,9,3,40000,2.125638246536255,0.4035133539358307,0.47,0.49,0,0
rotation2d,single_flip,4,3,40000,2.5872437953948975,0.4805354136830733,0.68,0.815,1,0
rotation2d,single_flip,5,3,40000,2.0688655376434326,0.5272167784729027,0.57,0.505,6,0
rotation2d,single_flip,2,3,40000,2.7273764610290527,0.6410999723625034,0.655,0.835,7,0
rotation2d,single_flip,3,3,40000,2.0577759742736816,0.49396711137911115,0.725,0.54,5,0
rotation2d,pop5,4,3,40000,1.8232808113098145,0.49319979397502567,0.65,0.835,8,0
rotation2d,pop5,5,3,40000,2.2849009037017822,0.6145814175523229,0.525,0.59,26,1
rotation2d,single_flip,0,3,40000,2.7237284183502197,0.38081216552347935,0.495,0.495,2,0
rotation2d,single_flip,1,3,40000,2.403358221054077,0.6562426823446647,0.57,0.72,5,0
rotation2d,pop5,8,3,40000,2.104210376739502,0.5855736036782996,0.585,0.645,39,2
rotation2d,pop5,9,3,40000,2.4157586097717285,0.6176509384186327,0.585,0.705,22,2
rotation2d,single_flip,6,3,40000,2.750539779663086,0.5474278284465214,0.435,0.18,3,0
rotation2d,single_flip,7,3,40000,2.378232479095459,0.5051959749755032,0.65,0.845,5,0
rotation2d,pop5,2,3,40000,2.3015968799591064,0.6427721665284791,0.625,0.865,33,3
rotation2d,pop5,3,3,40000,2.3628575801849365,0.47030966558629184,0.735,0.53,22,4
rotation2d,pop5,0,3,40000,1.861821174621582,0.5867667897791512,0.625,0.79,25,4
rotation2d,pop5,1,3,40000,2.8799633979797363,0.5893613225798346,0.6,0.63,22,1
rotation2d,single_flip,8,3,40000,2.6181890964508057,0.42656767417904073,0.52,0.815,3,0
rotation2d,single_flip,9,3,40000,2.1709139347076416,0.6883308208336474,0.59,0.705,3,0
rotation2d,pop5,6,3,40000,2.6390979290008545,0.6674294615713173,0.62,0.215,20,2
rotation2d,pop5,7,3,40000,2.3232223987579346,0.5926823446647069,0.71,0.235,28,4
