task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R1_full_swap,parallel,rmhl,4,256,40000,4.8430328369140625,0.4976346071706741,0.88,0.09,0.075,0
drift_binary,R1_full_swap,parallel,rmhl,5,256,40000,3.3270833492279053,0.4984740333157458,0.895,0.085,0.08,0
drift_binary,R1_full_swap,parallel,rmhl,0,256,40000,5.1816020011901855,0.49832504208436973,0.915,0.095,0.1,0
drift_binary,R1_full_swap,parallel,rmhl,1,256,40000,3.289368152618408,0.5240653501168312,0.91,0.08,0.135,0
drift_binary,R1_full_swap,parallel,rmhl,2,256,40000,4.744235515594482,0.5019728147533982,0.895,0.08,0.105,0
drift_binary,R1_full_swap,parallel,rmhl,3,256,40000,4.205872297286987,0.5260926861134142,0.89,0.12,0.14,0
drift_binary,R1_full_swap,parallel,single_flip,2,256,40000,5.4230968952178955,0.8861322579834677,0.895,0.92,0.895,1
drift_binary,R1_full_swap,parallel,single_flip,3,256,40000,3.4253551959991455,0.8727422677822165,0.89,0.88,0.9,1
drift_binary,R1_full_swap,parallel,single_flip,6,256,40000,5.3442559242248535,0.8803002437124696,0.88,0.905,0.91,1
drift_binary,R1_full_swap,parallel,single_flip,7,256,40000,3.455728530883789,0.8779798246275219,0.88,0.915,0.88,1
drift_binary,R1_full_swap,parallel,rmhl,8,256,40000,5.129780292510986,0.5204351649456044,0.905,0.115,0.125,0
drift_binary,R1_full_swap,parallel,rmhl,9,256,40000,4.280150651931763,0.5168796010150499,0.92,0.12,0.135,0
drift_binary,R1_full_swap,parallel,rmhl,6,256,40000,6.211105585098267,0.49968166628979177,0.88,0.095,0.09,0
drift_binary,R1_full_swap,parallel,rmhl,7,256,40000,3.3820741176605225,0.5026258134217733,0.88,0.085,0.12,0
drift_binary,R1_full_swap,parallel,single_flip,8,256,40000,5.205694675445557,0.8798733700158287,0.905,0.885,0.885,1
drift_binary,R1_full_swap,parallel,single_flip,9,256,40000,4.030576229095459,0.8773228059596492,0.92,0.88,0.895,1
drift_binary,R1_full_swap,parallel,single_flip,0,256,40000,6.057066440582275,0.8859273636340795,0.915,0.905,0.9,1
drift_binary,R1_full_swap,parallel,single_flip,1,256,40000,3.9996895790100098,0.8820211803723523,0.91,0.92,0.905,1
drift_binary,R1_full_swap,parallel,single_flip,4,256,40000,5.759713172912598,0.8872405215949347,0.88,0.91,0.92,1
drift_binary,R1_full_swap,parallel,single_flip,5,256,40000,4.409392356872559,0.890055400618075,0.895,0.915,0.92,1
drift_binary,R1_full_swap,parallel,rls_fresh,8,256,40000,8.93399429321289,0.7360694454913194,0.44,0.985,0.985,0
drift_binary,R1_full_swap,parallel,rls_fresh,9,256,40000,6.240638971328735,0.7493354438330696,0.5,0.985,0.99,0
drift_binary,R1_full_swap,parallel,rls_fresh,0,256,40000,9.393880605697632,0.7412853948393257,0.515,0.985,0.985,0
drift_binary,R1_full_swap,parallel,rls_fresh,1,256,40000,6.2194366455078125,0.7548164618979423,0.5,0.99,0.99,0
drift_binary,R1_full_swap,parallel,rls_fresh,2,256,40000,9.310769081115723,0.7451860506017437,0.58,0.99,0.985,0
drift_binary,R1_full_swap,parallel,rls_fresh,3,256,40000,8.438507080078125,0.754705911911761,0.47,0.985,0.99,0
drift_binary,R1_full_swap,parallel,rls_fresh,6,256,40000,9.55100417137146,0.7410617823672772,0.5,0.99,0.99,0
drift_binary,R1_full_swap,parallel,rls_fresh,7,256,40000,8.333999872207642,0.7459498505062687,0.5,0.99,0.985,0
drift_binary,R1_full_swap,parallel,rls_fresh,4,256,40000,10.108099937438965,0.7379199015100124,0.5,0.985,0.99,0
drift_binary,R1_full_swap,parallel,rls_fresh,5,256,40000,7.985788583755493,0.7412627823421523,0.5,0.99,0.99,0
