task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R1_full_swap,parallel,rmhl,0,256,40000,2.752275228500366,0.4985991558001056,0.915,0.095,0.1,0,0
drift_binary,R1_full_swap,parallel,rmhl,1,256,40000,2.028769016265869,0.5263234592095676,0.91,0.08,0.135,0,0
drift_binary,R1_full_swap,parallel,rmhl,4,256,40000,2.769087553024292,0.4976609884173765,0.88,0.09,0.075,0,0
drift_binary,R1_full_swap,parallel,rmhl,5,256,40000,2.1245269775390625,0.4985370970578629,0.895,0.085,0.08,0,0
drift_binary,R1_full_swap,parallel,rmhl,2,256,40000,2.9539146423339844,0.5019493228813348,0.895,0.08,0.105,0,0
drift_binary,R1_full_swap,parallel,rmhl,3,256,40000,1.9785561561584473,0.5261482123564735,0.89,0.12,0.14,0,0
drift_binary,R1_full_swap,parallel,rmhl,8,256,40000,2.694243907928467,0.5198630687671164,0.905,0.115,0.125,0,0
drift_binary,R1_full_swap,parallel,rmhl,9,256,40000,1.9832417964935303,0.5171434134820734,0.92,0.12,0.135,0,0
drift_binary,R1_full_swap,parallel,rmhl,6,256,40000,2.836812734603882,0.49868759578905053,0.88,0.095,0.09,0,0
drift_binary,R1_full_swap,parallel,rmhl,7,256,40000,2.1713621616363525,0.5021022084872239,0.88,0.085,0.12,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,0,256,40000,2.740199565887451,0.899768975653878,0.915,0.905,0.9,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,1,256,40000,2.077920913696289,0.8982487877189015,0.91,0.92,0.905,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,2,256,40000,2.8555946350097656,0.9009073892615763,0.895,0.915,0.895,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,3,256,40000,1.9861369132995605,0.8850145724981784,0.89,0.88,0.9,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,4,256,40000,2.719545364379883,0.9007212130348484,0.88,0.905,0.92,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,5,256,40000,2.087231397628784,0.9044145875731765,0.895,0.915,0.92,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,6,256,40000,1.96354341506958,0.8933322027084747,0.88,0.905,0.91,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,7,256,40000,2.1845812797546387,0.8909685686289289,0.88,0.915,0.88,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,8,256,40000,1.9567065238952637,0.895440064319992,0.905,0.885,0.9,0,0
drift_binary,R1_full_swap,parallel,rmhl_norm,9,256,40000,2.1147758960723877,0.8899840456269942,0.92,0.88,0.905,0,0
drift_binary,R1_full_swap,parallel,single_flip,8,256,40000,2.0095231533050537,0.8798288987713876,0.905,0.885,0.885,1,0
drift_binary,R1_full_swap,parallel,single_flip,9,256,40000,2.017681837081909,0.8771846184769226,0.92,0.88,0.895,1,0
drift_binary,R1_full_swap,parallel,single_flip_norm,0,256,40000,1.907780647277832,0.899768975653878,0.915,0.905,0.9,0,0
drift_binary,R1_full_swap,parallel,single_flip_norm,1,256,40000,2.093208074569702,0.8982487877189015,0.91,0.92,0.905,0,0
drift_binary,R1_full_swap,parallel,single_flip,4,256,40000,2.098086357116699,0.8872669028416371,0.88,0.91,0.92,1,0
drift_binary,R1_full_swap,parallel,single_flip,5,256,40000,2.0039045810699463,0.890118464360192,0.895,0.915,0.92,1,0
drift_binary,R1_full_swap,parallel,single_flip,2,256,40000,2.2059073448181152,0.8861087661114042,0.895,0.92,0.895,1,0
drift_binary,R1_full_swap,parallel,single_flip,3,256,40000,2.1295700073242188,0.8727224190346976,0.89,0.88,0.8975,1,0
drift_binary,R1_full_swap,parallel,single_flip,6,256,40000,2.0874111652374268,0.880568704303912,0.88,0.905,0.91,1,0
drift_binary,R1_full_swap,parallel,single_flip,7,256,40000,2.180729866027832,0.8779789452526319,0.88,0.915,0.88,1,0
drift_binary,R1_full_swap,parallel,single_flip,0,256,40000,2.3281257152557373,0.8862014773498154,0.915,0.905,0.9,1,0
drift_binary,R1_full_swap,parallel,single_flip,1,256,40000,2.272432804107666,0.8821687897289012,0.91,0.92,0.905,1,0
