task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,gain_mean,gain_max
drift_binary,R1_full_swap,parallel,delta_base,6,256,40000,2.6709370613098145,0.9600776362402954,0.985,0.925,0.985,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,7,256,40000,1.513059139251709,0.9611426848571645,0.98,0.915,0.98,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,2,256,40000,2.8510901927948,0.970510791186151,0.995,0.93,0.99,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,3,256,40000,1.727494716644287,0.9598300293962463,0.99,0.905,0.985,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,4,256,40000,2.692965030670166,0.965302504962187,0.99,0.915,0.985,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,5,256,40000,2.064361572265625,0.9692799175900102,0.99,0.91,1.0,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_boost,4,256,40000,2.9267075061798096,0.9635971458003569,0.99,0.9225000000000001,0.985,1.1223173904949066,9.7
drift_binary,R1_full_swap,parallel,delta_boost,5,256,40000,1.8921263217926025,0.9651126856109142,0.99,0.905,0.995,1.1425646858633072,9.994
drift_binary,R1_full_swap,parallel,delta_base,8,256,40000,2.7893779277801514,0.970878495515188,1.0,0.93,0.995,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,9,256,40000,2.152273178100586,0.9702472299690962,0.99,0.875,1.0,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,0,256,40000,2.92120099067688,0.9625682771789653,0.99,0.93,0.975,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_base,1,256,40000,2.133939504623413,0.9648858068892741,0.99,0.925,0.995,0.0,0.0
drift_binary,R1_full_swap,parallel,delta_boost,2,256,40000,3.00040340423584,0.9695219969347504,0.995,0.94,0.99,1.1312536814780465,9.994
