task,env,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,post_rot_acc,steady_acc,gain_mean,gain_max
rotation2d,R2D_rot180,parallel,rmhl_norm,6,256,40000,3.5698649883270264,0.7571118816110147,0.76,0.66,0.77,0.79,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,7,256,40000,2.3104865550994873,0.7444942338132208,0.785,0.665,0.775,0.76,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,4,256,40000,3.6607348918914795,0.7618451797693525,0.8,0.77,0.765,0.79,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,5,256,40000,2.2991514205932617,0.754865832516771,0.79,0.745,0.79,0.805,nan,0.0
rotation2d,R2D_rot180,parallel,delta_base,0,256,40000,3.694932460784912,0.684556041305495,0.735,0.63,0.725,0.725,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,1,256,40000,2.0004234313964844,0.701065927991759,0.755,0.61,0.75,0.735,0.0,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,0,256,40000,4.384812355041504,0.7436094570488179,0.78,0.66,0.785,0.765,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,1,256,40000,3.09182071685791,0.7523359965830004,0.795,0.7,0.79,0.785,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,2,256,40000,4.28220009803772,0.7601570312303711,0.8,0.655,0.775,0.77,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,3,256,40000,3.099376678466797,0.7401695937288008,0.78,0.735,0.76,0.78,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,8,256,40000,4.475431680679321,0.7449643225044597,0.775,0.69,0.765,0.785,nan,0.0
rotation2d,R2D_rot180,parallel,rmhl_norm,9,256,40000,2.845550060272217,0.7452184618476924,0.7575000000000001,0.7024999999999999,0.735,0.78,nan,0.0
rotation2d,R2D_rot180,parallel,delta_base,4,256,40000,4.3195695877075195,0.7072083615989547,0.755,0.71,0.735,0.765,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,5,256,40000,2.847496747970581,0.6994192356975956,0.725,0.62,0.75,0.765,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,2,256,40000,4.362070798873901,0.703463103942112,0.775,0.625,0.72,0.715,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,3,256,40000,2.823620319366455,0.6914171754478531,0.73,0.68,0.74,0.73,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,8,256,40000,3.391695022583008,0.6907109117861361,0.73,0.575,0.715,0.735,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,9,256,40000,4.137507677078247,0.6897196050350494,0.725,0.63,0.67,0.725,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,6,256,40000,3.509772539138794,0.6865524735559407,0.69,0.51,0.715,0.73,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_base,7,256,40000,4.210149765014648,0.6983829552021306,0.76,0.585,0.72,0.71,0.0,0.0
rotation2d,R2D_rot180,parallel,delta_boost,0,256,40000,3.495715379714966,0.6113328810833899,0.63,0.515,0.625,0.59,6.119280803174337,9.997384384699686
rotation2d,R2D_rot180,parallel,delta_boost,1,256,40000,4.162368059158325,0.6285834526770684,0.625,0.475,0.67,0.645,5.475557405954691,9.998142166345916
rotation2d,R2D_rot180,parallel,delta_boost,2,256,40000,3.629065990447998,0.6451948443506444,0.725,0.565,0.635,0.59,4.963787893511274,9.997229228204596
rotation2d,R2D_rot180,parallel,delta_boost,3,256,40000,4.066165924072266,0.5857170674103666,0.62,0.56,0.595,0.61,6.871422951064814,9.995450126094498
rotation2d,R2D_rot180,parallel,delta_boost,4,256,40000,3.799283504486084,0.6249756287530464,0.655,0.665,0.635,0.64,5.7888945465912105,9.99970223016534
rotation2d,R2D_rot180,parallel,delta_boost,5,256,40000,4.250828981399536,0.6226641290419839,0.67,0.52,0.675,0.665,5.81951226461635,9.996017647313762
rotation2d,R2D_rot180,parallel,delta_boost,6,256,40000,3.664565086364746,0.6119708047536493,0.63,0.42,0.58,0.645,6.027972529863813,9.997243143784267
rotation2d,R2D_rot180,parallel,delta_boost,7,256,40000,4.216310739517212,0.6112985854626768,0.64,0.48,0.615,0.605,6.2876124799014965,9.9997624
rotation2d,R2D_rot180,parallel,rls_online,0,256,40000,3.7590432167053223,0.8599959800005025,0.9,0.7,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,1,256,40000,3.9769415855407715,0.8492449938443758,0.9,0.78,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,delta_boost,8,256,40000,4.075347661972046,0.6058023667747042,0.66,0.53,0.6,0.65,6.216828360894663,9.98552846309485
rotation2d,R2D_rot180,parallel,delta_boost,9,256,40000,4.220074415206909,0.6165189316851335,0.65,0.63,0.595,0.655,6.023666329169861,9.998619934635352
rotation2d,R2D_rot180,parallel,rls_online,2,256,40000,3.7031726837158203,0.8634896108137986,0.925,0.76,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,3,256,40000,2.4579474925994873,0.8608024923996885,0.9,0.8,0.9,0.935,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,4,256,40000,3.6512646675109863,0.8649229918846261,0.9,0.8,0.955,1.0,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,5,256,40000,2.79630184173584,0.8611781111027361,1.0,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,6,256,40000,3.176910638809204,0.8599193487600815,0.9,0.8,0.8474999999999999,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,7,256,40000,2.716611862182617,0.8496708625411422,0.9,0.7,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,8,256,40000,2.9964218139648438,0.8580387427451572,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,parallel,rls_online,9,256,40000,2.7755002975463867,0.8561581367302329,0.9,0.7,0.895,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,2,256,40000,6.854275226593018,0.8150297731212782,0.87,0.655,0.85,0.85,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,3,256,40000,8.816368818283081,0.8012895404638074,0.855,0.73,0.825,0.855,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,6,256,40000,6.60027551651001,0.8068823647647043,0.82,0.675,0.845,0.8674999999999999,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,7,256,40000,8.419523477554321,0.8011625336046833,0.855,0.67,0.835,0.83,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,0,256,40000,7.771669626235962,0.7951249968593753,0.835,0.665,0.835,0.845,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,1,256,40000,8.374618530273438,0.8062764754654405,0.85,0.665,0.86,0.85,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,4,256,40000,7.797161340713501,0.811789527901309,0.845,0.75,0.845,0.86,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,5,256,40000,8.673384666442871,0.8039416095072989,0.845,0.73,0.86,0.86,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,0,256,40000,8.550466299057007,0.7613686842039145,0.79,0.5974999999999999,0.8,0.78,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,1,256,40000,6.226191282272339,0.7683794377025702,0.82,0.61,0.795,0.805,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,8,256,40000,8.803923845291138,0.8037548051556495,0.84,0.68,0.85,0.86,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rmhl_norm,9,256,40000,7.511950731277466,0.8027430215321223,0.84,0.655,0.815,0.835,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,2,256,40000,8.835984706878662,0.772309615336298,0.81,0.64,0.805,0.805,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,3,256,40000,7.469552278518677,0.7590330644958669,0.8,0.655,0.77,0.8,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,4,256,40000,8.757282972335815,0.7693777794527776,0.785,0.695,0.795,0.83,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,5,256,40000,7.028570890426636,0.7646290294213713,0.815,0.645,0.795,0.82,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,8,256,40000,6.0971739292144775,0.7598728675158916,0.81,0.59,0.805,0.845,0.0,0.0
