task,rot_span,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
rotation2d,1000,parallel,rls_online,6,256,40000,3.4266443252563477,0.8740898469887693,0.9,0.9,0.8
rotation2d,1000,parallel,rls_online,7,256,40000,2.403256893157959,0.8436622195422225,0.9,1.0,0.6
rotation2d,1000,parallel,rls_online,2,256,40000,3.4073376655578613,0.8442652194668475,0.925,0.9,0.62
rotation2d,1000,parallel,rls_online,3,256,40000,2.577080011367798,0.8603188362101456,0.9,0.9,0.7
rotation2d,1000,parallel,delta_base,0,256,40000,3.196124792098999,0.6713703173287104,0.735,0.76,0.525
rotation2d,1000,parallel,delta_base,1,256,40000,2.666544198989868,0.679889575638803,0.755,0.71,0.565
rotation2d,1000,parallel,rls_online,0,256,40000,3.8552300930023193,0.8474548378181451,0.9,0.9,0.6
rotation2d,1000,parallel,rls_online,1,256,40000,2.5034568309783936,0.845574231803221,0.9,0.965,0.735
rotation2d,1000,parallel,delta_base,2,256,40000,3.507636547088623,0.6751704731036908,0.775,0.835,0.52
rotation2d,1000,parallel,delta_base,3,256,40000,2.4844117164611816,0.6761267304841587,0.73,0.755,0.585
rotation2d,1000,parallel,rls_online,4,256,40000,3.7437856197357178,0.8378809577648803,0.9,0.9,0.55
rotation2d,1000,parallel,rls_online,5,256,40000,2.587357997894287,0.867578704052662,1.0,0.9,0.625
rotation2d,1000,parallel,rls_online,8,256,40000,3.6262428760528564,0.863235848345519,0.9,0.9,0.7
rotation2d,1000,parallel,rls_online,9,256,40000,2.624703884124756,0.8615587548051556,0.9,0.975,0.7
rotation2d,1000,parallel,delta_base,4,256,40000,3.2362022399902344,0.6905592824300896,0.755,0.715,0.55
rotation2d,1000,parallel,delta_base,5,256,40000,2.720154285430908,0.6908558830180146,0.725,0.65,0.56
rotation2d,1000,parallel,delta_base,6,256,40000,2.15329909324646,0.6670470591191175,0.69,0.715,0.51
rotation2d,1000,parallel,delta_base,7,256,40000,2.3598103523254395,0.6731492927313384,0.76,0.745,0.545
rotation2d,1000,parallel,delta_base,8,256,40000,2.3641722202301025,0.6716586266676717,0.73,0.655,0.56
rotation2d,1000,parallel,delta_base,9,256,40000,2.5034029483795166,0.6673094897113138,0.725,0.67,0.51
rotation2d,1000,random_graph_k25,rls_online,0,256,40000,5.991501569747925,0.914041104494862,0.935,1.0,0.9
rotation2d,1000,random_graph_k25,rls_online,1,256,40000,5.8689587116241455,0.9204994849375645,1.0,0.9,0.9
rotation2d,1000,random_graph_k25,delta_base,0,256,40000,6.229107141494751,0.7238630938921132,0.79,0.84,0.555
rotation2d,1000,random_graph_k25,delta_base,1,256,40000,5.498657464981079,0.731611391673576,0.82,0.815,0.6
rotation2d,1000,random_graph_k25,rls_online,2,256,40000,6.107675552368164,0.9133376045827994,0.9,0.975,0.9
rotation2d,1000,random_graph_k25,rls_online,3,256,40000,5.792185306549072,0.898310343961207,0.9,1.0,0.8
rotation2d,1000,random_graph_k25,rls_online,6,256,40000,6.159754991531372,0.9214278535715184,1.0,1.0,0.9
rotation2d,1000,random_graph_k25,rls_online,7,256,40000,5.755780935287476,0.9184153664480793,1.0,1.0,0.9
rotation2d,1000,random_graph_k25,rls_online,8,256,40000,6.080443620681763,0.9136654857918144,0.98,1.0,0.9
rotation2d,1000,random_graph_k25,rls_online,9,256,40000,5.9425036907196045,0.9151227356096581,0.9,0.95,0.9
rotation2d,1000,random_graph_k25,rls_online,4,256,40000,6.43140435218811,0.9068578678927667,0.9,0.9,0.845
rotation2d,1000,random_graph_k25,rls_online,5,256,40000,5.630517482757568,0.9238423657697045,0.9,0.95,0.9
rotation2d,1000,random_graph_k25,delta_base,2,256,40000,5.344894886016846,0.721241551719806,0.81,0.83,0.56
rotation2d,1000,random_graph_k25,delta_base,3,256,40000,5.445651292800903,0.7320381397452325,0.8,0.825,0.58
rotation2d,1000,random_graph_k25,delta_base,4,256,40000,5.667474746704102,0.7403031330871084,0.785,0.805,0.595
rotation2d,1000,random_graph_k25,delta_base,5,256,40000,5.688129186630249,0.7403432074570991,0.815,0.725,0.555
rotation2d,250,parallel,rls_online,0,256,40000,2.004525661468506,0.898185975226753,0.9,0.9,0.92
rotation2d,250,parallel,rls_online,1,256,40000,2.3922688961029053,0.887937489007814,0.9,1.0,0.9
rotation2d,250,parallel,rls_online,2,256,40000,2.1964340209960938,0.8951471068566117,0.925,1.0,0.9
rotation2d,250,parallel,rls_online,3,256,40000,2.303257703781128,0.9045199869350017,0.9,0.9,1.0
rotation2d,250,parallel,rls_online,4,256,40000,2.246202230453491,0.8940679882415016,0.9,1.0,1.0
rotation2d,250,parallel,rls_online,5,256,40000,2.4514222145080566,0.9084131051983618,1.0,0.9,0.9
rotation2d,250,parallel,rls_online,6,256,40000,2.104280710220337,0.8992914750885656,0.9,0.9,1.0
rotation2d,250,parallel,rls_online,7,256,40000,2.5800156593322754,0.8939172382603453,0.9,1.0,0.9
rotation2d,250,parallel,rls_online,8,256,40000,2.4774537086486816,0.9052737368407829,0.9,0.9,0.915
rotation2d,250,parallel,rls_online,9,256,40000,2.4551193714141846,0.8938456320192959,0.9,0.9,0.9
rotation2d,250,parallel,delta_base,0,256,40000,2.465566396713257,0.7132938870882641,0.735,0.74,0.72
rotation2d,250,parallel,delta_base,1,256,40000,2.754335403442383,0.7160153011230873,0.755,0.695,0.735
