substrate,kappa_int,reward_every,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all
parallel,0.0,1,0,256,40000,2.934168577194214,0.9,0.08,0.49832504208436973
parallel,0.0,1,1,256,40000,2.4740896224975586,0.885,0.095,0.5240653501168312
parallel,0.0,1,2,256,40000,2.9028594493865967,0.88,0.11,0.5019728147533982
parallel,0.0,1,3,256,40000,2.523339033126831,0.87,0.105,0.5260926861134142
parallel,0.0,1,4,256,40000,3.0080180168151855,0.885,0.115,0.4976346071706741
parallel,0.0,1,5,256,40000,2.954211950302124,0.895,0.105,0.4984740333157458
parallel,0.0,5,0,256,40000,3.4159996509552,0.895,0.08,0.5264533554433306
parallel,0.0,5,1,256,40000,2.400193691253662,0.885,0.095,0.5533510464561192
parallel,0.1,1,4,256,40000,3.32676362991333,0.885,0.115,0.4976346071706741
parallel,0.1,1,5,256,40000,2.4998366832733154,0.125,0.895,0.5030967814879024
parallel,0.1,1,2,256,40000,3.5873217582702637,0.88,0.11,0.5021738147282732
parallel,0.1,1,3,256,40000,2.3554906845092773,0.87,0.1,0.5029550765056154
parallel,0.0,5,8,256,40000,3.817948579788208,0.915,0.085,0.5302310243461219
parallel,0.0,5,9,256,40000,2.213660717010498,0.92,0.115,0.505822592397176
parallel,0.1,1,0,256,40000,3.6348390579223633,0.105,0.92,0.5024155171980603
parallel,0.1,1,1,256,40000,2.4105231761932373,0.115,0.905,0.49691377101077866
parallel,0.1,1,8,256,40000,3.649477005004883,0.915,0.085,0.5005432024320997
parallel,0.1,1,9,256,40000,2.3745105266571045,0.08,0.885,0.49634267983216496
parallel,0.0,1,8,256,40000,3.669527769088745,0.915,0.085,0.5204351649456044
parallel,0.0,1,9,256,40000,2.741813898086548,0.92,0.115,0.5168796010150499
parallel,0.0,1,6,256,40000,3.8039958477020264,0.88,0.1,0.49968166628979177
parallel,0.0,1,7,256,40000,2.8091399669647217,0.9,0.115,0.5026258134217733
parallel,0.0,5,4,256,40000,3.811368703842163,0.885,0.115,0.49392389638451295
parallel,0.0,5,5,256,40000,2.7859833240509033,0.895,0.105,0.5164428029446496
parallel,0.0,5,6,256,40000,3.7794384956359863,0.88,0.1,0.4964141604482299
parallel,0.0,5,7,256,40000,2.776172399520874,0.9,0.115,0.5019455541318057
