task,boundary,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc
nonlinear2d,linear,parallel,delta_base,0,256,40000,1.4884395599365234,0.777356096580488,0.795,0.75
nonlinear2d,linear,parallel,delta_base,1,256,40000,1.0300941467285156,0.7829627396296577,0.8,0.8
nonlinear2d,linear,parallel,delta_base,2,256,40000,1.4765748977661133,0.7893708700786413,0.89,0.8
nonlinear2d,linear,parallel,delta_base,3,256,40000,1.0580165386199951,0.7673375040828121,0.8,0.8
nonlinear2d,linear,parallel,rmhl_norm,0,256,40000,1.3923101425170898,0.8242682344664706,0.8,0.8
nonlinear2d,linear,parallel,rmhl_norm,1,256,40000,1.0313141345977783,0.8175586040551746,0.8,0.8
nonlinear2d,linear,parallel,delta_base,6,256,40000,1.4650297164916992,0.7685171226853597,0.74,0.8
nonlinear2d,linear,parallel,delta_base,7,256,40000,1.1399340629577637,0.7752983593377051,0.8,0.73
nonlinear2d,linear,parallel,rmhl_norm,2,256,40000,1.5696699619293213,0.8342416019697998,0.835,0.8
nonlinear2d,linear,parallel,rmhl_norm,3,256,40000,0.9698598384857178,0.8159053792618276,0.8,0.8
nonlinear2d,linear,parallel,delta_base,8,256,40000,1.4175560474395752,0.7718336222707972,0.8,0.8
nonlinear2d,linear,parallel,delta_base,9,256,40000,1.1631522178649902,0.7679141227607347,0.79,0.8
nonlinear2d,linear,parallel,delta_base,4,256,40000,1.4906518459320068,0.7940943694882038,0.8,0.895
nonlinear2d,linear,parallel,delta_base,5,256,40000,1.2647638320922852,0.793565488304314,0.8,0.8
nonlinear2d,linear,parallel,rmhl_norm,4,256,40000,1.625974416732788,0.8273812215773473,0.8,0.9
nonlinear2d,linear,parallel,rmhl_norm,5,256,40000,1.0649669170379639,0.8283384839576894,0.855,0.81
nonlinear2d,linear,parallel,rmhl_norm,6,256,40000,1.937136173248291,0.8306499836687522,0.8,0.9
nonlinear2d,linear,parallel,rmhl_norm,7,256,40000,2.1991984844207764,0.8113276048340494,0.8,0.8
nonlinear2d,linear,parallel,rmhl_norm,8,256,40000,1.8444151878356934,0.8216288535463934,0.82,0.835
nonlinear2d,linear,parallel,rmhl_norm,9,256,40000,2.3796632289886475,0.8177884977764378,0.8,0.8
nonlinear2d,linear,random_graph_k25,delta_base,6,256,40000,4.839954614639282,0.8698211100223613,0.87,0.9
nonlinear2d,linear,random_graph_k25,delta_base,7,256,40000,4.969619989395142,0.857284992839376,0.9,0.9
nonlinear2d,linear,random_graph_k25,rmhl_norm,0,256,40000,5.1768858432769775,0.9156754855405643,0.885,0.9
nonlinear2d,linear,random_graph_k25,rmhl_norm,1,256,40000,4.782177686691284,0.9085399864325018,0.9,0.9
nonlinear2d,linear,random_graph_k25,delta_base,0,256,40000,5.029947757720947,0.8673035853370519,0.8,0.865
nonlinear2d,linear,random_graph_k25,delta_base,1,256,40000,5.390965700149536,0.8693449913318761,0.9,0.9
nonlinear2d,linear,random_graph_k25,delta_base,8,256,40000,5.278369188308716,0.8661289917338761,0.9,0.9
nonlinear2d,linear,random_graph_k25,delta_base,9,256,40000,5.043393135070801,0.857284992839376,0.895,0.9
nonlinear2d,linear,random_graph_k25,delta_base,4,256,40000,5.280557155609131,0.8583402427074698,0.835,0.9
nonlinear2d,linear,random_graph_k25,delta_base,5,256,40000,5.187891006469727,0.8578327177709104,0.9,0.9
nonlinear2d,linear,random_graph_k25,delta_base,2,256,40000,5.30212926864624,0.8674857415642824,0.9,0.9
nonlinear2d,linear,random_graph_k25,delta_base,3,256,40000,5.383779287338257,0.857158111605236,0.9,0.82
nonlinear2d,circle,parallel,delta_base,2,256,40000,2.0781543254852295,0.49529785683776784,0.5,0.5
nonlinear2d,circle,parallel,delta_base,3,256,40000,2.1671948432922363,0.5015577498052812,0.6,0.5
nonlinear2d,circle,parallel,delta_base,6,256,40000,2.0801944732666016,0.4962287379714077,0.445,0.55
nonlinear2d,circle,parallel,delta_base,7,256,40000,1.9268863201141357,0.4915793573025803,0.5,0.465
nonlinear2d,linear,random_graph_k25,rmhl_norm,4,256,40000,5.130201578140259,0.9041657244792846,0.9,1.0
nonlinear2d,linear,random_graph_k25,rmhl_norm,5,256,40000,5.51112174987793,0.9037159870355017,0.9,0.985
nonlinear2d,circle,parallel,delta_base,0,256,40000,2.3266913890838623,0.48883947639506553,0.5,0.5
nonlinear2d,circle,parallel,delta_base,1,256,40000,2.083186149597168,0.521155247355594,0.48,0.5
nonlinear2d,circle,parallel,delta_base,4,256,40000,2.1915245056152344,0.4956332755458406,0.49,0.485
nonlinear2d,circle,parallel,delta_base,5,256,40000,2.0458626747131348,0.49728398783950156,0.6,0.52
nonlinear2d,linear,random_graph_k25,rmhl_norm,2,256,40000,5.599960565567017,0.9140436169945481,0.94,0.9
nonlinear2d,linear,random_graph_k25,rmhl_norm,3,256,40000,5.49201512336731,0.9024069746991282,0.9775,0.9
nonlinear2d,circle,parallel,delta_base,8,256,40000,3.169342279434204,0.5062812492148439,0.5,0.5
nonlinear2d,circle,parallel,delta_base,9,256,40000,2.6334900856018066,0.4957312630335921,0.48,0.565
nonlinear2d,circle,parallel,rmhl_norm,0,256,40000,3.0366220474243164,0.46726087284239093,0.5,0.5
nonlinear2d,circle,parallel,rmhl_norm,1,256,40000,2.8636839389801025,0.48326423959197007,0.52,0.5
nonlinear2d,circle,parallel,rmhl_norm,4,256,40000,3.0404889583587646,0.48829426396321696,0.5,0.4625
nonlinear2d,circle,parallel,rmhl_norm,5,256,40000,2.6112890243530273,0.4843433582070802,0.5,0.455
nonlinear2d,circle,parallel,rmhl_norm,2,256,40000,3.5792829990386963,0.4623866234516721,0.46,0.4
nonlinear2d,circle,parallel,rmhl_norm,3,256,40000,2.348775625228882,0.5251300218587472,0.52,0.56
nonlinear2d,circle,parallel,rmhl_norm,6,256,40000,3.46167254447937,0.48153940855757393,0.43,0.5
nonlinear2d,circle,parallel,rmhl_norm,7,256,40000,2.5423505306243896,0.4770860028642496,0.4,0.5
nonlinear2d,linear,random_graph_k25,rmhl_norm,6,256,40000,5.777959823608398,0.9061807492274064,0.9,0.92
nonlinear2d,linear,random_graph_k25,rmhl_norm,7,256,40000,5.425678730010986,0.8966018441747693,0.9,0.9
nonlinear2d,circle,parallel,rmhl_norm,8,256,40000,3.5270373821258545,0.4922853697143288,0.5,0.5
nonlinear2d,circle,parallel,rmhl_norm,9,256,40000,2.624964475631714,0.5122396422200448,0.535,0.5
nonlinear2d,linear,random_graph_k25,rmhl_norm,8,256,40000,5.576908826828003,0.9036129745483783,0.9,0.9
nonlinear2d,linear,random_graph_k25,rmhl_norm,9,256,40000,5.740126371383667,0.9041707494786564,0.9,0.9
nonlinear2d,circle,random_graph_k25,delta_base,0,256,40000,5.979009389877319,0.5066568679178914,0.565,0.5
nonlinear2d,circle,random_graph_k25,delta_base,1,256,40000,6.159082651138306,0.5180874852390643,0.455,0.515
nonlinear2d,circle,random_graph_k25,delta_base,2,256,40000,6.037496566772461,0.5072573553428306,0.54,0.5
nonlinear2d,circle,random_graph_k25,delta_base,3,256,40000,6.15671968460083,0.504546368181704,0.53,0.55
nonlinear2d,circle,random_graph_k25,delta_base,6,256,40000,6.415945291519165,0.49705911911761,0.475,0.5
nonlinear2d,circle,random_graph_k25,delta_base,7,256,40000,6.034445762634277,0.5112296173462978,0.56,0.5
nonlinear2d,circle,random_graph_k25,delta_base,4,256,40000,6.298571586608887,0.4915868948016382,0.465,0.4
nonlinear2d,circle,random_graph_k25,delta_base,5,256,40000,6.246032238006592,0.5116818672897666,0.5,0.525
nonlinear2d,circle,random_graph_k25,delta_base,8,256,40000,6.204857349395752,0.49092610738423653,0.4625,0.4
nonlinear2d,circle,random_graph_k25,delta_base,9,256,40000,6.2510411739349365,0.5091957488505314,0.5,0.5
nonlinear2d,circle,random_graph_k25,rmhl_norm,2,256,40000,6.3736231327056885,0.47738499032687626,0.47,0.5
nonlinear2d,circle,random_graph_k25,rmhl_norm,3,256,40000,6.177306652069092,0.4982412502198437,0.48,0.51
nonlinear2d,circle,random_graph_k25,rmhl_norm,0,256,40000,6.155446290969849,0.4982148689731413,0.5,0.5
nonlinear2d,circle,random_graph_k25,rmhl_norm,1,256,40000,6.524885177612305,0.491153488605814,0.5,0.4
nonlinear2d,circle,random_graph_k25,rmhl_norm,4,256,40000,6.098757028579712,0.5068101303987338,0.5,0.5
nonlinear2d,circle,random_graph_k25,rmhl_norm,5,256,40000,6.271404504776001,0.4907778699027662,0.425,0.53
nonlinear2d,xor,parallel,delta_base,0,256,40000,2.190608263015747,0.5228210346473706,0.575,0.525
nonlinear2d,xor,parallel,delta_base,1,256,40000,2.363816738128662,0.4983417502072812,0.5,0.495
nonlinear2d,xor,parallel,delta_base,2,256,40000,2.263416051864624,0.4894814200648225,0.5,0.405
nonlinear2d,xor,parallel,delta_base,3,256,40000,2.3076348304748535,0.48906937011632867,0.5,0.5
nonlinear2d,xor,parallel,delta_base,4,256,40000,2.1796088218688965,0.5047285244089345,0.51,0.48
nonlinear2d,xor,parallel,delta_base,5,256,40000,2.3932018280029297,0.489619607547549,0.5,0.495
nonlinear2d,xor,parallel,delta_base,8,256,40000,2.193396806716919,0.4854488580688927,0.545,0.475
nonlinear2d,xor,parallel,delta_base,9,256,40000,2.3200643062591553,0.5069344991331876,0.59,0.485
nonlinear2d,xor,parallel,delta_base,6,256,40000,2.4050865173339844,0.4921346197331726,0.5,0.5
nonlinear2d,xor,parallel,delta_base,7,256,40000,2.288844108581543,0.48768875153890606,0.5,0.5
nonlinear2d,xor,parallel,rmhl_norm,0,256,40000,2.371405839920044,0.4685912414260949,0.5,0.4
nonlinear2d,xor,parallel,rmhl_norm,1,256,40000,2.3700289726257324,0.4819816085022989,0.5,0.585
nonlinear2d,xor,parallel,rmhl_norm,2,256,40000,2.4896533489227295,0.48671515791060527,0.54,0.485
nonlinear2d,xor,parallel,rmhl_norm,3,256,40000,2.3541619777679443,0.49726263159217104,0.5,0.565
nonlinear2d,xor,parallel,rmhl_norm,4,256,40000,2.3823118209838867,0.47285997839250277,0.45,0.5
nonlinear2d,xor,parallel,rmhl_norm,5,256,40000,2.3838300704956055,0.4860568829928896,0.46,0.55
nonlinear2d,xor,parallel,rmhl_norm,6,256,40000,2.4740116596221924,0.4529107308861587,0.405,0.46
nonlinear2d,xor,parallel,rmhl_norm,7,256,40000,2.3451645374298096,0.4921823572272053,0.45,0.5
nonlinear2d,xor,parallel,rmhl_norm,8,256,40000,2.3379390239715576,0.4787392276575965,0.5,0.475
nonlinear2d,xor,parallel,rmhl_norm,9,256,40000,2.587700366973877,0.46088414863948135,0.45,0.425
nonlinear2d,circle,random_graph_k25,rmhl_norm,8,256,40000,5.690353870391846,0.47364262204467217,0.5,0.5
nonlinear2d,circle,random_graph_k25,rmhl_norm,9,256,40000,5.876755475997925,0.49736313157960865,0.5,0.52
