task,boundary,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc,n_prunes,n_active_flips
nonlinear2d,circle,parallel,delta_linear,2,256,40000,2.4886162281036377,0.49529785683776784,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_linear,3,256,40000,2.585845470428467,0.5015577498052812,0.6,0.5,0,0
nonlinear2d,circle,parallel,delta_linear,0,256,40000,2.674502372741699,0.48883947639506553,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_linear,1,256,40000,2.8645637035369873,0.521155247355594,0.48,0.5,0,0
nonlinear2d,circle,parallel,delta_linear,8,256,40000,2.822039842605591,0.5062812492148439,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_linear,9,256,40000,2.6538028717041016,0.4957312630335921,0.48,0.565,0,0
nonlinear2d,circle,parallel,delta_linear,6,256,40000,3.017392158508301,0.4962287379714077,0.445,0.55,0,0
nonlinear2d,circle,parallel,delta_linear,7,256,40000,2.6605708599090576,0.4915793573025803,0.5,0.465,0,0
nonlinear2d,circle,parallel,delta_linear,4,256,40000,3.0735788345336914,0.4956332755458406,0.49,0.485,0,0
nonlinear2d,circle,parallel,delta_linear,5,256,40000,2.6109166145324707,0.49728398783950156,0.6,0.52,0,0
nonlinear2d,circle,parallel,delta_quad,4,256,40000,3.3356621265411377,0.48085726489284186,0.5,0.435,0,0
nonlinear2d,circle,parallel,delta_quad,5,256,40000,3.0815975666046143,0.5028403808949524,0.52,0.485,0,0
nonlinear2d,circle,parallel,delta_quad,2,256,40000,3.774040460586548,0.4964347629456546,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,3,256,40000,3.0166196823120117,0.4915052385618452,0.6,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,0,256,40000,4.061415195465088,0.49558302555212175,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,1,256,40000,3.017162322998047,0.5133639858295018,0.485,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,6,256,40000,2.2915573120117188,0.5070588678676415,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,7,256,40000,3.3490214347839355,0.4978178940227633,0.5,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,8,256,40000,2.937304735183716,0.49540086932489136,0.49,0.5,0,0
nonlinear2d,circle,parallel,delta_quad,9,256,40000,3.1279773712158203,0.4953506193311725,0.5,0.5,0,0
nonlinear2d,circle,parallel,rls_quad,0,256,40000,5.2272796630859375,0.6211791161026105,0.63,0.6225,0,0
nonlinear2d,circle,parallel,rls_quad,1,256,40000,5.430367469787598,0.6550953493630813,0.72,0.7,0,0
nonlinear2d,circle,parallel,rls_quad,4,256,40000,5.521228551864624,0.6227155096605613,0.55,0.7,0,0
nonlinear2d,circle,parallel,rls_quad,5,256,40000,5.177337646484375,0.6515539810557524,0.6,0.6,0,0
nonlinear2d,circle,parallel,rls_quad,2,256,40000,5.313411474227905,0.6510778623652672,0.7,0.7,0,0
nonlinear2d,circle,parallel,rls_quad,3,256,40000,5.733389377593994,0.6350481143689857,0.6,0.7,0,0
nonlinear2d,circle,parallel,rls_quad,6,256,40000,5.4003729820251465,0.6298748775156403,0.7,0.655,0,0
nonlinear2d,circle,parallel,rls_quad,7,256,40000,5.513876438140869,0.6653513730810783,0.635,0.6,0,0
nonlinear2d,circle,parallel,rls_quad,8,256,40000,5.458678722381592,0.6343898394512701,0.6,0.6,0,0
nonlinear2d,circle,parallel,rls_quad,9,256,40000,5.279285192489624,0.6627358609080175,0.695,0.7,0,0
nonlinear2d,circle,parallel,pop_quad,0,256,40000,6.585033655166626,0.49658802542649677,0.5,0.5,19,12
nonlinear2d,circle,parallel,pop_quad,1,256,40000,5.94151759147644,0.5138664857666894,0.485,0.5,19,4
nonlinear2d,circle,parallel,pop_quad,4,256,40000,6.539339065551758,0.48176427727946536,0.5,0.435,19,14
nonlinear2d,circle,parallel,pop_quad,5,256,40000,4.128241777420044,0.5056568930428883,0.52,0.485,19,10
nonlinear2d,circle,parallel,pop_quad,2,256,40000,6.727430582046509,0.4969372628828421,0.5,0.5,19,8
nonlinear2d,circle,parallel,pop_quad,3,256,40000,4.9105634689331055,0.49303911962011004,0.6,0.5,19,16
nonlinear2d,circle,parallel,pop_quad,8,256,40000,4.623288154602051,0.4959297505087812,0.49,0.5,19,9
nonlinear2d,circle,parallel,pop_quad,9,256,40000,4.308868169784546,0.4973606190799225,0.5,0.5,19,13
