task,boundary,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc,switch_block,detect_cap,n_expansions,post_switch_acc
auto_basis,circle,random_graph_k25,rls_linear_only,6,256,40000,15.233816623687744,0.8478405065199367,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,7,256,40000,12.781042575836182,0.8212293660963292,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,8,256,40000,15.552962064743042,0.8493693625788297,0.94,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,9,256,40000,12.821010112762451,0.8385869701766289,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,0,256,40000,15.658592462539673,0.817135247858094,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,1,256,40000,13.706310749053955,0.8290156026230497,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,4,256,40000,15.668455600738525,0.8082409989698751,0.8,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,5,256,40000,13.123263835906982,0.8224805909399262,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,2,256,40000,15.912181615829468,0.8272807215899097,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_linear_only,3,256,40000,13.480737686157227,0.8239880907514887,0.91,0.8,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,2,256,40000,17.443831205368042,0.8625612421798448,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,3,256,40000,14.378295421600342,0.8458229692721289,0.9,0.8,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,4,256,40000,17.444361686706543,0.863764729529409,0.8,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,5,256,40000,14.251891613006592,0.8582610989673627,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,0,256,40000,17.879549264907837,0.8696967412879074,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,1,256,40000,14.12917423248291,0.8700195974975503,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,0,256,40000,8.08993673324585,0.5066568679178914,0.565,0.5,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,1,256,40000,8.43390679359436,0.5180874852390643,0.455,0.515,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,8,256,40000,13.212857961654663,0.8749466093816738,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,9,256,40000,14.126734018325806,0.867054847868144,0.9,0.805,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,6,256,40000,14.380279779434204,0.8830155021230625,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_quad_start,7,256,40000,14.089294195175171,0.8721803472274566,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,2,256,40000,14.276764631271362,0.8274314715710662,0.9,0.9,419,0.5,1,0.8
auto_basis,circle,random_graph_k25,rls_auto_expand,3,256,40000,16.136225700378418,0.8239880907514887,0.91,0.8,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,0,256,40000,15.815513610839844,0.817135247858094,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,1,256,40000,15.225245714187622,0.8290156026230497,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,4,256,40000,15.63300347328186,0.8082409989698751,0.8,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,5,256,40000,15.924113273620605,0.8224805909399262,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,6,256,40000,14.727960109710693,0.8478405065199367,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,7,256,40000,15.21648621559143,0.8212293660963292,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,8,256,40000,14.821419715881348,0.8493693625788297,0.94,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,rls_auto_expand,9,256,40000,15.801153421401978,0.8385869701766289,0.9,0.9,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,2,256,40000,9.24902606010437,0.5072573553428306,0.54,0.5,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,3,256,40000,8.277701139450073,0.504546368181704,0.53,0.55,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,4,256,40000,8.348376750946045,0.4915868948016382,0.465,0.4,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,5,256,40000,8.070553302764893,0.5116818672897666,0.5,0.525,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,6,256,40000,8.57881212234497,0.49705911911761,0.475,0.5,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,7,256,40000,8.366657733917236,0.5112296173462978,0.56,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,0,256,40000,7.814356565475464,0.4969322378834703,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,1,256,40000,7.217280149459839,0.5200472349940957,0.54,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,2,256,40000,7.617217540740967,0.5398432200195975,0.5,0.65,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,3,256,40000,7.305370092391968,0.5159556292555463,0.565,0.5,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,8,256,40000,8.27437949180603,0.49092610738423653,0.4625,0.4,-1,nan,0,nan
auto_basis,circle,random_graph_k25,delta_linear_only,9,256,40000,8.170095443725586,0.5091957488505314,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,4,256,40000,7.64408016204834,0.4933933820758272,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,5,256,40000,7.676841735839844,0.5373834828270647,0.5,0.555,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,6,256,40000,7.588724136352539,0.5201502474812191,0.5,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,7,256,40000,7.585564136505127,0.5367327454084069,0.6,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,8,256,40000,7.591209173202515,0.5137948795256401,0.49,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_linear_only,9,256,40000,7.950040578842163,0.5348282706464662,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,0,256,40000,9.98099398612976,0.6211791161026105,0.63,0.6225,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,1,256,40000,10.501798629760742,0.6550953493630813,0.72,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,2,256,40000,10.117242813110352,0.6510778623652672,0.7,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,3,256,40000,10.65161657333374,0.6350481143689857,0.6,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,4,256,40000,10.260826110839844,0.6227155096605613,0.55,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,5,256,40000,10.559773445129395,0.6515539810557524,0.6,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,6,256,40000,10.217983484268188,0.6298748775156403,0.7,0.655,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,7,256,40000,10.69602370262146,0.6653513730810783,0.635,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,8,256,40000,10.385190486907959,0.6343898394512701,0.6,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,9,256,40000,10.686333894729614,0.6627358609080175,0.695,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_auto_expand,0,256,40000,10.253071069717407,0.574896359387955,0.62,0.6275,579,0.5083333333333333,1,0.685
auto_basis,circle,parallel,rls_auto_expand,1,256,40000,10.535001277923584,0.6098703550162057,0.75,0.675,579,0.5,1,0.6
