arm,N,k,seed,stream_ppl,forgetting_ppl,runtime_s
Gate-C-topk-softmax,512,16,0,6.901937057403503,9.925055554709171,70.46556401252747
Gate-C-topk-softmax,512,16,1,6.5216801220492115,7.3652870129783565,70.69687938690186
Gate-C-topk-softmax,512,32,0,6.996735986262621,10.099110088358001,68.45258617401123
Gate-C-topk-softmax,512,16,2,6.7134864014663,10.056704670116565,69.17952966690063
Gate-C-topk-softmax,512,32,1,6.598361058682685,8.210234534758083,68.21886277198792
Gate-C-topk-softmax,512,32,2,6.780700450535184,11.371375378245531,68.27813339233398
Gate-C-topk-softmax,512,64,0,7.56281990182986,15.010401201981901,66.94185876846313
Gate-C-topk-softmax,512,64,1,7.038295260241064,11.071520999509616,67.01359963417053
Gate-C-topk-softmax,512,128,0,8.961038462023819,29.022571293575407,65.09948587417603
Gate-C-topk-softmax,512,64,2,7.32408042560123,15.402195034720439,67.2997841835022
Gate-C-topk-softmax,512,128,1,9.06223862677876,30.414548110801,65.55858540534973
Gate-C-topk-softmax,512,128,2,9.459394395356167,34.434357275661384,65.67429280281067
Soft-topk,512,16,0,6.773594514819645,6.38960736113681,78.89540028572083
Soft-topk,512,16,1,6.412372133566605,6.184300904942015,78.78115320205688
Soft-topk,512,16,2,6.57709915709346,6.23663443177931,78.18570923805237
Soft-topk,512,32,0,7.023287728818274,7.655373883932066,77.64995741844177
Soft-topk,512,32,1,6.629046038881262,6.900497628803295,78.10779619216919
Soft-topk,512,32,2,6.957164315389315,8.303379958531483,78.10264945030212
Soft-topk,512,64,0,8.010364182919835,11.350621352158427,76.50678753852844
Soft-topk,512,64,1,7.470457924877225,9.844591337735137,76.88791680335999
Soft-topk,512,128,0,12.523023309298662,30.791354506460145,73.43074584007263
Soft-topk,512,64,2,7.861367490931027,12.007107206337558,75.29167890548706
Soft-topk,512,128,1,14.937358053922383,34.0167759461756,74.93260502815247
Soft-topk,512,128,2,20.958445305631336,87.58505393482696,74.85539746284485
