task,axis,env,m_regimes,seg_blocks,pop_k,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,steady_acc,n_snaps,active_mem_blocks,bt0_lin0,bt1_cir,bt2_lin1,bt3_lin2
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,0,256,40000,11.249914646148682,0.8314087585739052,0.8,0,0,0.89273965691221,0.7706000000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,1,256,40000,9.820235252380371,0.8474096128237983,0.8,0,0,0.9233198789101917,0.7720425,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,2,256,40000,11.323747634887695,0.834474008190749,0.8,0,0,0.8934939455095864,0.7760475,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,3,256,40000,9.565404891967773,0.8251224843596894,0.8,0,0,0.9032441977800202,0.74749,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,4,256,40000,10.287938117980957,0.8362566267179218,0.9,58,270,0.8885015136226035,0.7844475,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,5,256,40000,9.640120506286621,0.8589934926258135,0.8,69,212,0.9184283551967709,0.7998475,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,4,256,40000,11.402324676513672,0.8166591291676089,0.9,0,0,0.8669601412714432,0.7667950000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,5,256,40000,9.660915613174438,0.8468807316399085,0.8,0,0,0.9093466195761857,0.7847425,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,2,256,40000,11.064000844955444,0.8520615059923118,0.82,64,328,0.9086301715438951,0.7960475000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,3,256,40000,11.344336032867432,0.8417049822868772,0.8,64,263,0.9247855701311807,0.7591425,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,0,256,40000,12.217740535736084,0.8479912565010927,0.8,64,253,0.9048486377396568,0.7916000000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,1,256,40000,11.297560930252075,0.8605512424310948,0.9,70,208,0.9283652875882946,0.793195,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,6,256,40000,12.405963897705078,0.8579646240044222,0.86,0,0,0.9166069626639759,0.7997000000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,7,256,40000,11.412231206893921,0.8419323635084546,0.83,0,0,0.910095862764884,0.7744375,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,8,256,40000,12.391339778900146,0.8481131127358609,0.8,0,0,0.9164530776992937,0.7802475000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,rls_single,9,256,40000,11.371865034103394,0.8327655084043115,0.8,0,0,0.9109510595358224,0.7553475000000001,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,8,256,40000,8.787891149520874,0.8596706112911736,0.9,69,259,0.9249823410696266,0.794795,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,9,256,40000,10.760737895965576,0.8448255068968117,0.8,66,192,0.9229112008072654,0.7674950000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,0,256,40000,9.268687009811401,0.8314087585739052,0.8,0,0,0.89273965691221,0.7706000000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,1,256,40000,11.569413900375366,0.8474096128237983,0.8,0,0,0.9233198789101917,0.7720425,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,6,256,40000,9.450706481933594,0.8579646240044222,0.86,0,0,0.9166069626639759,0.7997000000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,7,256,40000,8.667329788208008,0.8419323635084546,0.83,0,0,0.910095862764884,0.7744375,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,6,256,40000,11.032987594604492,0.8670096228737971,0.9,74,161,0.9265438950554995,0.8078525,,
memory_boundaries,K,K2,2,500,2,random_graph_k25,pop_mem,7,256,40000,10.901288032531738,0.8519823622522047,0.9,70,142,0.9131231079717457,0.7914375,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,2,256,40000,10.971672773361206,0.834474008190749,0.8,0,0,0.8934939455095864,0.7760475,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,3,256,40000,11.050899505615234,0.8251224843596894,0.8,0,0,0.9032441977800202,0.74749,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,0,256,40000,10.092889547348022,0.8761312529835934,0.865,64,737,0.9148864783047426,0.8376525,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,1,256,40000,9.64032769203186,0.8645712419285948,0.9,70,242,0.932401614530777,0.797195,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,4,256,40000,10.27745795249939,0.8166591291676089,0.9,0,0,0.8669601412714432,0.7667950000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,5,256,40000,10.776573657989502,0.8468807316399085,0.8,0,0,0.9093466195761857,0.7847425,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,8,256,40000,10.657571792602539,0.8481131127358609,0.8,0,0,0.9164530776992937,0.7802475000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,rls_single,9,256,40000,10.230235576629639,0.8327655084043115,0.8,0,0,0.9109510595358224,0.7553475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,0,256,40000,8.262942552566528,0.8314087585739052,0.8,0,0,0.89273965691221,0.7706000000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,1,256,40000,8.079705238342285,0.8474096128237983,0.8,0,0,0.9233198789101917,0.7720425,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,2,256,40000,10.094366312026978,0.8540715057410618,0.82,64,380,0.911657416750757,0.7970475000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,3,256,40000,9.096013307571411,0.8427099821612521,0.8,64,263,0.9247855701311807,0.7611425,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,4,256,40000,10.059571743011475,0.8563566242054219,0.91,58,585,0.8925378405650859,0.8204475000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,5,256,40000,8.274852991104126,0.8836159895480014,0.865,69,618,0.9244828456104944,0.8428475000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,6,256,40000,9.473428010940552,0.89263711967036,0.9,74,559,0.9336074672048437,0.8518525,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,7,256,40000,10.01414966583252,0.8786148589231426,0.9,70,453,0.9131231079717457,0.8444375,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,2,256,40000,9.900542974472046,0.834474008190749,0.8,0,0,0.8934939455095864,0.7760475,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,3,256,40000,8.832426071166992,0.8251224843596894,0.8,0,0,0.9032441977800202,0.74749,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,8,256,40000,9.605849504470825,0.8762531092183613,0.9,69,538,0.9270005045408678,0.8257950000000001,,
memory_boundaries,K,K4,2,500,4,random_graph_k25,pop_mem,9,256,40000,10.720492839813232,0.8850255018718123,0.9,66,614,0.9269475277497478,0.8434950000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,6,256,40000,8.433871030807495,0.8579646240044222,0.86,0,0,0.9166069626639759,0.7997000000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,7,256,40000,10.20192837715149,0.8419323635084546,0.83,0,0,0.910095862764884,0.7744375,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,4,256,40000,9.391393184661865,0.8166591291676089,0.9,0,0,0.8669601412714432,0.7667950000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,5,256,40000,10.11766767501831,0.8468807316399085,0.8,0,0,0.9093466195761857,0.7847425,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,8,256,40000,10.2915358543396,0.8481131127358609,0.8,0,0,0.9164530776992937,0.7802475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,rls_single,9,256,40000,8.920528888702393,0.8327655084043115,0.8,0,0,0.9109510595358224,0.7553475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,4,256,40000,7.8762054443359375,0.8578641240169844,0.91,58,601,0.8964732593340061,0.8195475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,5,256,40000,9.226584196090698,0.8836159895480014,0.865,69,618,0.9244828456104944,0.8428475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,0,256,40000,10.62687611579895,0.879648752543906,0.865,64,763,0.9158955600403632,0.8436525000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,1,256,40000,9.808860063552856,0.8806512399185951,0.9,70,540,0.932401614530777,0.8291949999999999,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,2,256,40000,7.977984189987183,0.834474008190749,0.8,0,0,0.8934939455095864,0.7760475,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,3,256,40000,8.226428031921387,0.8251224843596894,0.8,0,0,0.9032441977800202,0.74749,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,2,256,40000,10.688359022140503,0.8540715057410618,0.82,64,380,0.911657416750757,0.7970475000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,3,256,40000,9.873881340026855,0.8673324790834402,0.9,64,596,0.9247855701311807,0.8101425000000002,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,8,256,40000,9.825609922409058,0.8842931082133615,0.895,69,560,0.9280095862764884,0.8407950000000001,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,9,256,40000,8.300985097885132,0.8914072510740937,0.9,66,686,0.9269475277497478,0.856195,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,0,256,40000,9.663753986358643,0.8314087585739052,0.8,0,0,0.89273965691221,0.7706000000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,1,256,40000,8.303518533706665,0.8474096128237983,0.8,0,0,0.9233198789101917,0.7720425,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,6,256,40000,9.970016717910767,0.89263711967036,0.9,74,559,0.9336074672048437,0.8518525,,
memory_boundaries,K,K8,2,500,8,random_graph_k25,pop_mem,7,256,40000,9.532604455947876,0.8786148589231426,0.9,70,453,0.9131231079717457,0.8444375,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,4,256,40000,7.5253260135650635,0.8166591291676089,0.9,0,0,0.8669601412714432,0.7667950000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,5,256,40000,9.197160482406616,0.8468807316399085,0.8,0,0,0.9093466195761857,0.7847425,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,4,256,40000,7.5469090938568115,0.8563566242054219,0.91,58,585,0.8925378405650859,0.8204475000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,5,256,40000,10.847518920898438,0.8836159895480014,0.865,69,618,0.9244828456104944,0.8428475000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,6,256,40000,9.286431312561035,0.8579646240044222,0.86,0,0,0.9166069626639759,0.7997000000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,7,256,40000,11.737463474273682,0.8419323635084546,0.83,0,0,0.910095862764884,0.7744375,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,0,256,40000,8.556967973709106,0.8761312529835934,0.865,64,737,0.9148864783047426,0.8376525,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,1,256,40000,11.50819730758667,0.8645712419285948,0.9,70,242,0.932401614530777,0.797195,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,6,256,40000,7.638499021530151,0.89263711967036,0.9,74,559,0.9336074672048437,0.8518525,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,7,256,40000,10.942922115325928,0.8786148589231426,0.9,70,453,0.9131231079717457,0.8444375,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,8,256,40000,8.9058256149292,0.8481131127358609,0.8,0,0,0.9164530776992937,0.7802475000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,rls_single,9,256,40000,11.9951331615448,0.8327655084043115,0.8,0,0,0.9109510595358224,0.7553475000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,2,256,40000,9.988371133804321,0.8540715057410618,0.82,64,380,0.911657416750757,0.7970475000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,3,256,40000,10.347803831100464,0.8427099821612521,0.8,64,263,0.9247855701311807,0.7611425,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,8,256,40000,9.373260259628296,0.8762531092183613,0.9,69,538,0.9270005045408678,0.8257950000000001,,
memory_boundaries,M,M2,2,500,4,random_graph_k25,pop_mem,9,256,40000,9.613909482955933,0.8850255018718123,0.9,66,614,0.9269475277497478,0.8434950000000001,,
memory_boundaries,M,M3,3,500,4,random_graph_k25,rls_single,0,256,40000,9.483617305755615,0.8645712419285948,0.915,0,0,0.8916725529767912,0.8132,0.862105,
