task,dim,boundary,substrate,k_pulses,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,0,256,40000,4.477948427200317,0.817135247858094,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,1,256,40000,3.8730738162994385,0.8290156026230497,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,2,256,40000,4.595193386077881,0.8272807215899097,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,3,256,40000,3.9199039936065674,0.8239880907514887,0.91,0.8
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,4,256,40000,4.61769700050354,0.8082409989698751,0.8,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,5,256,40000,3.8016960620880127,0.8224805909399262,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,2,256,40000,4.499116897583008,0.5072573553428306,0.54,0.5
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,3,256,40000,3.6776487827301025,0.504546368181704,0.53,0.55
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,8,256,40000,4.617950677871704,0.8493693625788297,0.94,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,9,256,40000,3.7959184646606445,0.8385869701766289,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,6,256,40000,4.619418144226074,0.8478405065199367,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,rls_raw,7,256,40000,3.911339521408081,0.8212293660963292,0.9,0.9
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,0,256,40000,4.594804525375366,0.5066568679178914,0.565,0.5
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,1,256,40000,4.0385003089904785,0.5180874852390643,0.455,0.515
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,4,256,40000,4.629951238632202,0.4915868948016382,0.465,0.4
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,5,256,40000,4.046748638153076,0.5116818672897666,0.5,0.525
sphere_capacity,2D,circle,parallel,20,rls_raw,0,256,40000,1.5645453929901123,0.4969322378834703,0.5,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,1,256,40000,1.6481482982635498,0.5200472349940957,0.54,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,2,256,40000,1.648989200592041,0.5398432200195975,0.5,0.65
sphere_capacity,2D,circle,parallel,20,rls_raw,3,256,40000,1.646899938583374,0.5159556292555463,0.565,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,6,256,40000,1.5748331546783447,0.5201502474812191,0.5,0.6
sphere_capacity,2D,circle,parallel,20,rls_raw,7,256,40000,1.5811309814453125,0.5367327454084069,0.6,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,4,256,40000,1.5969107151031494,0.4933933820758272,0.5,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,5,256,40000,1.6826171875,0.5373834828270647,0.5,0.555
sphere_capacity,2D,circle,parallel,20,delta_raw,0,256,40000,1.6168694496154785,0.48883947639506553,0.5,0.5
sphere_capacity,2D,circle,parallel,20,delta_raw,1,256,40000,1.5748908519744873,0.521155247355594,0.48,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,8,256,40000,1.6063566207885742,0.5137948795256401,0.49,0.5
sphere_capacity,2D,circle,parallel,20,rls_raw,9,256,40000,1.7267239093780518,0.5348282706464662,0.5,0.5
sphere_capacity,2D,circle,parallel,20,delta_raw,2,256,40000,1.5402367115020752,0.49529785683776784,0.5,0.5
sphere_capacity,2D,circle,parallel,20,delta_raw,3,256,40000,1.7612221240997314,0.5015577498052812,0.6,0.5
sphere_capacity,2D,circle,parallel,20,delta_raw,4,256,40000,1.580634593963623,0.4956332755458406,0.49,0.485
sphere_capacity,2D,circle,parallel,20,delta_raw,5,256,40000,1.59637451171875,0.49728398783950156,0.6,0.52
sphere_capacity,2D,circle,parallel,20,delta_raw,8,256,40000,1.5792553424835205,0.5062812492148439,0.5,0.5
sphere_capacity,2D,circle,parallel,20,delta_raw,9,256,40000,1.5925395488739014,0.4957312630335921,0.48,0.565
sphere_capacity,2D,circle,parallel,20,delta_raw,6,256,40000,1.606147289276123,0.4962287379714077,0.445,0.55
sphere_capacity,2D,circle,parallel,20,delta_raw,7,256,40000,1.6643035411834717,0.4915793573025803,0.5,0.465
sphere_capacity,2D,circle,random_graph_k25,20,delta_raw,6,256,40000,3.9899840354919434,0.49705911911761,0.475,0.5
