task,dim,boundary,substrate,k_pulses,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,0,256,40000,4.587792158126831,0.817135247858094,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,1,256,40000,4.088671445846558,0.8290156026230497,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,2,256,40000,4.6295325756073,0.8272807215899097,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,3,256,40000,4.170502185821533,0.8239880907514887,0.91,0.8
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,2,256,40000,4.4273858070373535,0.5072573553428306,0.54,0.5
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,3,256,40000,4.212620735168457,0.504546368181704,0.53,0.55
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,4,256,40000,4.60615611076355,0.8082409989698751,0.8,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,5,256,40000,4.209604024887085,0.8224805909399262,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,8,256,40000,4.50481390953064,0.8493693625788297,0.94,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,9,256,40000,4.280555963516235,0.8385869701766289,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,6,256,40000,4.651722431182861,0.8478405065199367,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,rls_raw,7,256,40000,4.158041954040527,0.8212293660963292,0.9,0.9
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,0,256,40000,4.603262424468994,0.5066568679178914,0.565,0.5
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,1,256,40000,4.345583200454712,0.5180874852390643,0.455,0.515
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,4,256,40000,4.664835453033447,0.4915868948016382,0.465,0.4
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,5,256,40000,4.247771263122559,0.5116818672897666,0.5,0.525
dimension_stress,2D,circle,parallel,20,rls_raw,0,256,40000,1.7925701141357422,0.4969322378834703,0.5,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,1,256,40000,1.832838535308838,0.5200472349940957,0.54,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,6,256,40000,1.7495863437652588,0.5201502474812191,0.5,0.6
dimension_stress,2D,circle,parallel,20,rls_raw,7,256,40000,1.8273828029632568,0.5367327454084069,0.6,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,4,256,40000,1.7974519729614258,0.4933933820758272,0.5,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,5,256,40000,1.8399755954742432,0.5373834828270647,0.5,0.555
dimension_stress,2D,circle,parallel,20,rls_raw,2,256,40000,1.774500846862793,0.5398432200195975,0.5,0.65
dimension_stress,2D,circle,parallel,20,rls_raw,3,256,40000,1.926492691040039,0.5159556292555463,0.565,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,8,256,40000,1.8869421482086182,0.5137948795256401,0.49,0.5
dimension_stress,2D,circle,parallel,20,rls_raw,9,256,40000,1.775721549987793,0.5348282706464662,0.5,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,0,256,40000,1.8153839111328125,0.48883947639506553,0.5,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,1,256,40000,1.8747951984405518,0.521155247355594,0.48,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,2,256,40000,1.6947212219238281,0.49529785683776784,0.5,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,3,256,40000,1.6885287761688232,0.5015577498052812,0.6,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,4,256,40000,1.7423789501190186,0.4956332755458406,0.49,0.485
dimension_stress,2D,circle,parallel,20,delta_raw,5,256,40000,1.6306641101837158,0.49728398783950156,0.6,0.52
dimension_stress,2D,circle,parallel,20,delta_raw,6,256,40000,1.688145399093628,0.4962287379714077,0.445,0.55
dimension_stress,2D,circle,parallel,20,delta_raw,7,256,40000,1.8663315773010254,0.4915793573025803,0.5,0.465
dimension_stress,2D,circle,parallel,20,delta_raw,8,256,40000,1.7233631610870361,0.5062812492148439,0.5,0.5
dimension_stress,2D,circle,parallel,20,delta_raw,9,256,40000,1.8869318962097168,0.4957312630335921,0.48,0.565
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,6,256,40000,4.560953617095947,0.49705911911761,0.475,0.5
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,7,256,40000,4.291389465332031,0.5112296173462978,0.56,0.5
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,8,256,40000,4.511877536773682,0.49092610738423653,0.4625,0.4
dimension_stress,2D,circle,random_graph_k25,20,delta_raw,9,256,40000,4.45662260055542,0.5091957488505314,0.5,0.5
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,0,256,40000,4.2523674964904785,0.6142998919625136,0.625,0.8
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,1,256,40000,4.383486986160278,0.6445240069344992,0.7,0.7
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,2,256,40000,4.348016023635864,0.6340481394939825,0.6,0.75
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,3,256,40000,4.311530113220215,0.6341649707293787,0.7,0.645
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,4,256,40000,4.3897035121917725,0.6413029823371272,0.65,0.795
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,5,256,40000,4.219813585281372,0.6301474837315645,0.6,0.8
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,8,256,40000,4.211134433746338,0.6605562674304666,0.7,0.7
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,9,256,40000,4.236621618270874,0.6380178889977639,0.6,0.8
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,6,256,40000,4.503643274307251,0.697183487852064,0.705,0.8
dimension_stress,2D,ring,random_graph_k25,20,rls_raw,7,256,40000,4.202269554138184,0.6626089796738776,0.74,0.77
dimension_stress,2D,ring,random_graph_k25,20,delta_raw,0,256,40000,4.341805934906006,0.5024383809452023,0.44,0.46
dimension_stress,2D,ring,random_graph_k25,20,delta_raw,1,256,40000,4.36041522026062,0.49284063214492096,0.5175000000000001,0.415
dimension_stress,2D,ring,random_graph_k25,20,delta_raw,2,256,40000,4.312955141067505,0.5295206150599231,0.5,0.6
