task,dim,boundary,substrate,k_pulses,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,2,256,40000,4.924533128738403,0.8272807215899097,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,3,256,40000,4.133598804473877,0.8239880907514887,0.91,0.8
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,0,256,40000,5.03487491607666,0.817135247858094,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,1,256,40000,4.2909934520721436,0.8290156026230497,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,4,256,40000,5.057862997055054,0.8082409989698751,0.8,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,5,256,40000,4.15851616859436,0.8224805909399262,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,0,256,40000,4.9176154136657715,0.5066568679178914,0.565,0.5
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,1,256,40000,4.201126575469971,0.5180874852390643,0.455,0.515
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,4,256,40000,4.885045766830444,0.4915868948016382,0.465,0.4
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,5,256,40000,4.209609031677246,0.5116818672897666,0.5,0.525
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,8,256,40000,4.989686727523804,0.8493693625788297,0.94,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,9,256,40000,4.231293678283691,0.8385869701766289,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,6,256,40000,5.0180041790008545,0.8478405065199367,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,rls_raw,7,256,40000,4.218801259994507,0.8212293660963292,0.9,0.9
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,2,256,40000,4.984318494796753,0.5072573553428306,0.54,0.5
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,3,256,40000,4.446821451187134,0.504546368181704,0.53,0.55
complexity_trigger,2D,circle,random_graph_k25,20,delta_raw,6,256,40000,3.511765480041504,0.49705911911761,0.475,0.5
