task,substrate,readout,seg_len,seq_kind,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_cap,detect_cq,detect_delta,n_expansions,n_snaps,best_delta,best_delta_b,cq_at_best_delta,n_above_margin,n_above_floor,n_above_both,gate_blocker,seg1_acc,seg1_cap,seg1_delta,seg2_acc,seg2_cap,seg2_delta,seg3_acc,seg3_cap,seg3_delta,seg4_acc,seg4_cap,seg4_delta,seg5_acc,seg5_cap,seg5_delta,seg6_acc,seg6_cap,seg6_delta
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,2,256,40000,13.5196053981781,0.841958744755157,-1,nan,nan,nan,0,0,0.16666666666666663,339,0.825,2,76,2,hold,0.92,0.8474999999999999,0.06666666666666667,0.865,0.7710000000000001,-0.0006666666666666598,0.9,0.8133333333333332,0.018000000000000002,0.74,0.7839999999999999,0.024999999999999994,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,3,256,40000,12.820356607437134,0.8319853772518279,-1,nan,nan,nan,0,0,0.2416666666666667,1399,0.8916666666666667,8,73,8,hold,0.98,0.8724999999999999,0.021666666666666667,0.8,0.7386666666666666,0.007999999999999991,0.9,0.7516666666666667,0.02066666666666668,0.7625,0.735,0.020666666666666673,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,0,256,40000,13.78367280960083,0.8305545086806863,-1,nan,nan,nan,0,0,0.15000000000000002,1859,0.9083333333333333,7,74,7,hold,1.0,0.9408333333333333,0.037499999999999964,0.8,0.7766666666666668,0.027333333333333338,0.9,0.7953333333333334,0.02666666666666666,0.735,0.7723333333333333,0.035,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,1,256,40000,13.136999368667603,0.8424612446923445,-1,nan,nan,nan,0,0,0.07500000000000007,1319,0.9583333333333334,0,74,0,margin,1.0,0.9208333333333334,-0.005000000000000016,0.9,0.79,0.002999999999999994,0.9,0.7983333333333333,-0.011,0.7,0.7760000000000001,0.010333333333333347,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,2,256,40000,13.83580470085144,0.880373608703299,-1,nan,nan,nan,0,70,0.16666666666666663,339,0.825,2,76,2,hold,1.0,0.8474999999999999,0.06666666666666667,0.9,0.7710000000000001,-0.0006666666666666598,0.9,0.8133333333333332,0.018000000000000002,0.9,0.7839999999999999,0.024999999999999994,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,3,256,40000,12.833447933197021,0.8641453732318283,-1,nan,nan,nan,0,65,0.2416666666666667,1399,0.8916666666666667,8,73,8,hold,1.0,0.8724999999999999,0.021666666666666667,0.805,0.7386666666666666,0.007999999999999991,0.9,0.7516666666666667,0.02066666666666668,0.8174999999999999,0.735,0.020666666666666673,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,4,256,40000,13.853874921798706,0.8561794929775635,-1,nan,nan,nan,0,0,0.1166666666666667,739,0.925,1,76,1,hold,0.9,0.9308333333333334,0.04000000000000002,0.9,0.7969999999999999,0.018333333333333333,0.9,0.8316666666666667,0.022000000000000006,0.8,0.805,0.004333333333333349,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,5,256,40000,13.108343124389648,0.8425642571794679,-1,nan,nan,nan,0,0,0.1166666666666667,1979,0.85,3,76,3,hold,1.0,0.9391666666666666,0.009166666666666656,0.875,0.7916666666666667,0.01766666666666666,0.9,0.7933333333333334,0.01999999999999999,0.8,0.7983333333333333,0.03700000000000002,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,4,256,40000,13.936882734298706,0.888416120197985,-1,nan,nan,nan,0,75,0.1166666666666667,739,0.925,1,76,1,hold,0.99,0.9308333333333334,0.04000000000000002,0.9,0.7969999999999999,0.018333333333333333,0.9,0.8316666666666667,0.022000000000000006,0.9,0.805,0.004333333333333349,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,5,256,40000,13.022867679595947,0.8973367503329063,-1,nan,nan,nan,0,71,0.1166666666666667,1979,0.85,3,76,3,hold,1.0,0.9391666666666666,0.009166666666666656,0.9,0.7916666666666667,0.01766666666666666,0.9,0.7933333333333334,0.01999999999999999,0.9,0.7983333333333333,0.03700000000000002,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,8,256,40000,13.916982412338257,0.8470365066204365,-1,nan,nan,nan,0,0,0.07500000000000007,1979,0.925,0,73,0,margin,1.0,0.9216666666666666,-0.013333333333333319,0.8,0.7863333333333334,0.0016666666666666741,0.9,0.795,0.014666666666666672,0.8,0.7796666666666667,0.011333333333333341,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,9,256,40000,13.176054239273071,0.8403482324564708,-1,nan,nan,nan,0,0,0.15833333333333333,359,0.6916666666666667,2,73,2,hold,1.0,0.7691666666666667,0.006666666666666687,0.8,0.7083333333333335,0.0026666666666666705,0.9,0.8233333333333333,0.02600000000000001,0.8,0.7803333333333334,-0.003333333333333339,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,0,256,40000,13.908024549484253,0.8788208838973894,-1,nan,nan,nan,0,66,0.15000000000000002,1859,0.9083333333333333,7,74,7,hold,1.0,0.9408333333333333,0.037499999999999964,0.83,0.7766666666666668,0.027333333333333338,0.9,0.7953333333333334,0.02666666666666666,0.9,0.7723333333333333,0.035,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,1,256,40000,13.166341304779053,0.8833672520790935,-1,nan,nan,nan,0,66,0.07500000000000007,1319,0.9583333333333334,0,74,0,margin,1.0,0.9208333333333334,-0.005000000000000016,0.9,0.79,0.002999999999999994,0.9,0.7983333333333333,-0.011,0.81,0.7760000000000001,0.010333333333333347,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,6,256,40000,14.091717720031738,0.8500012562498428,-1,nan,nan,nan,0,0,0.10000000000000009,1199,0.925,1,73,1,hold,0.965,0.9008333333333333,0.021666666666666667,0.9,0.7673333333333333,0.014000000000000007,0.9,0.8283333333333333,0.02433333333333335,0.8,0.8063333333333333,0.0020000000000000104,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,rls_auto,500,ABAB,7,256,40000,13.086731433868408,0.8369601266299841,-1,nan,nan,nan,0,0,0.09166666666666667,1759,0.8833333333333333,0,76,0,margin,0.92,0.8983333333333332,-0.0025000000000000022,0.8,0.7746666666666667,0.014333333333333335,0.9,0.7943333333333333,0.003333333333333335,0.72,0.7813333333333332,0.015333333333333327,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,0,256,40000,5.6207802295684814,0.7587133489108314,779,0.5583333333333333,0.6916666666666667,0.1333333333333333,1,0,0.18333333333333335,759,0.75,3,19,3,triggered,0.9,0.9400000000000001,-0.0016666666666666718,0.6,0.656547619047619,0.04761904761904762,0.9,nan,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,1,256,40000,5.744011402130127,0.7594959925630009,759,0.5583333333333333,0.6916666666666667,0.1333333333333333,1,0,0.1416666666666666,719,0.7333333333333333,3,19,3,triggered,0.9,0.9225,-1.1102230246251566e-17,0.565,0.6685897435897435,0.012820512820512827,0.9,nan,nan,0.6875,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,0,256,40000,5.716867923736572,0.7752958468380192,779,0.5583333333333333,0.6916666666666667,0.1333333333333333,1,47,0.18333333333333335,759,0.75,3,19,3,triggered,0.925,0.9400000000000001,-0.0016666666666666718,0.61,0.656547619047619,0.04761904761904762,0.9,nan,nan,0.61,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,1,256,40000,5.69365668296814,0.7911534886058139,759,0.5583333333333333,0.6916666666666667,0.1333333333333333,1,45,0.1416666666666666,719,0.7333333333333333,3,19,3,triggered,0.96,0.9225,-1.1102230246251566e-17,0.6,0.6685897435897435,0.012820512820512827,1.0,nan,nan,0.7,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,8,256,40000,5.577699422836304,0.7505012436873445,739,0.625,0.8,0.17500000000000004,1,0,0.18333333333333335,699,0.7916666666666666,3,19,3,triggered,0.9,0.9183333333333333,0.004166666666666674,0.58,0.6777777777777779,0.03958333333333334,0.9,nan,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,9,256,40000,6.104231595993042,0.7452966005879249,879,0.5083333333333333,0.7583333333333333,0.25,1,0,0.25,879,0.7583333333333333,4,25,4,triggered,0.9,0.8983333333333334,-0.016666666666666663,0.6,0.6622807017543859,0.06578947368421052,0.9,nan,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,2,256,40000,6.328869342803955,0.7388934951383131,999,0.48333333333333334,0.6333333333333333,0.14999999999999997,1,0,0.20833333333333337,979,0.7166666666666667,4,21,4,triggered,0.9,0.9191666666666668,0.02916666666666664,0.5,0.6023333333333334,0.04233333333333333,0.9125000000000001,nan,nan,0.68,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,3,256,40000,6.083548069000244,0.7216100097987489,859,0.475,0.675,0.20000000000000007,1,0,0.20000000000000007,859,0.675,4,21,4,triggered,0.9,0.9,-0.02416666666666667,0.5,0.6287037037037038,0.05833333333333332,0.9,nan,nan,0.625,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,4,256,40000,10.777898073196411,0.7204492349438457,-1,nan,nan,nan,0,0,0.15833333333333333,759,0.7333333333333333,6,63,5,hold,0.9,0.9091666666666667,-0.016666666666666653,0.55,0.6419999999999999,0.04033333333333331,0.9,0.7876666666666666,-0.02333333333333333,0.52,0.6303333333333333,0.047333333333333345,nan,nan,nan,nan,nan,nan
