task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_expansions,n_snaps,best_delta_l0,best_delta_l1,exp1_block,exp1_delta,exp1_cq,exp2_block,exp2_delta,exp2_cq,w_norm_end,max_abs_pred,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg5_acc,seg6_acc
multi_level_expansion,random_graph_k25,rls_auto_multi,8,256,60000,36.02807378768921,0.5022753800103678,0,0,0.975,nan,-1,nan,nan,-1,nan,nan,2968.925434398321,726.6071197166897,0.5,0.5,0.5,0.5,0.5,0.495
multi_level_expansion,random_graph_k25,rls_auto_multi,9,256,60000,31.509912490844727,0.5013327536328824,0,0,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,2615.940318382434,948.5933717368083,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,0,256,60000,37.164833545684814,0.5000601160515711,0,0,0.9833333333333333,nan,-1,nan,nan,-1,nan,nan,3040.6270548981047,908.5355319334876,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,1,256,60000,32.01952385902405,0.5004173007140349,0,0,0.95,nan,-1,nan,nan,-1,nan,nan,2735.218711347651,1197.2394852068219,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,4,256,60000,37.85949635505676,0.5003269176100734,0,0,0.95,nan,-1,nan,nan,-1,nan,nan,2508.246099276876,863.9559743578493,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,5,256,60000,31.345770835876465,0.5006658751525894,0,0,0.975,nan,-1,nan,nan,-1,nan,nan,2500.9585850736835,630.7894384803054,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,2,256,60000,37.99224400520325,0.5059244828681795,0,0,0.95,nan,-1,nan,nan,-1,nan,nan,2799.919155754016,1260.5530633139283,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,3,256,60000,31.91973066329956,0.5124145917292353,0,0,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,3264.505946736145,866.3869122416608,0.52,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,6,256,60000,38.02091407775879,0.500292219193659,0,0,0.975,nan,-1,nan,nan,-1,nan,nan,2653.2708621766874,1086.5791221828454,0.5,0.5,0.5,0.5,0.5,0.5
multi_level_expansion,random_graph_k25,rls_auto_multi,7,256,60000,32.079105377197266,0.5170524740388956,0,0,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,2912.270847537639,1115.5741077272091,0.555,0.5,0.5,0.5,0.5,0.5
