task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,4Dshell,24,10.0,256,2,48000,8.74533486366272,0.5024187778498358,0.52,0.5633333333333334
kernel_capacity,4Dshell,24,10.0,256,3,48000,7.367882013320923,0.5059446455095081,0.545,0.5083333333333333
kernel_capacity,4Dshell,24,10.0,256,4,48000,9.093108415603638,0.5014602204974791,0.555,0.5583333333333333
kernel_capacity,4Dshell,24,10.0,256,5,48000,7.178864479064941,0.5007460094977092,0.54,0.5466666666666666
kernel_capacity,4Dshell,24,10.0,256,6,48000,8.901520252227783,0.5198564883579841,0.55,0.49166666666666664
kernel_capacity,4Dshell,24,10.0,256,7,48000,7.277669906616211,0.5094905964310369,0.48,0.5416666666666666
kernel_capacity,4Dshell,24,15.0,256,4,48000,8.421429872512817,0.5034685466831237,0.6,0.5416666666666666
kernel_capacity,4Dshell,24,15.0,256,5,48000,7.25048565864563,0.5003531306876424,0.54,0.525
kernel_capacity,4Dshell,24,15.0,256,0,48000,8.911672115325928,0.5080303759335579,0.52,0.5666666666666667
kernel_capacity,4Dshell,24,15.0,256,1,48000,7.186221599578857,0.4935591305621222,0.495,0.5216666666666666
kernel_capacity,4Dshell,24,10.0,256,0,48000,9.245660543441772,0.5027974310160875,0.4925,0.535
kernel_capacity,4Dshell,24,10.0,256,1,48000,8.241683006286621,0.48718395012656635,0.485,0.5266666666666666
kernel_capacity,4Dshell,24,15.0,256,2,48000,7.976751327514648,0.49907365954687144,0.52,0.565
kernel_capacity,4Dshell,24,15.0,256,3,48000,8.30806851387024,0.49944896550281376,0.52,0.5166666666666667
kernel_capacity,4Dshell,24,10.0,256,8,48000,9.067569971084595,0.5006426643794063,0.56,0.55
kernel_capacity,4Dshell,24,10.0,256,9,48000,8.150274276733398,0.49846237526411574,0.48,0.5333333333333333
kernel_capacity,4Dshell,24,15.0,256,6,48000,8.680889368057251,0.5118231836154055,0.52,0.5016666666666667
kernel_capacity,4Dshell,24,15.0,256,7,48000,6.481323957443237,0.5010644128783917,0.48,0.5283333333333333
kernel_capacity,4Dshell,24,20.0,256,8,48000,7.420381546020508,0.5492378820526768,0.61,0.5633333333333334
kernel_capacity,4Dshell,24,20.0,256,9,48000,6.703423976898193,0.5184364343842178,0.64,0.515
kernel_capacity,4Dshell,24,15.0,256,8,48000,7.366499900817871,0.509269680550616,0.545,0.5333333333333333
kernel_capacity,4Dshell,24,15.0,256,9,48000,7.9599034786224365,0.49226794418526804,0.48,0.57
