task,env,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_snaps,sel_frac,v_snap_final,v_snap_last4,v_snap_q1,seg1_acc,seg2_acc,seg3_acc,seg4_acc
self_tuned_gate,dyn,rls_single,2,256,40000,6.71604585647583,0.841958744755157,-1,nan,nan,nan,nan,0.92,0.865,0.9,0.74
self_tuned_gate,dyn,rls_single,3,256,40000,4.786664247512817,0.8319853772518279,-1,nan,nan,nan,nan,0.98,0.8,0.9,0.7625
self_tuned_gate,dyn,rls_single,4,256,40000,6.8949830532073975,0.8561794929775635,-1,nan,nan,nan,nan,0.9,0.9,0.9,0.8
self_tuned_gate,dyn,rls_single,5,256,40000,4.79484748840332,0.8425642571794679,-1,nan,nan,nan,nan,1.0,0.875,0.9,0.8
self_tuned_gate,dyn,pop_mem,4,256,40000,6.155693292617798,0.888416120197985,75,0.206,nan,nan,nan,0.99,0.9,0.9,0.9
self_tuned_gate,dyn,pop_mem,5,256,40000,5.045048952102661,0.8973367503329063,71,0.399,nan,nan,nan,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,rls_single,6,256,40000,6.803154706954956,0.8500012562498428,-1,nan,nan,nan,nan,0.965,0.9,0.9,0.8
self_tuned_gate,dyn,rls_single,7,256,40000,4.9009246826171875,0.8369601266299841,-1,nan,nan,nan,nan,0.92,0.8,0.9,0.72
self_tuned_gate,dyn,rls_single,8,256,40000,6.683778762817383,0.8470365066204365,-1,nan,nan,nan,nan,1.0,0.8,0.9,0.8
self_tuned_gate,dyn,rls_single,9,256,40000,5.032935857772827,0.8403482324564708,-1,nan,nan,nan,nan,1.0,0.8,0.9,0.8
self_tuned_gate,dyn,pop_mem,2,256,40000,6.35416841506958,0.880373608703299,70,0.3205,nan,nan,nan,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,pop_mem,3,256,40000,5.0376951694488525,0.8641453732318283,65,0.2565,nan,nan,nan,1.0,0.805,0.9,0.8174999999999999
self_tuned_gate,dyn,pop_mem,0,256,40000,6.358417272567749,0.8788208838973894,66,0.311,nan,nan,nan,1.0,0.83,0.9,0.9
self_tuned_gate,dyn,pop_mem,1,256,40000,5.195286989212036,0.8833672520790935,66,0.3005,nan,nan,nan,1.0,0.9,0.9,0.81
self_tuned_gate,dyn,rls_single,0,256,40000,6.942689657211304,0.8305545086806863,-1,nan,nan,nan,nan,1.0,0.8,0.9,0.735
self_tuned_gate,dyn,rls_single,1,256,40000,5.292374134063721,0.8424612446923445,-1,nan,nan,nan,nan,1.0,0.9,0.9,0.7
self_tuned_gate,dyn,pop_mem,6,256,40000,4.705469131469727,0.9023881309514835,70,0.3535,nan,nan,nan,1.0,0.9,0.935,0.9
self_tuned_gate,dyn,pop_mem,7,256,40000,4.993546009063721,0.8776626215421722,67,0.305,nan,nan,nan,1.0,0.89,0.9,0.845
self_tuned_gate,dyn,mem_vlearn,6,256,40000,4.975314140319824,0.8912062510992187,94,0.264,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,mem_vlearn,7,256,40000,4.694300174713135,0.8671101228612346,88,0.167,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.8
self_tuned_gate,dyn,mem_vlearn,0,256,40000,4.987738847732544,0.8652270043466245,76,0.224,0.38,0.45999999999999996,0.38,1.0,0.865,0.9,0.8
self_tuned_gate,dyn,mem_vlearn,1,256,40000,5.197950124740601,0.8679141227607348,85,0.1835,0.38,0.38,0.38,1.0,0.9,0.9,0.8
self_tuned_gate,dyn,pop_mem,8,256,40000,5.248107433319092,0.8922615009673124,70,0.2815,nan,nan,nan,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,pop_mem,9,256,40000,5.266966104507446,0.8850707268661591,67,0.3425,nan,nan,nan,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,mem_vlearn,2,256,40000,5.533345460891724,0.8731137408607824,89,0.2,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.8
self_tuned_gate,dyn,mem_vlearn,3,256,40000,5.0297791957855225,0.8691703726037033,89,0.234,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.8
self_tuned_gate,dyn,mem_vlearn,4,256,40000,5.121581315994263,0.8868319891460015,96,0.256,0.21999999999999997,0.34,0.38,0.975,0.9,0.93,0.81
self_tuned_gate,dyn,mem_vlearn,5,256,40000,5.4568564891815186,0.8837692520288435,90,0.249,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.9
self_tuned_gate,dyn,mem_vlearn,8,256,40000,5.318916320800781,0.8847240019094998,87,0.238,0.21999999999999997,0.34,0.38,1.0,0.9,0.925,0.855
self_tuned_gate,dyn,mem_vlearn,9,256,40000,5.421297311782837,0.8710007286249088,89,0.254,0.21999999999999997,0.34,0.38,1.0,0.9,0.9,0.8
self_tuned_gate,static,rls_single,0,256,80000,10.445545434951782,0.9330810390847233,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,1,256,80000,10.10322093963623,0.9484072881292215,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,2,256,80000,9.751506805419922,0.9420414531146227,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,3,256,80000,10.375424146652222,0.9405746795152943,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,4,256,80000,10.494108438491821,0.9293348454280023,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,5,256,80000,10.411498546600342,0.9538696256939136,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,6,256,80000,10.34460711479187,0.958292502600218,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,7,256,80000,10.800435543060303,0.9521797972456486,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,4,256,80000,10.37486457824707,0.9368535482011504,196,0.05475,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,5,256,80000,10.066160917282104,0.960636458189747,196,0.04825,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,0,256,80000,11.028168201446533,0.9443590932444456,194,0.079,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,1,256,80000,9.987205266952515,0.961439706269345,197,0.37175,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,8,256,80000,10.738266944885254,0.9520031077304796,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,rls_single,9,256,80000,10.358061075210571,0.953783787170587,-1,nan,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,2,256,80000,11.098835468292236,0.9503120261650857,196,0.0665,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,3,256,80000,10.609986305236816,0.9511008633977018,196,0.079,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,6,256,80000,10.162994861602783,0.9643074648187365,197,0.0365,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,7,256,80000,8.66024136543274,0.9559391486322227,197,0.0285,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,8,256,80000,9.458527088165283,0.9592711870778562,197,0.05375,nan,nan,nan,,,,
self_tuned_gate,static,pop_mem,9,256,80000,7.174710750579834,0.9565406448540746,197,0.02275,nan,nan,nan,,,,
self_tuned_gate,static,mem_vlearn,0,256,80000,8.767078161239624,0.944121627548527,175,0.1175,0.9399999999999998,0.82,0.42000000000000004,,,,
