substrate,arm,tau_slow,seed_idx,n_units,t_total,runtime_s,overall_acc,steady_acc,adapt_time
parallel,fast,0.0,2,256,9000,19.134325981140137,0.9844444444444445,1.0,48.0
parallel,fast,0.0,3,256,9000,14.387746572494507,0.9795555555555555,1.0,75.6
parallel,fast,0.0,8,256,9000,15.47731900215149,0.9858888888888889,1.0,64.8
parallel,fast,0.0,9,256,9000,17.816298723220825,0.9814444444444445,1.0,61.4
parallel,fast,0.0,4,256,9000,22.398536205291748,0.9818888888888889,1.0,54.8
parallel,fast,0.0,5,256,9000,17.09498381614685,0.9844444444444445,1.0,48.0
parallel,slow,200.0,0,256,9000,20.37238121032715,0.9945555555555555,1.0,5.8
parallel,slow,200.0,1,256,9000,19.761656284332275,0.993,1.0,8.6
parallel,fast,0.0,6,256,9000,20.310303926467896,0.9863333333333333,1.0,45.0
parallel,fast,0.0,7,256,9000,20.79645013809204,0.9812222222222222,1.0,90.0
parallel,fast,0.0,0,256,9000,22.929799795150757,0.9851111111111112,1.0,78.2
parallel,fast,0.0,1,256,9000,21.482553958892822,0.9834444444444445,1.0,92.6
parallel,slow,200.0,2,256,9000,15.892852067947388,0.9922222222222222,1.0,10.0
parallel,slow,200.0,3,256,9000,19.63860535621643,0.994,1.0,33.4
parallel,slow,200.0,4,256,9000,17.40822172164917,0.9955555555555555,1.0,3.8
parallel,slow,200.0,5,256,9000,19.130287647247314,0.9948888888888889,1.0,5.0
parallel,slow,1000.0,0,256,9000,14.270750522613525,0.994,1.0,7.0
parallel,slow,1000.0,1,256,9000,17.312981367111206,0.9928888888888889,1.0,9.0
parallel,slow,200.0,6,256,9000,21.751310348510742,0.9931111111111111,1.0,18.4
parallel,slow,200.0,7,256,9000,18.18422508239746,0.9947777777777778,1.0,5.4
parallel,slow,200.0,8,256,9000,21.261502504348755,0.9935555555555555,1.0,7.6
parallel,slow,200.0,9,256,9000,22.803130865097046,0.9935555555555555,1.0,19.8
parallel,slow,1000.0,2,256,9000,21.01728057861328,0.9905555555555555,1.0,13.2
parallel,slow,1000.0,3,256,9000,20.801939010620117,0.9951111111111111,1.0,4.6
parallel,slow,1000.0,8,256,9000,14.22005844116211,0.9928888888888889,1.0,9.0
parallel,slow,1000.0,9,256,9000,18.515032052993774,0.9946666666666667,1.0,5.4
parallel,slow,1000.0,4,256,9000,22.252386331558228,0.9943333333333333,1.0,6.0
parallel,slow,1000.0,5,256,9000,14.726059913635254,0.9925555555555555,1.0,9.4
random_graph_k25,fast,0.0,0,256,9000,15.028359413146973,0.973,1.0,97.8
random_graph_k25,fast,0.0,1,256,9000,16.55167579650879,0.9812222222222222,1.0,87.4
parallel,slow,1000.0,6,256,9000,21.566075563430786,0.9936666666666667,1.0,7.4
parallel,slow,1000.0,7,256,9000,20.148051738739014,0.9932222222222222,1.0,8.4
random_graph_k25,fast,0.0,4,256,9000,18.16498351097107,0.9713333333333334,1.0,116.4
random_graph_k25,fast,0.0,5,256,9000,15.306351661682129,0.9751111111111112,1.0,88.0
random_graph_k25,fast,0.0,2,256,9000,21.115631580352783,0.9746666666666667,1.0,113.8
random_graph_k25,fast,0.0,3,256,9000,17.072840213775635,0.9685555555555555,1.0,126.8
random_graph_k25,fast,0.0,6,256,9000,18.304826974868774,0.9763333333333334,1.0,80.2
random_graph_k25,fast,0.0,7,256,9000,17.415893077850342,0.9698888888888889,1.0,105.6
random_graph_k25,fast,0.0,8,256,9000,19.382453203201294,0.9706666666666667,1.0,122.8
random_graph_k25,fast,0.0,9,256,9000,18.15911889076233,0.9733333333333334,1.0,110.6
parallel,dual,200.0,8,256,9000,176.42986273765564,0.9962222222222222,1.0,2.8
parallel,dual,200.0,9,256,9000,247.4470715522766,0.9956666666666667,1.0,19.8
parallel,dual,1000.0,8,256,9000,181.7543225288391,0.9958888888888889,1.0,4.2
parallel,dual,1000.0,9,256,9000,244.87451028823853,0.9961111111111111,1.0,6.2
parallel,dual,200.0,2,256,9000,179.10481357574463,0.9966666666666667,1.0,2.4
parallel,dual,200.0,3,256,9000,248.3572165966034,0.9966666666666667,1.0,31.4
parallel,dual,1000.0,4,256,9000,178.9625494480133,0.9947777777777778,1.0,5.6
parallel,dual,1000.0,5,256,9000,249.15388083457947,0.9966666666666667,1.0,2.2
parallel,dual,1000.0,6,256,9000,184.97329211235046,0.9971111111111111,1.0,1.6
parallel,dual,1000.0,7,256,9000,243.4937505722046,0.9957777777777778,1.0,4.0
parallel,dual,1000.0,0,256,9000,179.3530237674713,0.9972222222222222,1.0,1.4
parallel,dual,1000.0,1,256,9000,249.37897539138794,0.9966666666666667,1.0,4.6
parallel,dual,200.0,0,256,9000,186.07611989974976,0.9967777777777778,1.0,2.2
parallel,dual,200.0,1,256,9000,247.34839272499084,0.995,1.0,8.8
parallel,dual,200.0,4,256,9000,182.66295266151428,0.9958888888888889,1.0,3.4
parallel,dual,200.0,5,256,9000,251.32155466079712,0.9958888888888889,1.0,3.0
parallel,dual,200.0,6,256,9000,189.83690404891968,0.9972222222222222,1.0,1.2
parallel,dual,200.0,7,256,9000,244.4647798538208,0.9956666666666667,1.0,4.0
parallel,dual,1000.0,2,256,9000,185.92399048805237,0.9968888888888889,1.0,2.0
parallel,dual,1000.0,3,256,9000,250.92890334129333,0.9968888888888889,1.0,1.6
random_graph_k25,slow,200.0,0,256,9000,30.811708688735962,0.9948888888888889,1.0,5.2
random_graph_k25,slow,200.0,1,256,9000,33.859216928482056,0.9942222222222222,1.0,6.2
