substrate,arm,tau_slow,seed_idx,overall_acc,runtime_s,s0_t_adapt_200,s0_t_adapt_40,s1_t_adapt_200,s1_t_adapt_40,s2_t_adapt_200,s2_t_adapt_40,s3_t_adapt_200,s3_t_adapt_40,s4_t_adapt_200,s4_t_adapt_40
parallel,fast,0.0,0,0.9851111111111112,1.8831090927124023,265.0,58.0,366.0,41.0,280.0,147.0,247.0,55.0,228.0,67.0
parallel,fast,0.0,1,0.9834444444444445,1.3432831764221191,304.0,102.0,207.0,49.0,287.0,40.0,371.0,95.0,289.0,131.0
parallel,fast,0.0,4,0.9818888888888889,1.8536055088043213,240.0,82.0,220.0,62.0,336.0,64.0,239.0,80.0,234.0,83.0
parallel,fast,0.0,5,0.9844444444444445,1.3558566570281982,294.0,136.0,249.0,92.0,208.0,48.0,271.0,42.0,213.0,55.0
parallel,fast,0.0,6,0.9863333333333333,2.09440279006958,223.0,65.0,265.0,107.0,228.0,72.0,232.0,75.0,272.0,60.0
parallel,fast,0.0,7,0.9812222222222222,1.3012466430664062,267.0,106.0,220.0,62.0,213.0,55.0,438.0,78.0,307.0,155.0
parallel,slow,200.0,0,0.9945555555555555,2.0495362281799316,202.0,44.0,201.0,43.0,213.0,55.0,209.0,51.0,199.0,41.0
parallel,slow,200.0,1,0.993,1.387524127960205,207.0,49.0,212.0,54.0,199.0,40.0,210.0,52.0,210.0,52.0
parallel,fast,0.0,2,0.9844444444444445,1.931999683380127,267.0,109.0,230.0,90.0,240.0,70.0,296.0,89.0,202.0,44.0
parallel,fast,0.0,3,0.9795555555555555,2.29095196723938,259.0,112.0,216.0,58.0,251.0,93.0,298.0,142.0,349.0,93.0
parallel,fast,0.0,8,0.9858888888888889,1.9068517684936523,334.0,46.0,248.0,90.0,271.0,113.0,214.0,61.0,252.0,94.0
parallel,fast,0.0,9,0.9814444444444445,2.1984894275665283,298.0,144.0,212.0,54.0,307.0,149.0,222.0,63.0,263.0,105.0
parallel,slow,200.0,2,0.9922222222222222,1.4363634586334229,209.0,51.0,200.0,42.0,208.0,50.0,202.0,44.0,226.0,68.0
parallel,slow,200.0,3,0.994,1.4998915195465088,201.0,43.0,201.0,43.0,201.0,43.0,357.0,47.0,202.0,44.0
parallel,slow,200.0,4,0.9955555555555555,1.4359123706817627,202.0,44.0,201.0,43.0,202.0,44.0,205.0,47.0,204.0,46.0
parallel,slow,200.0,5,0.9948888888888889,1.472778081893921,206.0,48.0,202.0,44.0,209.0,51.0,199.0,41.0,204.0,46.0
parallel,slow,200.0,6,0.9931111111111111,1.471421718597412,203.0,45.0,203.0,45.0,280.0,47.0,199.0,40.0,202.0,44.0
parallel,slow,200.0,7,0.9947777777777778,1.4212260246276855,205.0,47.0,203.0,45.0,202.0,44.0,203.0,45.0,209.0,51.0
parallel,slow,200.0,8,0.9935555555555555,1.4145617485046387,212.0,54.0,201.0,43.0,213.0,55.0,203.0,45.0,204.0,46.0
parallel,slow,200.0,9,0.9935555555555555,1.3773679733276367,201.0,43.0,200.0,42.0,287.0,51.0,201.0,43.0,205.0,47.0
parallel,slow,1000.0,2,0.9905555555555555,2.5433926582336426,199.0,40.0,213.0,55.0,208.0,50.0,205.0,47.0,236.0,78.0
parallel,slow,1000.0,3,0.9951111111111111,2.4792895317077637,199.0,41.0,201.0,43.0,203.0,45.0,207.0,49.0,208.0,50.0
parallel,slow,1000.0,0,0.994,2.6223793029785156,199.0,40.0,211.0,53.0,210.0,52.0,207.0,49.0,203.0,45.0
parallel,slow,1000.0,1,0.9928888888888889,2.810243844985962,199.0,39.0,208.0,50.0,199.0,41.0,202.0,44.0,232.0,74.0
parallel,slow,1000.0,6,0.9936666666666667,1.4178359508514404,199.0,41.0,202.0,44.0,231.0,73.0,199.0,40.0,201.0,43.0
parallel,slow,1000.0,7,0.9932222222222222,2.7424354553222656,199.0,40.0,220.0,62.0,205.0,47.0,203.0,45.0,210.0,52.0
parallel,slow,1000.0,4,0.9943333333333333,1.4541583061218262,199.0,41.0,201.0,43.0,208.0,50.0,213.0,55.0,204.0,46.0
parallel,slow,1000.0,5,0.9925555555555555,2.738215684890747,199.0,40.0,201.0,43.0,238.0,80.0,200.0,42.0,204.0,46.0
parallel,slow,1000.0,8,0.9928888888888889,1.590660572052002,199.0,40.0,215.0,57.0,214.0,56.0,203.0,45.0,209.0,51.0
parallel,slow,1000.0,9,0.9946666666666667,2.6905081272125244,200.0,42.0,200.0,42.0,210.0,52.0,204.0,46.0,208.0,50.0
random_graph_k25,fast,0.0,0,0.973,2.6702444553375244,301.0,141.0,279.0,121.0,321.0,190.0,319.0,158.0,264.0,106.0
random_graph_k25,fast,0.0,1,0.9812222222222222,3.9440152645111084,212.0,53.0,315.0,80.0,279.0,121.0,327.0,104.0,299.0,141.0
random_graph_k25,fast,0.0,4,0.9713333333333334,3.529184341430664,295.0,140.0,361.0,174.0,320.0,97.0,308.0,81.0,293.0,146.0
random_graph_k25,fast,0.0,5,0.9751111111111112,3.6540284156799316,287.0,129.0,270.0,109.0,343.0,106.0,285.0,147.0,250.0,92.0
random_graph_k25,fast,0.0,2,0.9746666666666667,4.095983982086182,273.0,114.0,263.0,105.0,391.0,117.0,298.0,142.0,339.0,87.0
random_graph_k25,fast,0.0,3,0.9685555555555555,3.7098565101623535,259.0,111.0,426.0,103.0,300.0,144.0,297.0,142.0,347.0,96.0
random_graph_k25,fast,0.0,6,0.9763333333333334,3.5280649662017822,275.0,113.0,320.0,183.0,241.0,72.0,237.0,79.0,323.0,170.0
random_graph_k25,fast,0.0,7,0.9698888888888889,3.6753671169281006,301.0,165.0,328.0,64.0,310.0,57.0,289.0,137.0,295.0,137.0
random_graph_k25,fast,0.0,8,0.9706666666666667,4.0060954093933105,349.0,193.0,307.0,149.0,379.0,176.0,286.0,123.0,288.0,130.0
random_graph_k25,fast,0.0,9,0.9733333333333334,3.6739842891693115,305.0,158.0,306.0,164.0,311.0,134.0,304.0,63.0,322.0,108.0
parallel,dual,1000.0,2,0.9968888888888889,34.58282947540283,199.0,39.0,201.0,44.0,202.0,44.0,201.0,43.0,202.0,44.0
parallel,dual,1000.0,3,0.9968888888888889,38.524070024490356,199.0,40.0,201.0,44.0,201.0,43.0,202.0,51.0,200.0,42.0
parallel,dual,200.0,8,0.9962222222222222,34.211692333221436,203.0,45.0,200.0,42.0,205.0,64.0,202.0,44.0,199.0,41.0
parallel,dual,200.0,9,0.9956666666666667,41.133015632629395,199.0,40.0,199.0,39.0,292.0,134.0,201.0,43.0,203.0,45.0
parallel,dual,200.0,0,0.9967777777777778,34.79537034034729,201.0,43.0,199.0,40.0,200.0,42.0,207.0,49.0,199.0,40.0
parallel,dual,200.0,1,0.995,46.67152118682861,204.0,46.0,203.0,45.0,199.0,40.0,227.0,73.0,206.0,60.0
parallel,dual,200.0,6,0.9972222222222222,36.91345977783203,200.0,43.0,202.0,44.0,201.0,43.0,199.0,40.0,199.0,40.0
parallel,dual,200.0,7,0.9956666666666667,45.818089723587036,206.0,55.0,201.0,43.0,202.0,44.0,204.0,46.0,202.0,44.0
parallel,dual,1000.0,6,0.9971111111111111,38.8868465423584,199.0,40.0,200.0,42.0,206.0,48.0,199.0,40.0,199.0,40.0
parallel,dual,1000.0,7,0.9957777777777778,44.31913661956787,199.0,39.0,207.0,54.0,203.0,45.0,204.0,46.0,202.0,44.0
parallel,dual,1000.0,0,0.9972222222222222,34.77580451965332,199.0,40.0,199.0,41.0,200.0,42.0,205.0,47.0,199.0,40.0
parallel,dual,1000.0,1,0.9966666666666667,49.736483573913574,199.0,39.0,201.0,43.0,199.0,40.0,199.0,41.0,220.0,62.0
parallel,dual,200.0,4,0.9958888888888889,36.84793257713318,202.0,47.0,203.0,45.0,200.0,42.0,201.0,43.0,206.0,48.0
parallel,dual,200.0,5,0.9958888888888889,51.50899314880371,205.0,44.0,200.0,42.0,203.0,45.0,199.0,41.0,203.0,46.0
parallel,dual,200.0,2,0.9966666666666667,40.79413199424744,202.0,41.0,199.0,39.0,204.0,66.0,200.0,42.0,202.0,44.0
parallel,dual,200.0,3,0.9966666666666667,47.711551904678345,199.0,41.0,201.0,44.0,201.0,43.0,352.0,41.0,199.0,41.0
parallel,dual,1000.0,4,0.9947777777777778,37.946091651916504,199.0,40.0,203.0,45.0,203.0,45.0,212.0,54.0,206.0,48.0
parallel,dual,1000.0,5,0.9966666666666667,50.994957447052,199.0,39.0,199.0,41.0,206.0,48.0,199.0,41.0,203.0,46.0
random_graph_k25,slow,200.0,0,0.9948888888888889,4.3239593505859375,203.0,45.0,201.0,43.0,209.0,51.0,208.0,50.0,200.0,42.0
random_graph_k25,slow,200.0,1,0.9942222222222222,5.666361570358276,207.0,49.0,210.0,52.0,199.0,41.0,205.0,47.0,205.0,47.0
parallel,dual,1000.0,8,0.9958888888888889,45.141762256622314,199.0,39.0,206.0,48.0,204.0,64.0,202.0,44.0,205.0,47.0
parallel,dual,1000.0,9,0.9961111111111111,48.98472237586975,199.0,40.0,199.0,39.0,218.0,77.0,204.0,46.0,206.0,61.0
random_graph_k25,slow,200.0,2,0.9927777777777778,4.524477243423462,216.0,58.0,201.0,43.0,209.0,51.0,202.0,44.0,212.0,54.0
random_graph_k25,slow,200.0,3,0.9954444444444445,5.336248397827148,202.0,44.0,202.0,44.0,203.0,45.0,207.0,49.0,201.0,43.0
random_graph_k25,slow,200.0,4,0.9948888888888889,4.694947719573975,204.0,46.0,202.0,44.0,203.0,45.0,205.0,47.0,206.0,48.0
random_graph_k25,slow,200.0,5,0.9936666666666667,4.6369006633758545,277.0,50.0,204.0,46.0,210.0,52.0,200.0,42.0,204.0,46.0
random_graph_k25,dual,200.0,2,0.9947777777777778,45.43538451194763,224.0,85.0,201.0,47.0,226.0,68.0,203.0,45.0,206.0,69.0
random_graph_k25,dual,200.0,3,0.995,40.39968657493591,201.0,43.0,207.0,50.0,204.0,46.0,211.0,51.0,200.0,42.0
random_graph_k25,slow,200.0,8,0.9935555555555555,4.986720323562622,213.0,55.0,202.0,44.0,213.0,55.0,202.0,44.0,203.0,45.0
random_graph_k25,slow,200.0,9,0.995,5.236894130706787,203.0,45.0,201.0,43.0,208.0,50.0,202.0,44.0,205.0,47.0
random_graph_k25,dual,200.0,0,0.9953333333333333,47.60607123374939,204.0,47.0,201.0,43.0,201.0,43.0,209.0,51.0,202.0,45.0
random_graph_k25,dual,200.0,1,0.9947777777777778,41.338441371917725,207.0,49.0,205.0,49.0,199.0,41.0,215.0,58.0,205.0,59.0
random_graph_k25,slow,200.0,6,0.9947777777777778,5.830609083175659,206.0,48.0,205.0,47.0,210.0,49.0,199.0,40.0,202.0,44.0
random_graph_k25,slow,200.0,7,0.9943333333333333,5.662956714630127,207.0,49.0,205.0,47.0,203.0,45.0,203.0,45.0,208.0,50.0
random_graph_k25,dual,200.0,4,0.9944444444444445,46.29692840576172,207.0,49.0,205.0,47.0,201.0,43.0,209.0,64.0,206.0,48.0
random_graph_k25,dual,200.0,5,0.9931111111111111,37.99937391281128,341.0,49.0,204.0,61.0,209.0,50.0,200.0,42.0,205.0,47.0
random_graph_k25,dual,200.0,6,0.9946666666666667,40.82176470756531,217.0,59.0,206.0,48.0,264.0,44.0,199.0,40.0,201.0,57.0
random_graph_k25,dual,200.0,7,0.9941111111111111,43.33316969871521,216.0,58.0,214.0,61.0,204.0,45.0,205.0,47.0,203.0,45.0
random_graph_k25,dual,1000.0,0,0.9947777777777778,47.8173246383667,199.0,41.0,203.0,45.0,240.0,82.0,208.0,50.0,207.0,49.0
random_graph_k25,dual,1000.0,1,0.995,35.67189407348633,200.0,42.0,205.0,49.0,199.0,41.0,203.0,55.0,222.0,82.0
random_graph_k25,dual,200.0,8,0.9952222222222222,47.23449945449829,203.0,47.0,201.0,43.0,222.0,64.0,201.0,43.0,205.0,47.0
random_graph_k25,dual,200.0,9,0.9941111111111111,37.78649306297302,209.0,51.0,199.0,39.0,262.0,105.0,204.0,46.0,207.0,57.0
random_graph_k25,slow,1000.0,0,0.9933333333333333,4.982837438583374,199.0,40.0,212.0,54.0,213.0,55.0,208.0,50.0,204.0,46.0
random_graph_k25,slow,1000.0,1,0.994,3.87713623046875,199.0,40.0,210.0,52.0,200.0,42.0,202.0,44.0,218.0,60.0
random_graph_k25,slow,1000.0,4,0.9926666666666667,5.718420743942261,200.0,42.0,201.0,43.0,211.0,53.0,221.0,63.0,207.0,49.0
random_graph_k25,slow,1000.0,5,0.9938888888888889,3.2174715995788574,199.0,41.0,202.0,44.0,222.0,64.0,201.0,43.0,205.0,47.0
random_graph_k25,slow,1000.0,2,0.9911111111111112,5.9264538288116455,199.0,40.0,215.0,57.0,210.0,52.0,206.0,48.0,226.0,68.0
random_graph_k25,slow,1000.0,3,0.9945555555555555,3.8868248462677,200.0,42.0,202.0,44.0,204.0,46.0,210.0,52.0,207.0,49.0
random_graph_k25,slow,1000.0,6,0.9925555555555555,4.398494243621826,200.0,42.0,204.0,46.0,235.0,77.0,199.0,41.0,203.0,45.0
random_graph_k25,slow,1000.0,7,0.9924444444444445,2.5418601036071777,199.0,40.0,223.0,65.0,206.0,48.0,204.0,46.0,212.0,54.0
random_graph_k25,slow,1000.0,8,0.9921111111111112,3.636420726776123,199.0,40.0,219.0,61.0,217.0,59.0,204.0,46.0,208.0,50.0
random_graph_k25,slow,1000.0,9,0.9936666666666667,2.387798309326172,201.0,43.0,201.0,43.0,213.0,55.0,206.0,48.0,210.0,52.0
random_graph_k25,dual,1000.0,2,0.994,31.30867576599121,199.0,39.0,226.0,68.0,226.0,68.0,207.0,49.0,229.0,73.0
random_graph_k25,dual,1000.0,3,0.9942222222222222,6.906020402908325,199.0,41.0,204.0,49.0,206.0,57.0,218.0,60.0,211.0,53.0
random_graph_k25,dual,1000.0,4,0.9932222222222222,29.372291803359985,201.0,43.0,204.0,46.0,205.0,47.0,229.0,72.0,208.0,50.0
random_graph_k25,dual,1000.0,5,0.9945555555555555,6.839341878890991,199.0,41.0,201.0,43.0,251.0,94.0,201.0,43.0,207.0,49.0
random_graph_k25,dual,1000.0,6,0.9951111111111111,23.884817123413086,201.0,44.0,205.0,47.0,233.0,72.0,199.0,41.0,201.0,57.0
random_graph_k25,dual,1000.0,7,0.9935555555555555,7.123363733291626,199.0,40.0,221.0,63.0,205.0,47.0,207.0,49.0,233.0,75.0
random_graph_k25,dual,1000.0,8,0.9933333333333333,23.287124633789062,199.0,41.0,217.0,59.0,224.0,71.0,203.0,45.0,208.0,66.0
random_graph_k25,dual,1000.0,9,0.9938888888888889,6.392489433288574,207.0,49.0,199.0,40.0,230.0,77.0,207.0,49.0,219.0,61.0
