task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,random_graph_k25,rls_auto,500,8,256,40000,17.76823878288269,0.8470365066204365,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.8,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,500,9,256,40000,16.783940076828003,0.8403482324564708,-1,nan,0,0.15833333333333333,240.0,0.0,1.0,0.8,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,500,4,256,40000,18.0640652179718,0.8561794929775635,-1,nan,0,0.1166666666666667,240.0,0.0,0.9,0.9,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,500,5,256,40000,16.85734987258911,0.8425642571794679,-1,nan,0,0.1166666666666667,240.0,0.0,1.0,0.875,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,500,0,256,40000,18.226471424102783,0.8305545086806863,-1,nan,0,0.15000000000000002,240.0,0.0,1.0,0.8,0.9,0.735
adaptive_window,random_graph_k25,rls_auto,500,1,256,40000,16.979881763458252,0.8424612446923445,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.9,0.9,0.7
adaptive_window,random_graph_k25,pop_auto,500,0,256,40000,17.874457836151123,0.8788208838973894,-1,nan,0,0.15000000000000002,240.0,0.0,1.0,0.83,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,500,1,256,40000,17.050204753875732,0.8833672520790935,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.9,0.9,0.81
adaptive_window,random_graph_k25,rls_auto,500,6,256,40000,17.99050736427307,0.8500012562498428,-1,nan,0,0.10000000000000009,240.0,0.0,0.965,0.9,0.9,0.8
adaptive_window,random_graph_k25,rls_auto,500,7,256,40000,17.312033891677856,0.8369601266299841,-1,nan,0,0.09166666666666667,240.0,0.0,0.92,0.8,0.9,0.72
adaptive_window,random_graph_k25,pop_auto,500,2,256,40000,17.993865251541138,0.880373608703299,-1,nan,0,0.16666666666666663,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,500,3,256,40000,16.874995470046997,0.8641453732318283,-1,nan,0,0.2416666666666667,240.0,0.0,1.0,0.805,0.9,0.8174999999999999
adaptive_window,random_graph_k25,pop_auto,500,4,256,40000,18.05971646308899,0.888416120197985,-1,nan,0,0.1166666666666667,240.0,0.0,0.99,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,500,5,256,40000,17.206713438034058,0.8973367503329063,-1,nan,0,0.1166666666666667,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,rls_auto,500,2,256,40000,19.103737831115723,0.841958744755157,-1,nan,0,0.16666666666666663,240.0,0.0,0.92,0.865,0.9,0.74
