task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_snaps,seg1_acc,mem_sel1,mem_acc1,seg2_acc,mem_sel2,mem_acc2,seg3_acc,mem_sel3,mem_acc3,seg4_acc,mem_sel4,mem_acc4,seg5_acc,mem_sel5,mem_acc5
cross_family,random_graph_k25,rls_single,0,256,50000,9.221922874450684,0.8189765265757717,-1,1.0,,,0.8,,,0.9,,,0.6,,,0.9,,
cross_family,random_graph_k25,rls_single,1,256,50000,8.218576908111572,0.8332754362362202,-1,1.0,,,0.9,,,0.9,,,0.69,,,0.88,,
cross_family,random_graph_k25,rls_single,8,256,50000,9.278503894805908,0.839939961044959,-1,1.0,,,0.8,,,0.9,,,0.7,,,0.9,,
cross_family,random_graph_k25,rls_single,9,256,50000,8.573237180709839,0.817429368888175,-1,1.0,,,0.8,,,0.9,,,0.635,,,0.9,,
cross_family,random_graph_k25,rls_single,2,256,50000,9.532593727111816,0.8278900022087912,-1,0.92,,,0.865,,,0.9,,,0.64,,,0.9,,
cross_family,random_graph_k25,rls_single,3,256,50000,8.412134170532227,0.8193570410232727,-1,0.98,,,0.8,,,0.9,,,0.6,,,0.9,,
cross_family,random_graph_k25,rls_single,4,256,50000,9.34709620475769,0.8327724342884681,-1,0.9,,,0.9,,,0.9,,,0.7,,,0.9,,
cross_family,random_graph_k25,rls_single,5,256,50000,8.598886728286743,0.8339159856227788,-1,1.0,,,0.85,,,0.9,,,0.67,,,0.9,,
cross_family,random_graph_k25,pop_mem,2,256,50000,9.417784214019775,0.848593401738921,82,1.0,46.0,0.9782608695652174,0.9,78.0,0.8589743589743589,0.95,155.0,0.9096774193548387,0.665,83.0,0.6144578313253012,0.9,158.0,0.9050632911392406
cross_family,random_graph_k25,pop_mem,3,256,50000,8.631605863571167,0.8364058954639465,83,1.0,43.0,0.9767441860465116,0.8,74.0,0.8513513513513513,0.9,77.0,0.8181818181818182,0.645,94.0,0.6808510638297872,0.9,53.0,0.9056603773584906
cross_family,random_graph_k25,rls_single,6,256,50000,9.426233053207397,0.847692817413305,-1,0.965,,,0.9,,,0.9,,,0.7,,,0.9,,
cross_family,random_graph_k25,rls_single,7,256,50000,8.776288986206055,0.8221300777092829,-1,0.92,,,0.8,,,0.9,,,0.7,,,0.81,,
cross_family,random_graph_k25,pop_mem,4,256,50000,9.67673635482788,0.8560651392542319,84,0.99,34.0,1.0,0.9,48.0,0.7708333333333334,0.9,56.0,0.9464285714285714,0.7,95.0,0.5789473684210527,0.9,345.0,0.9043478260869565
cross_family,random_graph_k25,pop_mem,5,256,50000,8.510934352874756,0.8523895102507983,86,1.0,47.0,0.8936170212765957,0.9,193.0,0.8911917098445595,0.9,55.0,0.9272727272727272,0.675,46.0,0.6086956521739131,0.9,106.0,0.9056603773584906
cross_family,random_graph_k25,pop_mem,0,256,50000,9.578543663024902,0.8338356659504831,83,1.0,3.0,1.0,0.87,84.0,0.9285714285714286,0.9,104.0,0.9230769230769231,0.625,67.0,0.5671641791044776,0.9,5.0,1.0
cross_family,random_graph_k25,pop_mem,1,256,50000,8.734015941619873,0.8513473625027611,79,1.0,22.0,1.0,0.9,139.0,0.7841726618705036,0.9,84.0,0.8928571428571429,0.69,4.0,0.5,0.9,170.0,0.8823529411764706
cross_family,parallel,rls_single,0,256,50000,2.7845687866210938,0.754680628903034,-1,0.9,,,0.54,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,rls_single,1,256,50000,2.592311143875122,0.7441185919961446,-1,0.9,,,0.5,,,0.9,,,0.495,,,0.9,,
cross_family,parallel,rls_single,4,256,50000,2.6871376037597656,0.7491978072729464,-1,0.9,,,0.545,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,rls_single,5,256,50000,2.5610413551330566,0.7350615449488966,-1,0.9,,,0.5,,,0.9,,,0.485,,,0.9,,
cross_family,parallel,rls_single,2,256,50000,2.840712785720825,0.7376910102206783,-1,0.9,,,0.5,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,rls_single,3,256,50000,2.550077438354492,0.7363255757916508,-1,0.9,,,0.485,,,0.9,,,0.565,,,0.9,,
cross_family,parallel,rls_single,8,256,50000,2.715492010116577,0.7467078974317786,-1,0.9,,,0.53,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,rls_single,9,256,50000,2.6643471717834473,0.7606413525832814,-1,0.9,,,0.58,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,pop_mem,0,256,50000,2.8254384994506836,0.7948404650509027,66,0.93,26.0,1.0,0.6,188.0,0.6170212765957447,1.0,261.0,0.9425287356321839,0.6,307.0,0.5895765472312704,0.9,110.0,0.9181818181818182
cross_family,parallel,pop_mem,1,256,50000,2.7821974754333496,0.7991375675187244,66,0.99,228.0,0.9210526315789473,0.6,350.0,0.5914285714285714,0.96,228.0,0.9473684210526315,0.58,275.0,0.6436363636363637,1.0,359.0,0.947075208913649
cross_family,parallel,rls_single,6,256,50000,2.956916570663452,0.7419901206803078,-1,0.9,,,0.5,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,rls_single,7,256,50000,2.806000232696533,0.735384831629887,-1,0.9,,,0.5,,,0.9,,,0.5,,,0.9,,
cross_family,parallel,pop_mem,6,256,50000,2.0467145442962646,0.7917883175036645,64,0.9,26.0,1.0,0.6,303.0,0.6138613861386139,0.9,137.0,0.9124087591240876,0.6,440.0,0.5840909090909091,0.9,156.0,0.9423076923076923
cross_family,parallel,pop_mem,7,256,50000,1.716057538986206,0.7803638481154997,67,0.9,53.0,0.9433962264150944,0.6,402.0,0.5870646766169154,1.0,206.0,0.9466019417475728,0.585,303.0,0.5544554455445545,0.9,222.0,0.8828828828828829
cross_family,parallel,pop_mem,4,256,50000,2.401374340057373,0.7817272745527198,64,0.9,27.0,0.9259259259259259,0.59,49.0,0.673469387755102,0.925,185.0,0.9243243243243243,0.595,359.0,0.5515320334261838,0.9,138.0,0.9130434782608695
cross_family,parallel,pop_mem,5,256,50000,1.814443826675415,0.785662938495211,65,0.935,57.0,0.9298245614035088,0.6,427.0,0.5597189695550351,0.9,96.0,0.9270833333333334,0.585,461.0,0.5704989154013015,0.945,154.0,0.9090909090909091
cross_family,parallel,pop_mem,2,256,50000,2.2657277584075928,0.7868084978213289,65,0.9,128.0,0.9453125,0.565,379.0,0.5488126649076517,1.0,280.0,0.9464285714285714,0.6,387.0,0.5891472868217055,0.9,132.0,0.9393939393939394
cross_family,parallel,pop_mem,3,256,50000,1.9851293563842773,0.774056745848477,64,0.9,89.0,0.9325842696629213,0.5,314.0,0.5095541401273885,1.0,247.0,0.9433198380566802,0.585,47.0,0.5531914893617021,0.91,291.0,0.9518900343642611
cross_family,parallel,pop_mem,8,256,50000,2.3043408393859863,0.7828517499648602,64,0.91,44.0,0.9545454545454546,0.59,213.0,0.5446009389671361,0.905,269.0,0.9182156133828996,0.6,331.0,0.5558912386706949,0.98,222.0,0.918918918918919
cross_family,parallel,pop_mem,9,256,50000,1.8246819972991943,0.7911035922973434,65,0.9,156.0,0.9230769230769231,0.595,86.0,0.5581395348837209,1.0,177.0,0.9830508474576272,0.6,284.0,0.5669014084507042,0.9775,192.0,0.9375
cross_family,random_graph_k25,pop_mem,6,256,50000,7.007350206375122,0.8657647436798459,85,1.0,37.0,0.9459459459459459,0.9,80.0,0.8125,0.935,112.0,0.9642857142857143,0.7,47.0,0.5319148936170213,0.9,43.0,0.813953488372093
cross_family,random_graph_k25,pop_mem,7,256,50000,4.110104322433472,0.8426115941446959,75,1.0,40.0,0.95,0.885,87.0,0.8735632183908046,0.9,44.0,0.8181818181818182,0.7,23.0,0.5217391304347826,0.9,243.0,0.8806584362139918
cross_family,random_graph_k25,pop_mem,8,256,50000,6.824186086654663,0.8524507540009237,84,1.0,11.0,1.0,0.9,178.0,0.8539325842696629,0.9,55.0,0.9454545454545454,0.7,1.0,1.0,0.9,47.0,0.8936170212765957
cross_family,random_graph_k25,pop_mem,9,256,50000,4.065436601638794,0.8419268689383748,74,1.0,1.0,1.0,0.855,76.0,0.881578947368421,0.9,141.0,0.9148936170212766,0.675,106.0,0.5849056603773585,0.9,214.0,0.883177570093458
