task,env,switch_every,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,pre_win,post_win,capacity_probe,n_snaps,n_flips
content_rendering,single_A,0,random_graph_k25,rls_single,0,256,40000,17.928160667419434,0.9386397326700335,1.0,1.0,1.0,1.0,1.0,0.947,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,1,256,40000,15.391449928283691,0.9392954950880632,1.0,1.0,1.0,1.0,1.0,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,2,256,40000,15.907998085021973,0.9302241149719855,0.9,0.905,0.925,0.9,0.925,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,3,256,40000,16.769514799118042,0.9279603527549559,1.0,1.0,0.9,0.94,0.9,0.914,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,4,256,40000,16.416923761367798,0.932059495992563,0.9,0.9,1.0,1.0,1.0,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,5,256,40000,18.56745433807373,0.947309112836361,1.0,0.965,1.0,1.0,1.0,0.966,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,6,256,40000,10.009525537490845,0.9444926006884249,0.925,1.0,1.0,1.0,1.0,0.956,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,7,256,40000,2.7271766662597656,0.9445692319288461,1.0,1.0,1.0,1.0,1.0,0.945,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,8,256,40000,2.6759419441223145,0.9387641014044873,0.93,1.0,1.0,1.0,1.0,0.96,0,-1
content_rendering,single_A,0,random_graph_k25,rls_single,9,256,40000,2.712149143218994,0.9338182457727191,1.0,0.9,1.0,1.0,1.0,0.94,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,0,256,40000,3.7279610633850098,0.9237418657822667,1.0,0.9,1.0,0.9,1.0,0.947,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,1,256,40000,3.637516498565674,0.9362804954649381,1.0,1.0,1.0,1.0,1.0,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,2,256,40000,3.6388351917266846,0.9216816160397979,0.9,0.9,0.96,0.965,0.96,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,3,256,40000,3.60581374168396,0.9099947237506595,1.0,0.905,0.9,1.0,0.9,0.914,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,4,256,40000,3.617662191390991,0.9235169970603754,0.9,0.9,1.0,1.0,1.0,0.955,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,5,256,40000,3.6747629642486572,0.9427124946609382,1.0,0.975,0.96,0.95,0.96,0.966,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,6,256,40000,4.145335912704468,0.9480867314891587,0.985,1.0,1.0,1.0,1.0,0.956,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,7,256,40000,3.731827974319458,0.9448468631441422,1.0,1.0,0.9824999999999999,0.99,0.9824999999999999,0.945,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,8,256,40000,3.763213872909546,0.9420039697495037,0.925,0.94,1.0,1.0,1.0,0.96,0,-1
content_rendering,single_A,0,random_graph_k25,rls_quad,9,256,40000,3.646439790725708,0.9345456144317982,1.0,0.9,1.0,1.0,1.0,0.94,0,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,0,256,40000,2.8318030834198,0.9461772317278461,1.0,1.0,1.0,1.0,1.0,0.947,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,1,256,40000,2.9100501537323,0.9453254943343132,1.0,1.0,1.0,1.0,1.0,0.955,96,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,2,256,40000,2.894645929336548,0.9422841134644858,0.9,0.94,1.0,0.9,1.0,0.955,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,3,256,40000,2.84702730178833,0.9392929825883772,1.0,1.0,0.93,1.0,0.93,0.914,96,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,4,256,40000,2.9737021923065186,0.9441194944850633,1.0,0.9,1.0,1.0,1.0,0.955,96,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,5,256,40000,2.8117098808288574,0.9538416120197987,1.0,1.0,1.0,1.0,1.0,0.966,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,6,256,40000,3.276578426361084,0.9530350996206125,1.0,1.0,1.0,1.0,1.0,0.956,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,7,256,40000,2.862509250640869,0.9521067309866587,1.0,1.0,1.0,1.0,1.0,0.945,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,8,256,40000,2.8671507835388184,0.9503215999598,1.0,1.0,1.0,1.0,1.0,0.96,97,-1
content_rendering,single_A,0,random_graph_k25,pop_mem,9,256,40000,2.873898506164551,0.943365744579282,1.0,0.9,1.0,1.0,1.0,0.94,97,-1
content_rendering,single_A,0,random_graph_k25,meta_ema,0,256,40000,2.9484970569610596,0.8673035853370519,0.9,0.9,0.9,0.875,0.9,0.947,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,1,256,40000,2.825782060623169,0.8693449913318761,0.9,0.9,0.9,0.9,0.9,0.955,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,2,256,40000,3.0030055046081543,0.8674857415642824,0.9,0.9,0.885,0.9,0.885,0.955,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,3,256,40000,3.0999863147735596,0.857158111605236,0.9,0.9,0.9,0.875,0.9,0.914,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,4,256,40000,2.992126941680908,0.8583402427074698,0.86,0.88,0.9,0.9,0.9,0.955,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,5,256,40000,3.1087393760681152,0.8578327177709104,0.9,0.9,0.9,0.825,0.9,0.966,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,6,256,40000,3.309431314468384,0.8698211100223613,0.9,0.9,0.9,0.9,0.9,0.956,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,7,256,40000,2.8926901817321777,0.857284992839376,0.9,0.9,0.835,0.9,0.835,0.945,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,8,256,40000,2.9294779300689697,0.8661289917338761,0.8,0.9,0.9,0.9,0.9,0.96,0,0
content_rendering,single_A,0,random_graph_k25,meta_ema,9,256,40000,2.9615602493286133,0.857284992839376,0.9,0.9,0.895,0.9,0.895,0.94,0,0
content_rendering,mixed_AB,200,random_graph_k25,rls_single,0,256,40000,2.7847185134887695,0.8999472375065953,0.9,0.9,0.9,0.9,0.9,0.917,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,1,256,40000,2.797377586364746,0.8985930001758751,0.9,0.9,0.9,0.9,0.9,0.915,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,2,256,40000,2.850200653076172,0.8976357377955329,0.935,0.9,0.9,0.935,0.9,0.92,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,3,256,40000,2.8152031898498535,0.8926873696640789,0.9,0.9,0.9,0.9,0.9,0.841,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,4,256,40000,2.8097915649414062,0.9031393683575789,0.9,0.9,0.9,0.9,0.9,0.871,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,5,256,40000,3.3036324977874756,0.9013542373307204,0.93,0.9,0.9,0.93,0.9,0.912,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,6,256,40000,2.8537771701812744,0.893361975829753,0.9,0.9,0.9,0.9,0.9,0.904,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,7,256,40000,2.862083911895752,0.9083892364513455,0.92,0.9,0.9,0.92,0.9,0.905,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,8,256,40000,2.909362554550171,0.9061279867340017,0.9,0.9,0.9,0.9,0.9,0.905,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_single,9,256,40000,2.9156548976898193,0.8946232506720937,0.945,0.9,0.9,0.945,0.9,0.913,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,0,256,40000,2.860121965408325,0.8984397376950328,0.9,0.9,0.9,0.9,0.9,0.915,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,1,256,40000,3.6126651763916016,0.8975880003015,0.9,0.9,0.9,0.9,0.9,0.914,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,2,256,40000,2.9174561500549316,0.8918067385241577,0.9,0.9,0.9,0.9,0.9,0.879,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,3,256,40000,3.036895513534546,0.8898206075224241,0.9,0.9,0.9,0.9,0.9,0.895,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,4,256,40000,3.077714681625366,0.8792970025878747,0.9,0.9,0.85,0.9,0.85,0.906,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,5,256,40000,2.9249401092529297,0.8973342378332203,0.9,0.9,0.9,0.9,0.9,0.909,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,6,256,40000,2.9138705730438232,0.8887151076606116,0.9,0.9,0.9,0.9,0.9,0.907,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,7,256,40000,2.9395956993103027,0.8900216074972991,0.9,0.9,0.9,0.9,0.9,0.759,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,8,256,40000,3.1112287044525146,0.9011029873621267,0.9,0.9,0.9,0.9,0.9,0.906,0,-1
content_rendering,mixed_AB,100,random_graph_k25,rls_single,9,256,40000,3.6960806846618652,0.8966332504208435,0.995,0.9,0.9,0.995,0.9,0.905,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,0,256,40000,2.9410288333892822,0.8903997387000328,0.9,0.9,0.915,0.9,0.915,0.91,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,1,256,40000,3.0467748641967773,0.894697369412829,0.9,0.9,0.9,0.9,0.9,0.919,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,2,256,40000,3.0143849849700928,0.8865066204366724,0.9,0.9,0.9,0.9,0.9,0.912,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,3,256,40000,3.0470409393310547,0.8653249918343761,0.9,0.9,0.835,0.9,0.835,0.872,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,4,256,40000,3.0236423015594482,0.8790696213662973,0.9,0.9,0.9,0.9,0.9,0.907,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,5,256,40000,3.0413103103637695,0.8920818572397679,0.9,0.9,0.9,0.9,0.9,0.916,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,6,256,40000,3.053676128387451,0.8766525966684254,0.9,0.9,0.9,0.9,0.9,0.627,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,7,256,40000,2.930856466293335,0.9010766061154243,0.9,0.9,0.9,0.9,0.9,0.917,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,8,256,40000,3.0434916019439697,0.8823333584583302,0.9,0.9,0.9,0.9,0.9,0.898,0,-1
content_rendering,mixed_AB,25,random_graph_k25,rls_single,9,256,40000,2.9759857654571533,0.8830657521167811,0.9,0.885,0.9,0.9,0.9,0.905,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,0,256,40000,3.9186246395111084,0.897109369111329,0.985,0.9,0.9,0.985,0.9,0.917,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,1,256,40000,3.9622364044189453,0.8950755006155625,0.9,0.9,0.9,0.9,0.9,0.915,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,2,256,40000,3.7624411582946777,0.8857767392779077,0.9,0.9,0.9,0.9,0.9,0.92,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,3,256,40000,3.9571540355682373,0.8675623728047034,0.91,0.9,0.845,0.91,0.845,0.841,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,4,256,40000,3.704474449157715,0.8930893696138289,0.9,0.9,0.91,0.9,0.91,0.871,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,5,256,40000,3.729238271713257,0.8969850003768751,0.95,0.9,0.9,0.95,0.9,0.912,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,6,256,40000,3.892282009124756,0.8868030953996131,0.9,0.9,0.9,0.9,0.9,0.904,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,7,256,40000,4.186164617538452,0.900124368734454,0.9,0.9,0.885,0.9,0.885,0.905,0,-1
content_rendering,mixed_AB,200,random_graph_k25,rls_quad,8,256,40000,3.6776397228240967,0.8887653576543303,0.9,0.9,0.9,0.9,0.9,0.905,0,-1
