task,scenario,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,sel_good_frac,n_switches
multi_source_weak,all_weak,random_graph_k25,worker_true,2,256,40000,5.916100978851318,0.9302241149719855,0.9,0.905,0.925,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,2,256,40000,6.041970729827881,0.8214090098238738,0.8,0.8,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,2,256,40000,7.0811827182769775,0.8161013542373308,0.9,0.84,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,2,256,40000,7.132683277130127,0.712509735936283,0.7,0.7,0.795,0.7115,161
multi_source_weak,all_weak,random_graph_k25,worker_emasel,2,256,40000,8.174857378005981,0.715448104318987,0.76,0.665,0.7,0.7115,161
multi_source_weak,all_weak,random_graph_k25,worker_true,1,256,40000,6.562586545944214,0.9392954950880632,1.0,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,1,256,40000,6.626744985580444,0.837690007788749,0.9,0.9,0.8474999999999999,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,1,256,40000,7.78879714012146,0.8515062435617197,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,1,256,40000,7.917104721069336,0.6913544885806889,0.7,0.7,0.7,0.691,212
multi_source_weak,all_weak,random_graph_k25,worker_emasel,1,256,40000,9.127212762832642,0.7438682445164694,0.885,0.725,0.7,0.691,212
multi_source_weak,all_weak,random_graph_k25,worker_true,4,256,40000,6.684195280075073,0.932059495992563,0.9,0.9,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,4,256,40000,6.751941442489624,0.8479623627547046,0.9,0.88,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,4,256,40000,7.753690958023071,0.8339426145071732,0.9,0.8,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,4,256,40000,7.8203840255737305,0.6962551192181101,0.7,0.7,0.7,0.696,243
multi_source_weak,all_weak,random_graph_k25,worker_emasel,4,256,40000,9.08458423614502,0.7109281173839853,0.775,0.66,0.76,0.696,243
multi_source_weak,all_weak,random_graph_k25,worker_true,5,256,40000,6.475487470626831,0.947309112836361,1.0,0.965,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,5,256,40000,6.517503976821899,0.837211376598578,0.9,0.86,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,5,256,40000,7.8095481395721436,0.8516331247958595,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,5,256,40000,7.883926153182983,0.6996985000376875,0.7,0.7,0.7,0.6995,209
multi_source_weak,all_weak,random_graph_k25,worker_emasel,5,256,40000,9.087350845336914,0.7492186125976734,0.8,0.79,0.7,0.6995,209
multi_source_weak,all_weak,random_graph_k25,worker_true,6,256,40000,6.589346885681152,0.9444926006884249,0.925,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,6,256,40000,6.646580219268799,0.8252280093464989,0.85,0.87,0.875,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,6,256,40000,7.916994571685791,0.8502474812190649,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,6,256,40000,7.995501756668091,0.683187608351549,0.615,0.7,0.7,0.6825,251
multi_source_weak,all_weak,random_graph_k25,worker_emasel,6,256,40000,9.300050735473633,0.7195686038039246,0.71,0.715,0.7,0.6825,251
multi_source_weak,all_weak,random_graph_k25,worker_true,3,256,40000,6.701679229736328,0.9279603527549559,1.0,1.0,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,3,256,40000,6.767591953277588,0.8373382578327178,0.9,0.83,0.87,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,3,256,40000,8.05539870262146,0.8202218537222683,0.9,0.8174999999999999,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,3,256,40000,8.139223575592041,0.6812856460892942,0.7,0.7,0.7,0.682,255
multi_source_weak,all_weak,random_graph_k25,worker_emasel,3,256,40000,9.523820161819458,0.7028617371422828,0.8,0.72,0.6,0.682,255
multi_source_weak,all_weak,random_graph_k25,worker_true,7,256,40000,6.819808483123779,0.9445692319288461,1.0,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,7,256,40000,6.870826244354248,0.8547963619004547,0.9,0.825,0.84,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,7,256,40000,7.9285078048706055,0.8649443481319565,0.9,0.9,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,7,256,40000,8.001940488815308,0.6920077384990326,0.7,0.7,0.7,0.6915,252
multi_source_weak,all_weak,random_graph_k25,worker_emasel,7,256,40000,9.30025577545166,0.7200233662470793,0.76,0.7,0.69,0.6915,252
multi_source_weak,all_weak,random_graph_k25,worker_true,0,256,40000,7.004119634628296,0.9386397326700335,1.0,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,0,256,40000,7.099469184875488,0.8218298535212684,0.825,0.8,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,0,256,40000,8.362703084945679,0.8223826034521745,0.9,0.8,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,0,256,40000,8.497436285018921,0.6907062636617172,0.67,0.645,0.7,0.691,215
multi_source_weak,all_weak,random_graph_k25,worker_emasel,0,256,40000,9.929380416870117,0.7084947614381549,0.715,0.665,0.7,0.691,215
multi_source_weak,all_weak,random_graph_k25,worker_true,8,256,40000,5.2026495933532715,0.9387641014044873,0.93,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,8,256,40000,5.273773431777954,0.8422150197231225,0.805,0.9,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,8,256,40000,6.1981470584869385,0.8583641114544861,0.9,0.9,0.87,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,8,256,40000,6.333604097366333,0.6965377754327781,0.7,0.7,0.7,0.698,217
multi_source_weak,all_weak,random_graph_k25,worker_emasel,8,256,40000,7.596532344818115,0.719269616341298,0.795,0.685,0.7,0.698,217
multi_source_weak,majority_weak,random_graph_k25,worker_true,2,256,40000,5.10199236869812,0.9302241149719855,0.9,0.905,0.925,0.0,0
