task,substrate,readout,seed_idx,n_units,t_total,runtime_s,lr,lam,mean_acc_all,retention_seg3_seg4,seg1_acc,seg2_acc,seg3_acc,seg4_acc
ewc_baseline,random_graph_k25,rls_single,1,256,40000,11.237,0.3,0.0,0.8397452325318461,0.8,1.0,0.895,0.9,0.7
ewc_baseline,random_graph_k25,rls_single,4,256,40000,11.866,0.3,0.0,0.8435164945604382,0.8,0.915,0.9,0.9,0.7
ewc_baseline,random_graph_k25,rls_single,0,256,40000,11.977,0.3,0.0,0.833389864576267,0.8049999999999999,1.0,0.805,0.9,0.71
ewc_baseline,random_graph_k25,rls_single,3,256,40000,11.964,0.3,0.0,0.8201527599809051,0.7949999999999999,0.9,0.8,0.87,0.72
ewc_baseline,random_graph_k25,rls_single,2,256,40000,11.961,0.3,0.0,0.8320092459988443,0.815,0.9,0.9,0.9,0.73
ewc_baseline,random_graph_k25,rls_single,6,256,40000,11.998,0.3,0.0,0.8459812567523429,0.845,1.0,0.825,0.9,0.79
ewc_baseline,random_graph_k25,rls_single,7,256,40000,12.078,0.3,0.0,0.831258008592749,0.8025,0.9,0.855,0.805,0.8
ewc_baseline,random_graph_k25,rls_single,5,256,40000,12.354,0.3,0.0,0.8383143639607045,0.8,1.0,0.845,0.9,0.7
ewc_baseline,random_graph_k25,rls_single,8,256,40000,10.121,0.3,0.0,0.8586178739227659,0.8500000000000001,1.0,0.9,0.9,0.8
ewc_baseline,random_graph_k25,rls_single,9,256,40000,10.685,0.3,0.0,0.833262983342127,0.8125,0.9,0.9,0.9,0.725
ewc_baseline,random_graph_k25,rls_ewc,2,256,40000,16.888,0.3,100.0,0.8093967488254065,0.8,0.9,0.8,0.8,0.8
ewc_baseline,random_graph_k25,rls_ewc,1,256,40000,17.459,0.3,100.0,0.8376372452953444,0.815,1.0,0.885,0.9,0.73
ewc_baseline,random_graph_k25,rls_ewc,3,256,40000,17.399,0.3,100.0,0.8116102610487174,0.79,0.9,0.8,0.8,0.78
ewc_baseline,random_graph_k25,rls_ewc,0,256,40000,17.982,0.3,100.0,0.8268573653928293,0.8125,1.0,0.8,0.825,0.8
ewc_baseline,random_graph_k25,rls_ewc,5,256,40000,17.659,0.3,100.0,0.8381661264792342,0.8,1.0,0.85,0.8,0.8
ewc_baseline,random_graph_k25,rls_ewc,4,256,40000,17.86,0.3,100.0,0.8384412451948444,0.8325,0.915,0.89,0.865,0.8
ewc_baseline,random_graph_k25,sgd_plain,0,256,40000,6.832,1.0,0.0,0.6502474812190648,0.7025,0.805,0.4,0.855,0.55
ewc_baseline,random_graph_k25,sgd_plain,2,256,40000,6.367,1.0,0.0,0.6828810833898646,0.75,0.82,0.455,0.9,0.6
ewc_baseline,random_graph_k25,sgd_plain,1,256,40000,6.615,1.0,0.0,0.5800268837466396,0.6,0.7,0.48,0.7,0.5
ewc_baseline,random_graph_k25,rls_ewc,6,256,40000,15.544,0.3,100.0,0.8399512575060929,0.815,1.0,0.8,0.83,0.8
ewc_baseline,random_graph_k25,rls_ewc,7,256,40000,14.405,0.3,100.0,0.8257305092836864,0.79,0.9,0.835,0.8,0.78
ewc_baseline,random_graph_k25,sgd_plain,3,256,40000,7.093,1.0,0.0,0.5597736237782971,0.6074999999999999,0.6,0.42,0.7,0.515
ewc_baseline,random_graph_k25,rls_ewc,8,256,40000,13.196,0.3,100.0,0.848065375241828,0.8200000000000001,1.0,0.84,0.84,0.8
ewc_baseline,random_graph_k25,sgd_plain,5,256,40000,5.964,1.0,0.0,0.6630160046229994,0.6725000000000001,0.8,0.5,0.8,0.545
ewc_baseline,random_graph_k25,sgd_plain,4,256,40000,6.279,1.0,0.0,0.6467852566518429,0.7,0.8,0.4,0.9,0.5
ewc_baseline,random_graph_k25,rls_ewc,9,256,40000,13.272,0.3,100.0,0.815196854350393,0.79,0.9,0.8,0.8,0.78
ewc_baseline,random_graph_k25,sgd_plain,7,256,40000,6.082,1.0,0.0,0.6091216301097963,0.635,0.6,0.6,0.6,0.67
ewc_baseline,random_graph_k25,sgd_plain,6,256,40000,6.509,1.0,0.0,0.6800005024999372,0.72,0.725,0.6,0.74,0.7
ewc_baseline,random_graph_k25,sgd_plain,8,256,40000,6.277,1.0,0.0,0.5371611266048592,0.56,0.595,0.4,0.62,0.5
ewc_baseline,random_graph_k25,sgd_plain,9,256,40000,6.108,1.0,0.0,0.5381636139795483,0.595,0.52,0.43,0.59,0.6
ewc_baseline,random_graph_k25,ewc_sgd,0,256,40000,5.844,1.0,0.0,0.6502474812190648,0.7025,0.805,0.4,0.855,0.55
