arm,seed_idx,n_units,overall_acc,steady_acc,adapt_time,kappa_settled,runtime_s
baseline,0,256,0.973,1.0,97.8,25.0,140.3895983695984
baseline,1,256,0.9812222222222222,1.0,87.4,25.0,141.74099588394165
baseline,2,256,0.9746666666666667,1.0,113.8,25.0,141.99817442893982
baseline,3,256,0.9685555555555555,1.0,126.8,25.0,141.17319560050964
baseline,4,256,0.9713333333333334,1.0,116.4,25.0,143.16706013679504
baseline,6,256,0.9763333333333334,1.0,80.2,25.0,140.36461472511292
baseline,7,256,0.9698888888888889,1.0,105.6,25.0,139.7667157649994
baseline,9,256,0.9733333333333334,1.0,110.6,25.0,138.3693151473999
baseline,5,256,0.9751111111111112,1.0,88.0,25.0,144.46742224693298
baseline,8,256,0.9706666666666667,1.0,122.8,25.0,142.16909980773926
no_plasticity,2,256,0.995,1.0,13.0,25.8214998593269,1078.627785205841
no_plasticity,0,256,0.9951111111111111,1.0,5.8,25.753168543300948,1080.9163250923157
no_plasticity,3,256,0.9942222222222222,1.0,7.2,25.59562208030752,1085.685313463211
no_plasticity,4,256,0.9896666666666667,1.0,20.2,26.45445795265313,1087.014185667038
no_plasticity,1,256,0.9952222222222222,1.0,6.4,25.60433844489541,1089.9355001449585
no_plasticity,5,256,0.9945555555555555,1.0,6.0,25.679714628647066,1090.4544591903687
no_plasticity,7,256,0.994,1.0,11.2,26.1164855958532,1074.3485174179077
no_plasticity,6,256,0.9942222222222222,1.0,12.6,26.480377007999447,1077.5398831367493
no_plasticity,8,256,0.9948888888888889,1.0,7.8,25.71108918916682,1074.9879715442657
no_plasticity,9,256,0.994,1.0,11.0,26.37504307209508,1074.9839069843292
no_homeostat,2,256,0.9973333333333333,1.0,1.6,25.0,1072.7985920906067
no_homeostat,0,256,0.9968888888888889,1.0,1.8,25.0,1075.1512010097504
no_homeostat,1,256,0.9968888888888889,1.0,2.0,25.0,1075.017525434494
no_homeostat,4,256,0.9941111111111111,1.0,7.2,25.0,1074.059963941574
no_homeostat,3,256,0.9964444444444445,1.0,3.0,25.0,1077.4034507274628
no_metadata,0,256,0.9852222222222222,1.0,50.4,25.611947078561077,128.47576117515564
no_homeostat,5,256,0.9955555555555555,1.0,4.4,25.0,1079.950177192688
no_metadata,1,256,0.9911111111111112,1.0,48.8,25.19897845718333,130.67378044128418
no_metadata,2,256,0.9911111111111112,1.0,20.4,25.258087338746076,149.13136839866638
no_metadata,5,256,0.9881111111111112,1.0,27.0,25.38879510587325,152.09972262382507
no_metadata,3,256,0.9887777777777778,1.0,32.6,25.214123990121582,153.53611755371094
no_metadata,4,256,0.9852222222222222,1.0,46.8,25.599226606830012,154.9207034111023
no_metadata,7,256,0.9882222222222222,1.0,28.0,25.426415704378353,154.43605303764343
no_metadata,6,256,0.9897777777777778,1.0,27.6,25.634965900418802,157.17688012123108
no_metadata,8,256,0.9894444444444445,1.0,44.6,25.347851792803368,156.41239738464355
no_metadata,9,256,0.9873333333333333,1.0,34.6,25.62067946773515,155.78947520256042
no_homeostat,7,256,0.9963333333333333,1.0,2.6,25.0,996.5576815605164
no_homeostat,6,256,0.9954444444444445,1.0,6.4,25.0,999.0250971317291
no_homeostat,9,256,0.9961111111111111,1.0,4.0,25.0,993.3904728889465
no_homeostat,8,256,0.9971111111111111,1.0,1.6,25.0,997.2502641677856
full,0,256,0.9965555555555555,1.0,2.2,25.611947078561077,936.0392851829529
full,1,256,0.9968888888888889,1.0,1.8,25.19897845718333,934.8431172370911
full,2,256,0.9977777777777778,1.0,0.8,25.258087338746076,934.0310616493225
full,3,256,0.9964444444444445,1.0,3.0,25.214123990121582,931.3604488372803
full,4,256,0.9938888888888889,1.0,7.6,25.599226606830012,848.1019291877747
full,6,256,0.9955555555555555,1.0,6.2,25.634965900418802,843.4543046951294
full,5,256,0.9953333333333333,1.0,4.8,25.38879510587325,845.4093546867371
full,8,256,0.997,1.0,1.8,25.347851792803368,839.7491002082825
full,9,256,0.9961111111111111,1.0,3.8,25.62067946773515,838.9606215953827
full,7,256,0.9965555555555555,1.0,2.4,25.426415704378353,843.6733868122101
baseline,1,1024,0.9698888888888889,1.0,128.8,25.0,1386.6884922981262
baseline,0,1024,0.9792222222222222,1.0,127.4,25.0,1387.8088839054108
baseline,2,1024,0.98,1.0,107.4,25.0,756.4492688179016
full,0,1024,0.9975555555555555,1.0,0.8,24.717363564966977,2243.8627474308014
full,1,1024,0.9977777777777778,1.0,0.6,24.78947204793778,2239.7616431713104
full,2,1024,0.9977777777777778,1.0,0.8,24.90675928343533,2239.1517622470856
