task,system,seed_idx,n_units,t_total,pre_swap_acc,post_swap_acc,mean_acc,nmse_final30,runtime_s
drift_binary,esn,2,256,40000,1.0,1.0,0.9994446119444236,,28.76227831840515
drift_binary,redem,0,256,40000,1.0,1.0,0.9943427300821589,,32.13005471229553
drift_binary,redem,4,256,40000,1.0,1.0,0.9980291952463506,,33.55624222755432
drift_binary,redem,1,256,40000,1.0,1.0,0.973611215798598,,36.74678373336792
drift_binary,esn,0,256,40000,1.0,1.0,0.9999219868847518,,37.54946279525757
drift_binary,redem,2,256,40000,1.0,1.0,0.9950768824903897,,38.03961968421936
drift_binary,esn,4,256,40000,1.0,1.0,0.9996179744227531,,37.660441875457764
drift_binary,redem,3,256,40000,1.0,1.0,0.9915456898067886,,38.38713359832764
drift_binary,esn,1,256,40000,1.0,1.0,0.9998086731489159,,39.663885831832886
drift_binary,redem,5,256,40000,1.0,1.0,0.9930114821235647,,38.4531934261322
drift_binary,esn,3,256,40000,1.0,1.0,0.99974359940705,,43.770392656326294
drift_binary,redem,6,256,40000,1.0,1.0,0.98795696088038,,37.347246408462524
drift_binary,esn,5,256,40000,1.0,1.0,0.9995198613100174,,43.04168343544006
drift_binary,redem,7,256,40000,1.0,1.0,0.9934864701891911,,36.34248733520508
drift_binary,redem,8,256,40000,1.0,1.0,0.9956470942941132,,36.39702391624451
drift_binary,esn,6,256,40000,1.0,1.0,0.9996958619130174,,41.13773846626282
drift_binary,esn,7,256,40000,1.0,1.0,0.9993137107107861,,41.37289357185364
drift_binary,esn,8,256,40000,1.0,1.0,0.999695736288033,,41.8270583152771
drift_binary,redem,9,256,40000,1.0,1.0,0.991599080425115,,33.76434874534607
drift_binary,esn,9,256,40000,1.0,1.0,0.9998164618979423,,41.322463512420654
drift_binary,trans,0,256,40000,1.0,0.0,0.3459234692595663,,130.39706683158875
drift_binary,trans,1,256,40000,1.0,0.0,0.3570550991181126,,130.44147610664368
drift_binary,trans,2,256,40000,1.0,0.0,0.3489171126353609,,129.02849197387695
drift_binary,trans,3,256,40000,1.0,0.0,0.3582133614733298,,128.28209280967712
drift_binary,trans,4,256,40000,1.0,0.0,0.34539961307504835,,136.11855268478394
drift_binary,trans,5,256,40000,1.0,0.0,0.34602899424637573,,132.61135482788086
mackey_glass,redem,0,256,21000,,,,0.0015625559741155532,17.62495517730713
mackey_glass,esn,0,256,21000,,,,3.4706150185048435e-05,20.11655855178833
mackey_glass,redem,1,256,21000,,,,0.0020005541699755366,9.804866790771484
mackey_glass,esn,1,256,21000,,,,3.350247495535446e-05,10.796586275100708
drift_binary,trans,6,256,40000,1.0,0.0,0.3519584935051883,,83.19201874732971
drift_binary,trans,7,256,40000,1.0,0.0,0.3514270998216125,,82.06260871887207
drift_binary,trans,8,256,40000,1.0,0.0,0.34884048139493984,,81.49830031394958
drift_binary,trans,9,256,40000,1.0,0.0,0.35437049320368835,,80.9276990890503
drift_binary,gru,2,256,40000,0.93,0.0675,0.3680734152408231,,291.35143971443176
drift_binary,gru,0,256,40000,0.93,0.06,0.3699925881259264,,295.41180777549744
drift_binary,gru,1,256,40000,0.95,0.05,0.37218486972689124,,295.57511711120605
drift_binary,gru,3,256,40000,0.935,0.055,0.3728349790206276,,299.5860528945923
drift_binary,gru,4,256,40000,0.455,0.57,0.5018064872741891,,299.2917513847351
mackey_glass,redem,2,256,21000,,,,0.002025649658038815,10.744276762008667
